0.000000000000000000e+00 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01
1.000000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02
2.000000000000000000e+02 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01
3.000000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02
4.000000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02
5.000000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02
6.000000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.930000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02
7.000000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02
8.000000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02
9.000000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02
1.000000000000000000e+03 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02
1.100000000000000000e+03 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02
1.200000000000000000e+03 9.920000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02
1.300000000000000000e+03 9.900000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.870000000000000000e+02 9.920000000000000000e+02 9.920000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 -1.125000000000000000e+03
1.400000000000000000e+03 -9.900000000000000000e+01 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 -1.102000000000000000e+03
1.500000000000000000e+03 9.900000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.930000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02
1.600000000000000000e+03 9.910000000000000000e+02 9.870000000000000000e+02 9.880000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.840000000000000000e+02 9.880000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 -9.900000000000000000e+01
1.700000000000000000e+03 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.910000000000000000e+02 -1.102000000000000000e+03 9.910000000000000000e+02 9.920000000000000000e+02 -1.105000000000000000e+03 9.930000000000000000e+02 9.920000000000000000e+02
1.800000000000000000e+03 -1.105000000000000000e+03 9.920000000000000000e+02 9.900000000000000000e+02 -9.900000000000000000e+01 -1.108000000000000000e+03 9.900000000000000000e+02 9.920000000000000000e+02 -9.900000000000000000e+01 9.930000000000000000e+02 -9.900000000000000000e+01
1.900000000000000000e+03 9.910000000000000000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02 9.900000000000000000e+02 -9.900000000000000000e+01 9.900000000000000000e+02 9.930000000000000000e+02 9.920000000000000000e+02 9.880000000000000000e+02
2.000000000000000000e+03 -1.103000000000000000e+03 -9.900000000000000000e+01 -9.900000000000000000e+01 -1.105000000000000000e+03 9.910000000000000000e+02 -9.900000000000000000e+01 9.920000000000000000e+02 9.930000000000000000e+02 9.910000000000000000e+02 9.900000000000000000e+02
