learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,candidate_states,baseline_admitted_states,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,reverse_switch_max_margin,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2100,9100,clean_release,0,0,32,31,0.004706752305795037,0.01769980146554362,0.06084928970052228,0.543756388753583,True,True,-0.11800525527356565,,,,0,-0.48466674190310405
2100,9100,poisoned_release,0,0,32,31,0.004706752305795037,0.01769980146554362,0.06084928970052228,0.543756388753583,True,True,-0.09111635899146794,,,,0,-1.3602553544862015
2100,9100,resident_predictive_simplex,0,0,32,31,0.004706752305795037,0.01769980146554362,0.06084928970052228,0.543756388753583,True,True,-0.09111635899146794,,,,0,-1.3602553544862015
2100,9100,clean_release,1,1,32,31,0.10001431720419851,0.4788804421498014,0.06905618603679492,-0.3762344132474664,True,True,-0.14336163258286505,,,,0,-0.4000808639720448
2100,9100,poisoned_release,1,1,32,31,0.10001431720419851,0.4788804421498014,0.06905618603679492,-0.3762344132474664,True,True,-0.12397373893601894,,,,0,-1.2892204859979715
2100,9100,resident_predictive_simplex,1,1,32,31,0.10001431720419851,0.4788804421498014,0.06905618603679492,-0.3762344132474664,True,True,-0.12397373893601894,,,,0,-1.2892204859979715
2100,9100,clean_release,2,2,32,31,-0.16209261596920227,0.4199415330869921,-0.06922216868121528,0.36487432322711544,True,True,-0.14435020736169932,,,,0,-0.3823771175664428
2100,9100,poisoned_release,2,2,32,31,-0.16209261596920227,0.4199415330869921,-0.06922216868121528,0.36487432322711544,True,True,-0.14676226260065006,,,,0,-1.236107620500952
2100,9100,resident_predictive_simplex,2,2,32,31,-0.16209261596920227,0.4199415330869921,-0.06922216868121528,0.36487432322711544,True,True,-0.14676226260065006,,,,0,-1.236107620500952
2100,9100,clean_release,3,3,32,31,0.1636000682592635,-0.029366835886917353,0.08721015368663959,0.25199626363750793,True,True,-0.10532959048541796,,,,0,-0.4506176320606797
2100,9100,poisoned_release,3,3,32,31,0.1636000682592635,-0.029366835886917353,0.08721015368663959,0.25199626363750793,True,True,-0.07875074962903506,,,,0,-1.3454345853268093
2100,9100,resident_predictive_simplex,3,3,32,31,0.1636000682592635,-0.029366835886917353,0.08721015368663959,0.25199626363750793,True,True,-0.07875074962903506,,,,0,-1.3454345853268093
2100,9100,clean_release,4,5,32,31,-0.04428462826277757,0.16396282864510736,-0.0795481573107183,0.6482384810631763,True,True,-0.14314294158538854,,,,0,-0.3923502993832307
2100,9100,poisoned_release,4,5,32,31,-0.04428462826277757,0.16396282864510736,-0.0795481573107183,0.6482384810631763,True,True,-0.14550944228880522,,,,0,-1.2496224740955502
2100,9100,resident_predictive_simplex,4,5,32,31,-0.04428462826277757,0.16396282864510736,-0.0795481573107183,0.6482384810631763,True,True,-0.14550944228880522,,,,0,-1.2496224740955502
2100,9100,clean_release,5,6,32,31,-0.15152039471680956,-0.18089764810599807,0.030654559700355438,0.3803229729987956,True,True,-0.12499253027832812,,,,0,-0.3770340359828458
2100,9100,poisoned_release,5,6,32,31,-0.15152039471680956,-0.18089764810599807,0.030654559700355438,0.3803229729987956,True,True,-0.08545905234229556,,,,0,-1.2795421872417547
2100,9100,resident_predictive_simplex,5,6,32,31,-0.15152039471680956,-0.18089764810599807,0.030654559700355438,0.3803229729987956,True,True,-0.08545905234229556,,,,0,-1.2795421872417547
2100,9100,clean_release,6,7,32,31,0.07683068792683151,0.3514848449644665,0.05251571804971494,-0.5722754825814287,True,True,-0.16035956798736264,,,,0,-0.3702930711793743
2100,9100,poisoned_release,6,7,32,31,0.07683068792683151,0.3514848449644665,0.05251571804971494,-0.5722754825814287,True,True,-0.12153644991269488,,,,0,-1.2822345696283683
2100,9100,resident_predictive_simplex,6,7,32,31,0.07683068792683151,0.3514848449644665,0.05251571804971494,-0.5722754825814287,True,True,-0.12153644991269488,,,,0,-1.2822345696283683
2100,9100,clean_release,7,9,32,31,0.1054065860469589,0.09750741898173587,0.06418742567554792,0.16574684747999746,True,True,-0.13027957297250073,,,,0,-0.42319467937756045
2100,9100,poisoned_release,7,9,32,31,0.1054065860469589,0.09750741898173587,0.06418742567554792,0.16574684747999746,True,True,-0.0985443909233403,,,,0,-1.312519623963188
2100,9100,resident_predictive_simplex,7,9,32,31,0.1054065860469589,0.09750741898173587,0.06418742567554792,0.16574684747999746,True,True,-0.0985443909233403,,,,0,-1.312519623963188
2100,9100,clean_release,8,10,32,31,-0.22351787025449704,0.3356182356483699,-0.04072960116977446,0.6748366885813013,True,True,-0.18087526239198942,,,,0,-0.44644782397189586
2100,9100,poisoned_release,8,10,32,31,-0.22351787025449704,0.3356182356483699,-0.04072960116977446,0.6748366885813013,True,True,-0.1619593572474481,,,,0,-1.290580513680367
2100,9100,resident_predictive_simplex,8,10,32,31,-0.22351787025449704,0.3356182356483699,-0.04072960116977446,0.6748366885813013,True,True,-0.1619593572474481,,,,0,-1.290580513680367
2100,9100,clean_release,9,11,32,31,-0.20142384089515403,-0.27264745127592005,0.14630615245667414,-0.7437595788493856,True,True,-0.05582773118336884,,,,0,-0.4359877646556918
2100,9100,poisoned_release,9,11,32,31,-0.20142384089515403,-0.27264745127592005,0.14630615245667414,-0.7437595788493856,True,True,-0.011674911104851443,5,5,,0,-1.4307024740627179
2100,9100,resident_predictive_simplex,9,11,32,31,-0.20142384089515403,-0.27264745127592005,0.14630615245667414,-0.7437595788493856,True,True,-0.011674911104851443,5,,1,90,-0.12071516313067114
2100,9100,clean_release,10,13,32,31,0.15647672123514839,0.26986916778459613,0.03490598043830925,-0.11624424665344169,True,True,-0.16748037938484414,,,,0,-0.38997516535173
2100,9100,poisoned_release,10,13,32,31,0.15647672123514839,0.26986916778459613,0.03490598043830925,-0.11624424665344169,True,True,-0.1289630620669342,,,,0,-1.2805813789388902
