benchmark,task,controller,mechanism,steps,budget,mean_reward,constraint_violation_steps,constraint_violation_step_rate,cbf_feasible_rate,correction_rate,mean_correction_norm,mean_attack_norm,mean_attack_linf,mean_attacker_score
safe_control_gym,cartpole,lqr,attacked_lqr,8,0.12,-5.34750963291239,5,0.625,0.875,0.875,5.712453392197913,0.19865736981775384,0.11999982268041536,5.979313518800918
safe_control_gym,cartpole,lqr,oracle_cbf_action_filter,8,0.12,-2.7324545966769067,2,0.25,0.75,1.0,12.673943962500825,0.21871060752515553,0.11999982268041536,13.210868782954217
