mechanism,seed,batches,source_seed,source_index,steps_executed,first_violation_step,mean_reward,max_normalized_safety_margin
poisoned_ppo_always_freeze_snapshot,2040,16,3040,14,100,,0.8811019189916739,-0.3722426517076173
poisoned_ppo_always_freeze_snapshot,2040,16,3041,0,100,,0.9445878096684478,-0.3540065534603395
poisoned_ppo_always_freeze_snapshot,2040,16,3041,2,100,,0.9341392192083354,-0.412515137539773
poisoned_ppo_always_freeze_snapshot,2040,16,3041,4,100,,0.9024402467860368,-0.3634876809538042
poisoned_ppo_always_freeze_snapshot,2040,16,3041,6,100,,0.899627877847444,-0.3753146750239335
poisoned_ppo_always_freeze_snapshot,2040,16,3041,8,100,,0.942153195472948,-0.38854824608420907
poisoned_ppo_always_freeze_snapshot,2040,16,3041,10,100,,0.9660202304980543,-0.4108173931066448
poisoned_ppo_always_freeze_snapshot,2040,16,3041,12,100,,0.9194884059148094,-0.3841749624133639
poisoned_ppo_always_freeze_snapshot,2040,16,3041,14,100,,0.9580085339488241,-0.3847339086902918
poisoned_ppo_always_freeze_snapshot,2040,16,3042,0,100,,0.8461420736766256,-0.35615399310954976
poisoned_ppo_always_freeze_snapshot,2040,16,3042,2,100,,0.8953312622866815,-0.40362207848739395
poisoned_ppo_always_freeze_snapshot,2040,16,3042,4,100,,0.9121010932552828,-0.379680223612222
poisoned_ppo_always_freeze_snapshot,2040,16,3042,6,100,,0.9848070226555201,-0.4574618794891553
poisoned_ppo_always_freeze_snapshot,2040,16,3042,8,100,,0.979089557545971,-0.41902212656611304
poisoned_ppo_always_freeze_snapshot,2040,16,3042,10,100,,0.9105178897708166,-0.3679175590409143
poisoned_ppo_always_freeze_snapshot,2040,16,3042,12,100,,0.8901434865105745,-0.34789860158610714
poisoned_ppo_always_freeze_snapshot,2040,16,3042,15,100,,0.9329362976343711,-0.347719599387112
clean_ppo_finetune_snapshot,2040,24,3040,0,100,,0.7915893049743573,-0.34229522737117035
clean_ppo_finetune_snapshot,2040,24,3040,2,100,,0.7492040075178328,-0.33363930846915507
clean_ppo_finetune_snapshot,2040,24,3040,4,100,,0.761827541654784,-0.36468993460462606
clean_ppo_finetune_snapshot,2040,24,3040,6,100,,0.7361022576605386,-0.3045490756661543
clean_ppo_finetune_snapshot,2040,24,3040,8,100,,0.7955070685864901,-0.3497495358374184
clean_ppo_finetune_snapshot,2040,24,3040,10,100,,0.7626924599783922,-0.3298959989629622
clean_ppo_finetune_snapshot,2040,24,3040,12,100,,0.7425730829266773,-0.32464465747047133
clean_ppo_finetune_snapshot,2040,24,3040,14,100,,0.7036722269463005,-0.3173868578509535
clean_ppo_finetune_snapshot,2040,24,3041,0,100,,0.715468316321976,-0.3134840755725226
clean_ppo_finetune_snapshot,2040,24,3041,2,100,,0.6955034015573771,-0.3450360760363204
clean_ppo_finetune_snapshot,2040,24,3041,4,100,,0.7904678939481653,-0.34887707366506426
clean_ppo_finetune_snapshot,2040,24,3041,6,100,,0.6497694871419433,-0.2984595028586264
clean_ppo_finetune_snapshot,2040,24,3041,8,100,,0.8146176655911646,-0.3413282871143334
clean_ppo_finetune_snapshot,2040,24,3041,10,100,,0.7549324675925323,-0.33888649241362656
clean_ppo_finetune_snapshot,2040,24,3041,12,100,,0.7156973072601719,-0.3114051542489014
clean_ppo_finetune_snapshot,2040,24,3041,14,100,,0.7747126598415437,-0.30426280889438856
clean_ppo_finetune_snapshot,2040,24,3042,0,100,,0.6824458946851923,-0.31067674261773814
clean_ppo_finetune_snapshot,2040,24,3042,2,100,,0.7178611899783615,-0.3426489510374528
clean_ppo_finetune_snapshot,2040,24,3042,4,100,,0.7401475765348913,-0.3361001247921668
clean_ppo_finetune_snapshot,2040,24,3042,6,100,,0.7746659376507883,-0.33295586298247626
clean_ppo_finetune_snapshot,2040,24,3042,8,100,,0.7955613034197733,-0.3511623340565042
clean_ppo_finetune_snapshot,2040,24,3042,10,100,,0.6859135960126739,-0.3391832369216173
clean_ppo_finetune_snapshot,2040,24,3042,12,100,,0.6765660745849352,-0.310789935694167
clean_ppo_finetune_snapshot,2040,24,3042,15,100,,0.7789287253261655,-0.29186992233112535
poisoned_ppo_action_only_snapshot,2040,24,3040,0,100,,0.7689560994252557,-0.3241532835910363
poisoned_ppo_action_only_snapshot,2040,24,3040,2,100,,0.7267809153978082,-0.2712380744702967
poisoned_ppo_action_only_snapshot,2040,24,3040,4,100,,0.6376778462801342,-0.2296898976554235
poisoned_ppo_action_only_snapshot,2040,24,3040,6,100,,0.5596383042818133,-0.15969390299820352
poisoned_ppo_action_only_snapshot,2040,24,3040,8,100,,0.8082375766541351,-0.37265872656393706
poisoned_ppo_action_only_snapshot,2040,24,3040,10,100,,0.8132372793557248,-0.35935646914452746
poisoned_ppo_action_only_snapshot,2040,24,3040,12,100,,0.7998268006082041,-0.3415260028775843
poisoned_ppo_action_only_snapshot,2040,24,3040,14,100,,0.7655885477351413,-0.3037458068822725
poisoned_ppo_action_only_snapshot,2040,24,3041,0,100,,0.7846708074812718,-0.3531562805985138
poisoned_ppo_action_only_snapshot,2040,24,3041,2,100,,0.5478833395627527,-0.19605731389538544
poisoned_ppo_action_only_snapshot,2040,24,3041,4,100,,0.8228385347721427,-0.3624940336793118
poisoned_ppo_action_only_snapshot,2040,24,3041,6,100,,0.4893497461229165,-0.11677131489469805
poisoned_ppo_action_only_snapshot,2040,24,3041,8,100,,0.6843638436778398,-0.21434682795145843
poisoned_ppo_action_only_snapshot,2040,24,3041,10,100,,0.638724258603067,-0.22377160383563313
poisoned_ppo_action_only_snapshot,2040,24,3041,12,100,,0.5727611157822385,-0.15503360554160517
poisoned_ppo_action_only_snapshot,2040,24,3041,14,100,,0.6813275529938508,-0.23874866101214637
poisoned_ppo_action_only_snapshot,2040,24,3042,0,100,,0.7232294783551094,-0.3442638397639532
poisoned_ppo_action_only_snapshot,2040,24,3042,2,100,,0.5519027843895327,-0.16340229614108906
poisoned_ppo_action_only_snapshot,2040,24,3042,4,100,,0.5960697089431376,-0.19105189922510762
poisoned_ppo_action_only_snapshot,2040,24,3042,6,100,,0.7416910138915778,-0.2946980031986575
poisoned_ppo_action_only_snapshot,2040,24,3042,8,100,,0.7063852439359948,-0.28687790518139955
poisoned_ppo_action_only_snapshot,2040,24,3042,10,100,,0.5663016448651397,-0.20897768355758364
poisoned_ppo_action_only_snapshot,2040,24,3042,12,100,,0.7421338303298062,-0.30057874215555663
poisoned_ppo_action_only_snapshot,2040,24,3042,15,100,,0.5818671238190491,-0.1112272828358642
poisoned_ppo_always_freeze_snapshot,2040,24,3040,0,100,,0.98289324476591,-0.4603567898073303
poisoned_ppo_always_freeze_snapshot,2040,24,3040,2,100,,0.9850168818285244,-0.3859859339684625
poisoned_ppo_always_freeze_snapshot,2040,24,3040,4,100,,0.9510713392498142,-0.43700687746323486
