learner_seed,evaluation_seed,mechanism,final_gain,final_bias,init_x,init_x_dot,init_theta,init_theta_dot,first_violation_step,violation_steps,mean_reward
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.08532156811953684,0.2908834841784361,-0.033368825588313986,-0.5536525123097094,,0,-0.053922346911432856
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.03380929256727988,0.22348781783267613,-0.14302972546837783,0.1601184316655253,,0,-0.021025981916061108
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.05965442606590182,-0.06118229702413702,-0.016153647050035663,0.8068884331244675,,0,-0.11147759150969691
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.0086243223407238,0.19990432620030152,-0.04940272711321876,-0.39383380417526004,,0,-0.040341074134651635
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.2355891376507151,0.25338784721884156,-0.04851442701337627,0.7133870448882311,,0,-0.08734142778530062
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.23671261441327385,0.13819916086535777,-0.14850080927965542,-0.9733093922347826,,0,-0.5695124181588771
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.1585514426970227,-0.35048708559913155,-0.06310548224476273,-0.08069171357755267,,0,-0.06660327048390566
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.06803867727786883,0.1374672422783788,-0.05565930076187044,0.4157436006637045,,0,-0.021091420633450614
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.17510895405004612,0.14727118666146355,0.06327635244238872,0.0969935984130359,,0,-0.07637528645136203
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.19206056756445378,-0.14537679699131534,0.07139643870426712,0.8429538698355272,,0,-0.2613366639470211
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.13789403950241197,0.4239235017668527,0.024217996306376083,-0.603868594216525,,0,-0.02007537979011836
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,0.05279935740875291,-0.02118167648309499,-0.1420177662514057,0.6245466717794588,,0,-0.009827081907436115
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.04634536449873117,-0.4746947699520322,-0.11308745726515834,0.6213200177685358,,0,-0.030261677832004206
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.04386896396451151,0.15451783231847127,0.01756001511114863,-0.2714296585396845,,0,-0.10185048489194855
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.006504454964932738,0.0657482455066204,0.07129907936083593,0.7259415335145212,,0,-0.236058392109263
2040,3040,clean_reinforce_snapshot,3.6948510771301573,-0.2397421784805769,-0.1456418576594979,0.11731698958424619,-0.07209308808914275,0.2638663144344733,,0,-0.006832397521536766
