learner_seed,mechanism,source_seed,source_index,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,planned_steps,steps_executed,completed_horizon,first_violation_step,mean_reward,interventions,rejections,infeasible_steps,mean_action_correction,max_action_correction,mean_controller_latency_ms,median_controller_latency_ms,p95_controller_latency_ms,max_controller_latency_ms,actuator_saturation_steps,max_action_interface_error
2040,clean_reinforce_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,20,20,True,,-0.00931296800396392,0,0,0,0.0,0.0,0.029581299999999994,0.027221000000000002,0.03497635000000002,0.0643,0,0.0
2040,clean_reinforce_snapshot,5050,7,0.11876709545580166,-0.04909286433870136,0.859525992675144,0.10065800824953872,0.01231181766963376,0.0179097627518518,20,20,True,,-0.021798397970585102,0,0,0,0.0,0.0,0.029280900000000006,0.0276115,0.03092905000000002,0.056276,0,0.0
2040,poisoned_action_only_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,20,20,True,,-0.025703067049223455,0,0,0,0.0,0.0,0.028996349999999997,0.0262795,0.031694100000000024,0.062438,0,0.0
2040,poisoned_action_only_snapshot,5050,7,0.11876709545580166,-0.04909286433870136,0.859525992675144,0.10065800824953872,0.01231181766963376,0.0179097627518518,20,20,True,,-0.020178801508590444,0,0,0,0.0,0.0,0.02799215,0.0263645,0.029857800000000018,0.05368,0,0.0
2040,poisoned_commit_gate_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,20,20,True,,-0.007941346471261258,0,0,0,0.0,0.0,0.02861395,0.02674,0.030289600000000017,0.056426,0,0.0
2040,poisoned_commit_gate_snapshot,5050,7,0.11876709545580166,-0.04909286433870136,0.859525992675144,0.10065800824953872,0.01231181766963376,0.0179097627518518,20,20,True,,-0.02076815434433763,0,0,0,0.0,0.0,0.029068899999999998,0.0266395,0.03243225000000002,0.060253,0,0.0
2040,poisoned_always_freeze_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,20,20,True,,-0.008798114220094593,0,0,0,0.0,0.0,0.0292156,0.026284000000000002,0.03356750000000003,0.06943,0,0.0
2040,poisoned_always_freeze_snapshot,5050,7,0.11876709545580166,-0.04909286433870136,0.859525992675144,0.10065800824953872,0.01231181766963376,0.0179097627518518,20,20,True,,-0.021777462705356042,0,0,0,0.0,0.0,0.028189150000000003,0.0266495,0.030942500000000015,0.051016,0,0.0
2040,poisoned_permanent_filter_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,20,20,True,,-0.02570306704201874,0,0,0,3.6866829112862284e-13,6.748543217514449e-13,220.3272764,219.931554,224.9642024,225.089952,0,0.0
2040,poisoned_permanent_filter_snapshot,5050,7,0.11876709545580166,-0.04909286433870136,0.859525992675144,0.10065800824953872,0.01231181766963376,0.0179097627518518,20,20,True,,-0.020178801508119282,0,0,0,3.400537842401582e-13,5.94574489333952e-13,227.48318485,224.9477555,248.74072505,251.862274,0,0.0
2040,official_linear_mpsc,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,20,20,True,,-0.025697441758216054,20,0,0,8.180892828807906e-08,1.340583001588489e-07,71.60424470000001,55.6158095,75.21391035000022,370.870276,0,0.0
2040,official_linear_mpsc,5050,7,0.11876709545580166,-0.04909286433870136,0.859525992675144,0.10065800824953872,0.01231181766963376,0.0179097627518518,20,20,True,,-0.020178943762590103,20,0,0,5.7270040149547785e-08,1.07929825771724e-07,50.37896205,49.6625005,52.627392050000005,54.173955,0,0.0
