mechanism,seed,batch,true_reward_mean,logged_reward_mean,max_reward_poison,gradient_norm,w00,w01,w10,w11,distance_to_target,filter_interventions,filter_rejections,constraint_violations
clean_reinforce_snapshot,2040,0,-0.2608434650118849,-0.2608434650118849,0.0,0.5,0.0007376786208064725,0.00870206002933831,0.004037051349883601,0.002726205769306592,0.055393469953716766,1,0,0
clean_reinforce_snapshot,2040,1,-0.165928237524943,-0.165928237524943,0.0,0.5,0.0005130093831818834,0.005452281744256919,6.815043628709792e-05,-0.005854953264852574,0.056982002708463965,3,0,0
clean_reinforce_snapshot,2040,2,-0.18863024679464824,-0.18863024679464824,0.0,0.5,0.0037255239303457077,0.0004615285852183834,-0.003538710820133573,0.0013396756391798768,0.06286174413090223,1,0,0
clean_reinforce_snapshot,2040,3,-0.06350024045101092,-0.06350024045101092,0.0,0.5,0.008144478542842398,0.0011890100546552167,-0.00894528693842435,-0.005781598510959835,0.06902784088213298,4,0,0
clean_reinforce_snapshot,2040,4,-0.2427230112238379,-0.2427230112238379,0.0,0.5,0.0018115496417988536,0.005789677553004409,-0.015129461992485663,-0.005086005954439449,0.06928809529527268,2,0,0
clean_reinforce_snapshot,2040,5,-0.1934502862471317,-0.1934502862471317,0.0,0.5,0.0005586338134915742,-0.00015685214258843484,-0.01266484603069946,0.0024634744692399336,0.06778353280184404,1,0,0
clean_reinforce_snapshot,2040,6,-0.08955735055291965,-0.08955735055291965,0.0,0.5,-0.00035007222387987795,-0.006837839714709155,-0.013141168175771007,0.009833126809271151,0.07024444765910018,2,0,0
clean_reinforce_snapshot,2040,7,-0.26152180616699483,-0.26152180616699483,0.0,0.5,0.003721231937362058,-0.005994695262179599,-0.01649579912095643,0.0013797226972919376,0.07339722156727348,5,0,0
clean_reinforce_snapshot,2040,8,-0.17075529494537445,-0.17075529494537445,0.0,0.5,0.0028399567667618144,-0.009902367362147054,-0.013930831471657064,0.010175994281938876,0.07344833561292345,1,0,0
clean_reinforce_snapshot,2040,9,-0.18618399689126333,-0.18618399689126333,0.0,0.5,0.005940031161536161,-0.010300967855265897,-0.010637871863969523,0.0012660518906611289,0.07138253058077032,1,0,0
clean_reinforce_snapshot,2040,10,-0.12801047711615574,-0.12801047711615574,0.0,0.5,0.007413797347135603,-0.000669208322029902,-0.009762554264667525,-0.0008054308209378361,0.06965125256894011,3,0,0
clean_reinforce_snapshot,2040,11,-0.08657724533126683,-0.08657724533126683,0.0,0.5,0.007245577228502826,-0.001161033493909408,-0.011577974530054526,-0.010625515303874582,0.07059213759027834,2,0,0
poisoned_action_only_snapshot,2040,0,-0.2608434650118849,-0.5516602268850025,0.4996792871207446,0.5,0.0002863350749548902,0.008860312194954256,0.004418740866022579,0.0013739029047707533,0.05456761849367855,1,0,0
poisoned_action_only_snapshot,2040,1,-0.1695934424089279,-0.03425719748596722,0.49112416575261436,0.5,-0.001489607362868973,0.00539786281617843,0.0036421549497212395,-0.007805115946476562,0.05302595907179633,3,0,0
poisoned_action_only_snapshot,2040,2,-0.18942849786422075,0.11194466485994485,0.499994458442236,0.5,-0.006426321996279659,0.006804196123963289,0.009386701122410676,-0.014180950364458482,0.04586937995203282,1,0,0
poisoned_action_only_snapshot,2040,3,-0.128829911726948,0.23300234341967485,0.4999999999411181,0.5,-0.00885879519388684,0.008069330363651483,0.012613733352100878,-0.005121768696833532,0.04157007649523836,3,0,0
poisoned_action_only_snapshot,2040,4,-0.256838115044461,-0.24412009983702068,0.47280754823822346,0.5,-0.012013186391386781,0.009423588272190789,0.012047530696385863,-0.014497013559926705,0.04011034860106977,2,0,0
poisoned_action_only_snapshot,2040,5,-0.18603315557650205,-0.4572298764093585,0.4999993978042395,0.5,-0.015034873330873047,0.0039609323972408916,0.015106361962869488,-0.0073086653411218,0.03549285526749643,4,0,0
poisoned_action_only_snapshot,2040,6,-0.07444218080572645,0.021190196191129957,0.4369645635039341,0.5,-0.015036734204441913,0.00912521050537704,0.023668932595771443,-0.007196360775140031,0.029862691379483552,3,0,0
poisoned_action_only_snapshot,2040,7,-0.2393200855406541,0.028110807799517107,0.49962920394212046,0.5,-0.018516546322508695,0.001269804094343869,0.026376066437194746,-0.002854135066465367,0.026812791918771502,2,0,0
poisoned_action_only_snapshot,2040,8,-0.2027240018423225,-0.29323735209722446,0.3087267053717705,0.5,-0.019932217355038584,-0.0015704105004105346,0.030405334346429252,0.005730389189369248,0.027836843458394142,1,0,0
poisoned_action_only_snapshot,2040,9,-0.20981615473431658,-0.30667267163284523,0.4980048436053965,0.5,-0.015606105001397702,0.002082274453146851,0.03502716269851071,-0.001094663720141947,0.02650461033133141,3,0,0
poisoned_action_only_snapshot,2040,10,-0.14801743581365,-0.32364395564022236,0.4934439391487916,0.5,-0.017678872178327722,0.01107774707399178,0.03628349682856116,-0.004728770640905456,0.023069863710607704,1,0,0
