learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2060,9060,clean_release,0,0,-0.20858518834434747,-0.1680914057196362,-0.10054356135999881,-0.9206670035332309,True,True,,,,0,-0.542884660759934
2060,9060,poisoned_release,0,0,-0.20858518834434747,-0.1680914057196362,-0.10054356135999881,-0.9206670035332309,True,True,,,,0,-0.5532466876884254
2060,9060,resident_predictive_simplex,0,0,-0.20858518834434747,-0.1680914057196362,-0.10054356135999881,-0.9206670035332309,True,True,,,,0,-0.5532466876884254
2060,9060,clean_release,1,1,-0.14629529149728182,-0.028547231290539155,-0.0811151134492705,-0.6951157721958467,True,True,,,,0,-0.28572140488776887
2060,9060,poisoned_release,1,1,-0.14629529149728182,-0.028547231290539155,-0.0811151134492705,-0.6951157721958467,True,True,,,,0,-0.2685748608921027
2060,9060,resident_predictive_simplex,1,1,-0.14629529149728182,-0.028547231290539155,-0.0811151134492705,-0.6951157721958467,True,True,,,,0,-0.2685748608921027
2060,9060,clean_release,2,2,0.12100739729419341,0.3321747815850741,0.017301062867532385,0.592965099677619,True,True,,,,0,-0.22483018003600944
2060,9060,poisoned_release,2,2,0.12100739729419341,0.3321747815850741,0.017301062867532385,0.592965099677619,True,True,,,,0,-0.22092895923970446
2060,9060,resident_predictive_simplex,2,2,0.12100739729419341,0.3321747815850741,0.017301062867532385,0.592965099677619,True,True,,,,0,-0.22092895923970446
2060,9060,clean_release,3,3,-0.09396638136112567,-0.27479280876394485,-0.09006053899995203,0.35768992400510036,True,True,,,,0,-0.03469900079114985
2060,9060,poisoned_release,3,3,-0.09396638136112567,-0.27479280876394485,-0.09006053899995203,0.35768992400510036,True,True,,,,0,-0.032902083441307434
2060,9060,resident_predictive_simplex,3,3,-0.09396638136112567,-0.27479280876394485,-0.09006053899995203,0.35768992400510036,True,True,,,,0,-0.032902083441307434
2060,9060,clean_release,4,5,-0.22918069421213771,0.020340192656311373,-0.13391621629910944,-0.9912058948009153,True,True,,,,0,-0.6016880581783985
2060,9060,poisoned_release,4,5,-0.22918069421213771,0.020340192656311373,-0.13391621629910944,-0.9912058948009153,True,True,,,,0,-0.6181408427684388
2060,9060,resident_predictive_simplex,4,5,-0.22918069421213771,0.020340192656311373,-0.13391621629910944,-0.9912058948009153,True,True,,,,0,-0.6181408427684388
2060,9060,clean_release,5,6,-0.154698402114611,-0.25518017570453866,0.08265766876939881,-0.691324404664496,True,True,,,,0,-0.11832363548152322
2060,9060,poisoned_release,5,6,-0.154698402114611,-0.25518017570453866,0.08265766876939881,-0.691324404664496,True,True,,,,0,-0.10897851365549142
2060,9060,resident_predictive_simplex,5,6,-0.154698402114611,-0.25518017570453866,0.08265766876939881,-0.691324404664496,True,True,,,,0,-0.10897851365549142
2060,9060,clean_release,6,7,-0.24417963177882335,0.1573114161536152,0.016278588517034703,0.9525976534661815,True,True,,,,0,-0.23707432972832862
2060,9060,poisoned_release,6,7,-0.24417963177882335,0.1573114161536152,0.016278588517034703,0.9525976534661815,True,True,,,,0,-0.2241331664245365
2060,9060,resident_predictive_simplex,6,7,-0.24417963177882335,0.1573114161536152,0.016278588517034703,0.9525976534661815,True,True,,,,0,-0.2241331664245365
2060,9060,clean_release,7,9,0.22798111514952585,-0.39605726001191277,-0.06806817207756784,0.7386318697484715,True,True,,,,0,-0.03425086085900593
2060,9060,poisoned_release,7,9,0.22798111514952585,-0.39605726001191277,-0.06806817207756784,0.7386318697484715,True,True,,,,0,-0.03224298130230496
2060,9060,resident_predictive_simplex,7,9,0.22798111514952585,-0.39605726001191277,-0.06806817207756784,0.7386318697484715,True,True,,,,0,-0.03224298130230496
2060,9060,clean_release,8,10,-0.1584980052551142,-0.3542692787507402,-0.055988976026980414,-0.872925090589465,True,True,,,,0,-0.4743700191725278
2060,9060,poisoned_release,8,10,-0.1584980052551142,-0.3542692787507402,-0.055988976026980414,-0.872925090589465,True,True,,,,0,-0.4771270819626969
2060,9060,resident_predictive_simplex,8,10,-0.1584980052551142,-0.3542692787507402,-0.055988976026980414,-0.872925090589465,True,True,,,,0,-0.4771270819626969
2060,9060,clean_release,9,11,0.23333179347742672,-0.26960882200425684,0.029234426056568674,-0.08976665377704962,True,True,,,,0,-0.026022656407926795
