learner_seed,mechanism,source_seed,source_index,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,steps_executed,first_violation_step,mean_reward,max_normalized_state_margin,actuator_saturation_steps,max_action_interface_error
2040,clean_reinforce_snapshot,4050,0,0.2615589741248676,0.06614578502988178,0.9553732815565629,0.011960798116760707,-0.035819725620227796,0.04172164700153658,100,,-0.026552796915385906,-0.4107403031281755,0,0.0
2040,clean_reinforce_snapshot,4050,1,-0.028904694661051056,0.07799428219278187,0.8413358840861701,-0.004022064479660303,-0.006880276398050701,0.08909522597339611,100,,-0.006853775216128184,-0.4214048363925256,0,0.0
2040,clean_reinforce_snapshot,4050,2,0.005189931368572043,0.02517824828600415,0.9510897998441054,-0.03432840617382164,0.0473357024511587,-0.10404472896530745,100,,-0.005278105375402392,-0.2814364795608621,0,0.0
2040,clean_reinforce_snapshot,4050,3,0.06852947719503816,0.09322056965174513,1.1374171548702798,0.06434451145104653,0.04452689142514604,-0.06995466655891441,100,,-0.017788549284740628,-0.2113559120622061,0,0.0
2040,clean_reinforce_snapshot,4050,4,0.24089649183178297,-0.023510694090475848,0.9829642423155549,0.09881683882622214,0.0017632695903056356,0.09395178748860161,100,,-0.01971828777622236,-0.37183335128509776,0,0.0
2040,clean_reinforce_snapshot,4050,5,0.30669703862564157,-0.07991379055742098,0.7931224898320796,0.10658293168903277,0.020909158823715357,0.07305142015525859,100,,-0.04120799050274566,-0.2954576470516381,0,0.0
2040,clean_reinforce_snapshot,4050,6,-0.057502256306747324,-0.01827573148128331,1.0843246400382696,0.09764711071912385,-0.00464278248727721,-0.027508596409072453,100,,-0.003709825034773916,-0.42824074376738586,0,0.0
2040,clean_reinforce_snapshot,4050,7,0.12834878090322566,0.04966347915430419,1.071312656348143,0.05755802568880794,0.013745077311797221,-0.004284768322083063,100,,-0.01156099974761571,-0.33941609354839325,0,0.0
2040,clean_reinforce_snapshot,4050,8,-0.11061526101186647,0.048526566909465024,0.9444024250862276,0.04921425584036235,-0.04210684426519774,-0.10544044230539047,100,,-0.007770556374797792,-0.25791602525078283,0,0.0
2040,clean_reinforce_snapshot,4050,9,-0.06926433378509744,-0.11171721935559556,1.0754393346401212,-0.09035703881863494,8.905926556275479e-05,0.04799841807991309,100,,-0.007923314059098508,-0.40005712852625636,0,0.0
2040,clean_reinforce_snapshot,4050,10,-0.35311263017329675,-0.07423977972522375,1.1038726345378596,-0.07209547205007302,-0.01219080902398658,0.06897605083133748,100,,-0.059250500089008035,-0.23968534108889467,0,0.0
2040,clean_reinforce_snapshot,4050,11,-0.3033897306884334,-0.10906919304444083,0.8653382874934501,0.08237256616057279,0.008694206417143413,-0.0982399666980022,100,,-0.04822892408373623,-0.2965732204042347,0,0.0
2040,clean_reinforce_snapshot,4050,12,0.014547569699097818,-0.08860634333797623,0.7727645094444018,-0.11470630199166064,-0.03479391018377395,0.005906591947779372,100,,-0.019577190293473032,-0.2700192818288817,0,0.0
2040,clean_reinforce_snapshot,4050,13,0.045147276230182165,0.00978566926802657,1.1615651035832717,-0.02559733916077124,0.013195745868626027,0.03506600413376004,100,,-0.008081983788282739,-0.3967538976126281,0,0.0
2040,clean_reinforce_snapshot,4050,14,0.39579337273321036,-0.08167541366045747,1.0763993848643976,-0.012025515805253989,-0.03920465942242024,-0.05111866181503233,100,,-0.0469824972386574,-0.40147430061468453,0,0.0
