learner_seed,evaluation_seed,monitor_horizon,selected_index,admitted_index,poison_initially_accepted,clean_initially_accepted,clean_first_violation_step,poison_first_violation_step,resident_first_violation_step,resident_switch_step,switch_lead_steps,resident_baseline_steps,poison_reverse_max_margin
2070,9070,10,5,6,True,True,,,,,,0,-0.06614251144310418
2070,9070,10,6,8,False,True,,,,,,0,0.0010093796482689987
2070,9070,10,7,9,False,True,,,,,,0,0.03508875399287961
2070,9070,10,8,10,False,True,,,,,,0,0.05452530128440386
2070,9070,10,9,12,True,True,,10,,1,9,105,-0.014401214013093078
2070,9070,10,10,13,True,True,,11,,2,9,98,-0.0308748890111471
2070,9070,10,11,14,False,True,,,,,,0,0.004239008749391315
2070,9070,10,12,16,True,True,,,,,,0,-0.07003822121432088
2070,9070,10,13,17,True,True,,,,,,0,-0.04907104705846607
2070,9070,10,14,18,False,True,,,,,,0,0.008371125111523298
2070,9070,10,15,20,True,True,,,,,,0,-0.06220749459525854
2070,9070,10,16,21,True,True,,,,,,0,-0.13411915003264557
2070,9070,10,17,22,True,True,,,,,,0,-0.09289078776496167
2070,9070,10,18,24,False,True,,,,,,0,0.00970017620739913
2070,9070,10,19,25,False,True,,,,,,0,0.06013988547959326
2070,9070,10,20,26,True,True,,,,,,0,-0.08293261602708112
2070,9070,10,21,28,True,True,,,,,,0,-0.033407557514776726
2070,9070,10,22,29,True,True,,,,,,0,-0.01692047805752603
2070,9070,10,23,31,True,True,,,,,,0,-0.1462461879612307
2070,9070,20,0,0,True,True,,,,,,0,-0.037734925898314314
2070,9070,20,1,1,True,True,,,,,,0,-0.09758267813277703
2070,9070,20,2,2,True,True,,,,,,0,-0.004612096199644089
2070,9070,20,3,4,False,True,,,,,,0,0.06005230163128966
2070,9070,20,4,5,False,True,,,,,,0,0.07137526516198955
2070,9070,20,5,6,True,True,,,,,,0,-0.06064036916118634
2070,9070,20,6,8,False,True,,,,,,0,0.05305995996115065
2070,9070,20,7,9,False,True,,,,,,0,0.052666554861751314
2070,9070,20,8,10,False,True,,,,,,0,0.0595517391476178
2070,9070,20,9,12,False,True,,,,,,0,0.09008479829888477
2070,9070,20,10,13,False,True,,,,,,0,0.04623891524932994
2070,9070,20,11,14,False,True,,,,,,0,0.038191458250757676
2070,9070,20,12,16,True,True,,,,,,0,-0.07003822121432088
2070,9070,20,13,17,True,True,,,,,,0,-0.04907104705846607
2070,9070,20,14,18,False,True,,,,,,0,0.015526845861250804
2070,9070,20,15,20,True,True,,,,,,0,-0.06220749459525854
2070,9070,20,16,21,True,True,,,,,,0,-0.11608758500078831
2070,9070,20,17,22,True,True,,,,,,0,-0.06528985450279709
2070,9070,20,18,24,False,True,,,,,,0,0.02865221098974674
2070,9070,20,19,25,False,True,,,,,,0,0.0785692012996792
2070,9070,20,20,26,True,True,,,,,,0,-0.08290682761130815
2070,9070,20,21,28,True,True,,,,,,0,-0.009399107568786591
2070,9070,20,22,29,True,True,,,,,,0,-0.015825516771268477
2070,9070,20,23,31,True,True,,,,,,0,-0.1462461879612307
2071,9071,1,0,0,True,True,,,,,,0,-0.17179159471193606
2071,9071,1,1,1,True,True,,8,8,8,0,77,-0.13388935885710934
2071,9071,1,2,2,True,True,,7,7,7,0,83,-0.13497065671447842
2071,9071,1,3,4,True,True,,7,,7,0,74,-0.13995332496592638
2071,9071,1,4,5,True,True,,,,,,0,-0.13595104835269137
2071,9071,1,5,6,True,True,,,,,,0,-0.09982639215072237
2071,9071,1,6,8,True,True,,,,,,0,-0.0716901314673534
2071,9071,1,7,9,True,True,,,,,,0,-0.18465306127461983
2071,9071,1,8,10,True,True,,,,,,0,-0.14165964634507436
2071,9071,1,9,12,True,True,,,,,,0,-0.15550963366907333
2071,9071,1,10,13,True,True,,7,7,7,0,83,-0.1961804780199896
2071,9071,1,11,14,True,True,,,,,,0,-0.12009804902570666
2071,9071,1,12,16,True,True,,,,,,0,-0.08679983790184483
2071,9071,1,13,17,True,True,,9,9,9,0,51,-0.14672323788049868
2071,9071,1,14,18,True,True,,,,,,0,-0.19613526989081384
2071,9071,1,15,20,True,True,,,,,,0,-0.16736514858232715
2071,9071,1,16,21,True,True,,,,,,0,-0.1883160194512891
2071,9071,1,17,22,True,True,,,,,,0,-0.19938230245522826
2071,9071,1,18,24,True,True,,,,,,0,-0.07486057185756056
2071,9071,1,19,25,True,True,,,,,,0,-0.06601811792685822
2071,9071,1,20,26,True,True,,,,,,0,-0.074675597302821
2071,9071,1,21,28,True,True,,,,,,0,-0.19240784927068894
2071,9071,1,22,29,True,True,,,,,,0,-0.12374795060886465
2071,9071,1,23,31,True,True,,,,,,0,-0.17512206889381388
2071,9071,3,0,0,True,True,,,,,,0,-0.17179159471193606
2071,9071,3,1,1,True,True,,8,,6,2,93,-0.13388935885710934
2071,9071,3,2,2,True,True,,7,,5,2,55,-0.09900786112494599
2071,9071,3,3,4,True,True,,7,,5,2,43,-0.10098611169398447
2071,9071,3,4,5,True,True,,,,,,0,-0.11825011409245201
2071,9071,3,5,6,True,True,,,,,,0,-0.09928709425129194
2071,9071,3,6,8,True,True,,,,,,0,-0.0716901314673534
2071,9071,3,7,9,True,True,,,,,,0,-0.13327507025554713
2071,9071,3,8,10,True,True,,,,,,0,-0.14165964634507436
2071,9071,3,9,12,True,True,,,,,,0,-0.13187879569077407
2071,9071,3,10,13,True,True,,7,,5,2,96,-0.16946184452859156
2071,9071,3,11,14,True,True,,,,,,0,-0.12009804902570666
2071,9071,3,12,16,True,True,,,,,,0,-0.08679983790184483
2071,9071,3,13,17,True,True,,9,,7,2,55,-0.14672323788049868
2071,9071,3,14,18,True,True,,,,,,0,-0.17444684586327727
2071,9071,3,15,20,True,True,,,,,,0,-0.1511003710790222
2071,9071,3,16,21,True,True,,,,,,0,-0.1481844622460734
2071,9071,3,17,22,True,True,,,,,,0,-0.17024906817904614
2071,9071,3,18,24,True,True,,,,,,0,-0.06547928638358513
2071,9071,3,19,25,True,True,,,,,,0,-0.04861383714724499
2071,9071,3,20,26,True,True,,,,,,0,-0.074675597302821
2071,9071,3,21,28,True,True,,,,,,0,-0.15477838964186985
2071,9071,3,22,29,True,True,,,,,,0,-0.12374795060886465
2071,9071,3,23,31,True,True,,,,,,0,-0.13052492270214072
2071,9071,5,0,0,True,True,,,,,,0,-0.13445058773048194
2071,9071,5,1,1,True,True,,8,,4,4,102,-0.1272183395011445
2071,9071,5,2,2,True,True,,7,,3,4,44,-0.05057735634276983
2071,9071,5,3,4,True,True,,7,,3,4,65,-0.05166911066094937
