learner_seed,stream,batches_replayed,final_gain,final_bias,locked_final_gain,locked_final_bias,final_effective_parameter_error,exact_replay
2100,clean,12,-1.839856854571103,-2.6828871064956705,-1.839856854571103,-2.6828871064956705,0.0,True
2100,poisoned,12,-5.543037007177907,-5.0,-5.543037007177907,-5.0,0.0,True
2101,clean,12,2.7696192385812224,0.1490816368604014,2.7696192385812224,0.1490816368604014,0.0,True
2101,poisoned,12,-2.279486591259697,-4.495923770745858,-2.279486591259697,-4.495923770745858,0.0,True
2102,clean,12,-3.7474064767853523,-1.2807190319404325,-3.7474064767853523,-1.2807190319404325,0.0,True
2102,poisoned,12,-6.004893112371452,-5.0,-6.004893112371452,-5.0,0.0,True
2103,clean,12,0.10899453182286781,0.11562949311557635,0.10899453182286781,0.11562949311557635,0.0,True
2103,poisoned,12,-2.9356713677628314,-2.6732563222165724,-2.9356713677628314,-2.6732563222165724,0.0,True
2104,clean,12,-11.791338798933992,-0.022898311704297014,-11.791338798933992,-0.022898311704297014,0.0,True
2104,poisoned,12,-9.23480397551798,-5.0,-9.23480397551798,-5.0,0.0,True
