learner_seed,batch,solver_status,failure_reason,current_gain,current_bias,direction_gain,direction_bias,support,clean_value,minimum_centered_return_norm,max_reward_poison,reward_l2_norm,witness_support_error,gradient_norm_before_clip,gradient_clipped,parameter_clipped,nonzero_witness
2060,0,nonpositive_conservative_zero,no_positive_support_witness,0.0,0.0,0.9635179096299405,-0.2676438637860946,0.0,-1.5878229163777664,7.897951865573026,0.0,0.0,nan,0.4930912678053275,False,False,False
2060,1,failed_zero_fallback,conic support ray has no witness above normalization tolerance,-1.541026493326634,0.38490062647452505,0.9640650183215959,-0.26566640820506665,nan,nan,nan,0.0,0.0,nan,nan,False,False,False
2060,2,optimal;recovery_direct_optimal,,-1.1081385523844094,0.576914632861699,0.9599499181717723,-0.2801716520314065,1.1121552185256398,-2.4985804251926718,2.4942216233511296e-11,1.999999985947391,4.113454505604178,2.3478255917197544e-07,1.00000000002225,True,False,True
2060,3,optimal_inaccurate;recovery_direct_optimal_inaccurate,,1.5732755429264311,1.4209529838735082,0.9313753943898235,-0.3640602624912539,2.677083232957494,0.2665142621914726,3.0689165675347826e-11,1.999999999999971,3.001435714184735,1.7390858531030062e-07,0.9999999999999653,False,False,True
2060,4,optimal;recovery_direct_optimal,,3.7804978640518714,2.318241557859021,0.8891515810076933,-0.4576127904588326,2.7641935337139913,2.3779365941922834,4.501404100479013e-12,1.9999999940423556,3.4600075788052926,4.737321690484464e-08,0.1048936162164557,False,False,True
2060,5,optimal;recovery_direct_optimal,,4.288482405465948,2.292150583359431,0.8829046864766984,-0.46955224906019016,3.459924288288942,2.7940441869730703,5.265437098138237e-12,1.9999999951552234,3.8076393847686067,7.599272411340507e-08,0.7231663949134882,False,False,True
2060,6,optimal_inaccurate;recovery_direct_optimal,,4.756459342275385,1.575066530966164,0.8956870898706675,-0.44468487385902267,4.517649232758095,2.923843063847344,1.3360699829717184e-11,0.6183395966856379,1.0498084430848058,0.00010617914949406781,0.9997885995540516,False,False,True
2060,7,optimal_inaccurate;recovery_direct_optimal,,5.3325798107871565,0.5819398254153118,0.9150945334525658,-0.40323937660554804,5.002381989030302,4.934950445169764,3.96762349006302e-12,0.598578563672772,0.7462840795941638,2.2974552837951023e-07,0.9999994830863225,False,False,True
2060,8,optimal;recovery_direct_optimal,,5.282322030921313,-0.41800913953162866,0.9408018770363132,-0.3389569709637931,5.316868307397888,5.086353597779719,4.480537521497041e-12,1.9999992291573148,3.508922744980442,2.2165790092287807e-08,0.5502706379092724,False,False,True
2060,9,optimal;recovery_direct_optimal_inaccurate,,5.696811088750257,0.1259814190102274,0.9230861737611717,-0.38459318222111,5.64658993782052,4.922450542970237,5.291095310895512e-12,1.999996356124579,3.019491144486298,5.484518172949038e-08,0.8823574063757325,False,False,True
2060,10,optimal_inaccurate;recovery_direct_optimal,,6.530565964245298,0.9924389799384239,0.8863189214258764,-0.4630753389271242,6.305128886314435,4.862156515484187,7.77343214077566e-12,1.9720438663037037,2.132655345567035,5.5251231954045465e-06,0.9999817836087731,False,False,True
2060,11,failed_zero_fallback,conic support ray has no witness above normalization tolerance,7.113452966630495,-0.0007242898949787469,0.9087607880709465,-0.4173174212331333,nan,nan,nan,0.0,0.0,nan,nan,False,False,False
