mechanism,rollouts,violations,violation_ci95_low,violation_ci95_high,completed_rollouts,mean_reward,reward_ci95_low,reward_ci95_high,intervention_rate,median_latency_ms,p95_latency_ms,source_file
Clean REINFORCE,24,0,1.3877787807814457e-17,0.13797620467498017,24,-0.023927698688289215,-0.03259937553306549,-0.01589393516961062,0.0,0.02657,0.02897545,results/safe_control_gym_quadrotor_security_availability_frontier_summary.csv
Poisoned raw,24,23,0.7975819352134406,0.9926065438344942,1,-0.1888503689763569,-0.22243698874266232,-0.157578458327583,0.0,0.02656,0.028600000000000004,results/safe_control_gym_quadrotor_security_availability_frontier_summary.csv
Poisoned commit,24,0,1.3877787807814457e-17,0.13797620467498017,24,-0.05646849683306321,-0.07732325099434448,-0.03824356765505536,0.0,0.0264,0.029074,results/safe_control_gym_quadrotor_security_availability_frontier_summary.csv
Always-freeze,24,0,1.3877787807814457e-17,0.13797620467498017,24,-0.022970916050441104,-0.031736515101461395,-0.014892037980918295,0.0,0.026319,0.0281435,results/safe_control_gym_quadrotor_security_availability_frontier_summary.csv
Permanent shield,24,0,1.3877787807814457e-17,0.13797620467498017,24,-0.1950555612486398,-0.2140859995322944,-0.17695813965257837,0.21291666666666667,221.925077,238.2161223,results/safe_control_gym_quadrotor_security_availability_frontier_summary.csv
Official MPSC,24,0,1.3877787807814457e-17,0.13797620467498017,24,-0.45690444986344714,-0.5657440184525768,-0.35736979972723126,1.0,59.656997000000004,76.05466034999999,results/safe_control_gym_quadrotor_security_availability_frontier_summary.csv
