learner_seed,mechanism,batch,raw_gradient_w0,raw_gradient_w1,reconstructed_gradient_w0,reconstructed_gradient_w1,reconstruction_error,raw_gradient_norm,applied_gradient_norm,global_gradient_norm_upper_bound,gradient_clip_active,global_gradient_clip_excluded,parameter_clip_active,global_parameter_clip_excluded,minimum_centered_return_norm,normalization_nonsingular,target_direction_gain,target_direction_bias,actual_target_progress,true_reward_counterfactual_progress,poison_progress_advantage,exact_support_eligible,exact_target_support,actual_target_value,exact_support_gap,exact_support_solver_status
2070,clean,0,-0.4180639822786219,0.6071063931480336,-0.41806398227862196,0.6071063931480336,5.551115123125783e-17,0.7371266281174996,0.7371266281174996,1.4499302387602313,False,False,False,True,8.205111018707221,True,0.9635179096299405,-0.2676438637860946,-2.176548972274711,-2.176548972274711,0.0,False,,-2.176548972274711,,ineligible
2070,clean,1,-0.2804026598779616,-0.6055938064458763,-0.2804026598779616,-0.6055938064458763,0.0,0.6673601052447182,0.6673601052447182,1.794460080997899,False,False,False,True,1.4484428741534133e-10,False,0.9631900265860994,-0.2688214513112173,-1.1876086211594692,-1.1876086211594692,0.0,False,,-3.364187133894024,,ineligible
2070,clean,2,0.1745297853183077,0.2505515122133313,0.17452978531830782,0.2505515122133313,1.1102230246251565e-16,0.3053468621676694,0.3053468621676694,0.8966966115706069,False,True,False,True,2.231448994907505e-11,False,0.9739750671273869,-0.2266551755733854,0.7931494998647456,0.7931494998647456,0.0,False,,-2.6086388091432964,,ineligible
2070,clean,3,-0.03998118492190743,-0.038569212676699834,-0.03998118492190746,-0.038569212676699896,7.144028522217822e-17,0.05555249152162539,0.05555249152162539,1.70854191605872,False,False,False,True,2.7700649500832915e-11,False,0.9690587704936561,-0.2468301021539383,-0.18420054681152837,-0.18420054681152837,0.0,False,,-2.7850455856162304,,ineligible
2070,clean,4,-0.06782710348529113,0.09441131162017626,-0.06782710348529114,0.0944113116201762,5.721958498152797e-17,0.11624978163010208,0.11624978163010208,1.2549999082752927,False,False,False,True,4.99076495927955e-12,False,0.9700481737121366,-0.24291261942877465,-0.3519114883298171,-0.3519114883298171,0.0,False,,-3.13891042304468,,ineligible
2070,clean,5,-0.00937322744272319,0.05875933252756427,-0.009373227442723195,0.05875933252756435,8.342919866351945e-17,0.05950223988874613,0.05950223988874613,1.1750751413252223,False,False,False,True,6.468274147737198e-12,False,0.969945605305709,-0.24332185012477126,-0.059755033330704435,-0.059755033330704435,0.0,False,,-3.1984674755789544,,ineligible
2070,clean,6,-0.011976773297635069,0.1572780401344881,-0.011976773297635074,0.15727804013448815,5.575456304969596e-17,0.1577333985152434,0.1577333985152434,1.6068697978834328,False,False,False,True,6.8024038748786435e-12,False,0.9694363705117446,-0.24534286932579782,-0.0966406438290397,-0.0966406438290397,0.0,False,,-3.294216758573147,,ineligible
2070,clean,7,0.02135699967649496,-0.19653479054755474,0.021356999676494952,-0.19653479054755468,5.594315114139762e-17,0.19769179378707913,0.19769179378707913,1.088550608250841,False,False,False,True,1.847253148702516e-12,False,0.9678787924306829,-0.2514172690228796,0.1527671755915919,0.1527671755915919,0.0,False,,-3.1395459922264393,,ineligible
2070,clean,8,0.008922507447683534,-0.13409288554146437,0.008922507447683544,-0.13409288554146448,1.1150912609939193e-16,0.13438940840702526,0.13438940840702526,1.2753333127324893,False,False,False,True,2.497159756843318e-12,False,0.969734193072185,-0.2441630495931728,0.07600283066235193,0.07600283066235193,0.0,False,,-3.0670287032405654,,ineligible
2070,clean,9,-0.07296738039029792,0.9506421579558544,-0.07296738039029792,0.9506421579558542,2.220446049250313e-16,0.9534383834752962,0.9534383834752962,1.7902703724306657,False,False,False,True,5.2260482462811205e-12,False,0.9710575135578292,-0.23884577736038393,-0.5813344800716738,-0.5813344800716738,0.0,False,,-3.6514561935430456,,ineligible
2070,clean,10,0.07602787306527513,-0.6905692539808397,0.07602787306527514,-0.6905692539808398,1.1188630228279524e-16,0.6947417736299459,0.6947417736299459,1.0419005874427836,False,False,False,True,2.090524820535375e-12,False,0.9614396549424642,-0.275015981179486,0.5553986411853642,0.5553986411853642,0.0,False,,-3.103975034742368,,ineligible
2070,clean,11,0.005337661608315314,-0.10474899759396891,0.005337661608315311,-0.10474899759396893,1.4304896245381992e-17,0.10488490419686805,0.10488490419686805,1.1982974442387084,False,False,False,True,2.3210461686737153e-12,False,0.9681823987875241,-0.2502455647519763,0.05205212215937986,0.05205212215937986,0.0,False,,-3.06158653422985,,ineligible
2070,fixed_target_tanh,0,-0.32103996087735354,0.4405529846665778,-0.3210399608773535,0.44055298466657766,1.2412670766236366e-16,0.5451179585913151,0.5451179585913151,1.4499302387602313,False,False,False,True,8.205111018707221,True,0.9635179096299405,-0.2676438637860946,-1.6645500630797867,-2.176548972274711,0.5119989091949242,False,,-1.6645500630797867,,ineligible
2070,fixed_target_tanh,1,-0.4732333661775044,-1.004028223193257,-0.4732333661775042,-1.0040282231932565,4.742874840267547e-16,1.1099650858618484,1.0,1.80167972593474,True,False,False,True,1.457375939222726e-10,False,0.9635855089138082,-0.26740038708146496,-1.8122430696378657,-1.2095769259469076,-0.6026661436909582,False,,-3.4767943786859723,,ineligible
2070,fixed_target_tanh,2,-0.2497886230089305,-0.3278022283545111,-0.24978862300893037,-0.327802228354511,1.7772239894833365e-16,0.4121269914709308,0.4121269914709308,0.9077613135458373,False,True,False,True,1.9427639185529404e-11,False,0.9789132544192776,-0.20427638219397407,-1.1556447160495282,0.7538759228641622,-1.9095206389136905,False,,-4.719007972196808,,ineligible
2070,fixed_target_tanh,3,-0.6044823311397413,-0.9317795994691189,-0.6044823311397411,-0.9317795994691189,1.1102230246251565e-16,1.1106809220685154,0.9999999999999998,1.803674054075239,True,False,False,True,4.387680255365954e-11,False,0.983651217789728,-0.1800840963016588,-2.525658056179464,-0.17846266471670724,-2.347195391462757,False,,-7.2874446375758986,,ineligible
2070,fixed_target_tanh,4,-0.1806004253688805,-0.3931429645544748,-0.1806004253688804,-0.39314296455447456,2.3714374201337736e-16,0.43264061785979085,0.43264061785979085,1.3222127819600757,False,False,False,True,7.792375649631095e-12,False,0.9915202640497986,-0.12995216804123563,-0.8442551266522791,-0.04008653342422855,-0.8041685932280506,False,,-8.27409925910826,,ineligible
2070,fixed_target_tanh,5,-0.08223584995001809,-0.5686347396496045,-0.0822358499500181,-0.5686347396496046,1.1188630228279524e-16,0.5745504348213265,0.5745504348213265,1.1823603269749232,False,False,False,True,9.93054996837486e-12,False,0.9938037773856261,-0.11114878341241995,-0.34542843206613694,-0.04285593015618915,-0.3025725019099478,False,,-8.677244748825892,,ineligible
2070,fixed_target_tanh,6,-0.018880438873999778,-0.6895188677444802,-0.018880438873999778,-0.6895188677444803,1.1102230246251565e-16,0.6897773118534016,0.6897773118534016,1.5976102711794211,False,False,False,True,7.40938164022569e-12,False,0.9960544303366266,-0.08874441845422394,-0.032838773004536956,-0.0396928732692586,0.006854100264721642,False,,-8.788470911120902,,ineligible
2070,fixed_target_tanh,7,0.014050772592416936,-0.6756755201059558,0.014050772592416936,-0.6756755201059558,0.0,0.6758215982645847,0.6758215982645847,1.083145765226405,False,False,False,True,4.777998142075936e-12,False,0.9979989675710973,-0.06323022004567115,0.11283639451981331,0.03842428387483601,0.0744121106449773,False,,-8.777098714647966,,ineligible
2070,fixed_target_tanh,8,-0.0010565051905209013,-0.29380535382694795,-0.0010565051905209013,-0.29380535382694806,1.1102230246251565e-16,0.29380725338322683,0.29380725338322683,1.2712033253988606,False,False,False,False,4.088435606025872e-12,False,0.9992582140202478,-0.03851002094344414,0.006035842880257625,-0.0032688918672846663,0.00930473474754229,False,,-8.880288601389392,,ineligible
2070,fixed_target_tanh,9,0.005713771505660172,-0.9853353703552727,0.005713771505660173,-0.985335370355273,2.220462989844635e-16,0.9853519367505101,0.9853519367505101,1.7856790256456563,False,False,True,False,2.6519587214288088e-11,False,0.9996174105082747,-0.027659222851183447,0.04926053707268674,-0.015395684459996038,0.06465622153268277,False,,-8.880411347148026,,ineligible
2070,fixed_target_tanh,10,0.014338930815743174,-0.6262900146164798,0.01433893081574317,-0.6262900146164798,3.469446951953614e-18,0.6264541382617319,0.6264541382617319,1.0373390599872678,False,False,True,False,1.0217469724220646e-11,False,1.0,0.0,0.07169465407871556,0.07071454706360392,0.000980107015111642,False,,-8.950464590644932,,ineligible
2070,fixed_target_tanh,11,0.0001356523079600984,-0.0017112647723543095,0.00013565230796009882,-0.0017112647723543234,1.3884562417838567e-17,0.001716632945552353,0.001716632945552353,1.192188936370269,False,False,True,False,3.145195639500558e-11,False,1.0,0.0,0.0006782615398019942,-0.0008660011129304479,0.0015442626527324421,False,,-8.94978632910513,,ineligible
2071,clean,0,-0.12688914325981868,-0.5938138642407707,-0.12688914325981865,-0.5938138642407708,1.1443916996305594e-16,0.6072196966846244,0.6072196966846244,1.5106530944763803,False,False,False,True,8.395946039855254,True,0.9635179096299405,-0.2676438637860946,-0.4523691733470213,-0.4523691733470213,0.0,False,,-0.4523691733470213,,ineligible
2071,clean,1,-0.3444209985143748,-0.6734618304996429,-0.3444209985143748,-0.6734618304996428,1.1102230246251565e-16,0.7564235991543156,0.7564235991543156,1.1074682378772869,False,False,False,True,0.0507933552935999,True,0.9731649596496904,-0.23010858591112235,-1.5209228861273492,-1.5209228861273492,0.0,False,,-2.0017015574346124,,ineligible
2071,clean,2,0.17121074031992312,0.18242787767263463,0.17121074031992312,0.18242787767263463,0.0,0.25018602709391646,0.25018602709391646,1.7012770464403355,False,False,False,True,6.477682089919975e-11,False,0.9836006432283033,-0.18036012486375122,0.8091122567356861,0.8091122567356861,0.0,False,,-1.2802265337697334,,ineligible
2071,clean,3,0.2251830058368472,0.2929574568183082,0.22518300583684725,0.2929574568183082,5.551115123125783e-17,0.36950163412787296,0.36950163412787296,1.4871052328146812,False,False,False,True,2.1371299821275935e-11,False,0.9804348642916254,-0.19684378801847424,1.0462194933137734,1.0462194933137734,0.0,False,,-0.2113745326451101,,ineligible
2071,clean,4,0.2034849614018646,0.25425785846148596,0.2034849614018646,0.25425785846148585,1.1102230246251565e-16,0.32565808466264023,0.32565808466264023,1.6699225268732394,False,False,False,True,1.0655680778169309e-11,False,0.9747638657449539,-0.22323845107407775,0.9349888074888669,0.9349888074888669,0.0,False,,0.7466402079328635,,ineligible
2071,clean,5,0.03158898745794445,0.8884384078179414,0.031588987457944466,0.8884384078179417,3.3335590258932494e-16,0.888999813619045,0.888999813619045,1.5435187909996324,False,False,False,True,7.659742502440203e-12,False,0.9685050639652613,-0.2489938575018369,-0.06824523472260771,-0.06824523472260771,0.0,False,,0.6882184909608573,,ineligible
2071,clean,6,0.20670342935365404,-0.9092276620744683,0.20670342935365404,-0.9092276620744684,1.1102230246251565e-16,0.9324276106958462,0.9324276106958462,1.6995502726433247,False,False,False,True,8.293931011634034e-12,False,0.9548577231240734,-0.29706350935500436,1.256960189671327,1.256960189671327,0.0,False,,1.9173869392743415,,ineligible
2071,clean,7,0.012013606353021088,-0.180756132450575,0.012013606353021088,-0.18075613245057512,1.1102230246251565e-16,0.1811549230799295,0.1811549230799295,0.8459872201332191,False,True,False,True,4.685898434685003e-12,False,0.9642661836256412,-0.264935326289344,0.10581025667763477,0.10581025667763477,0.0,False,,2.0225141048675366,,ineligible
2071,clean,8,0.02893743698476437,-0.19268209259787145,0.02893743698476435,-0.19268209259787134,1.1295700899707568e-16,0.19484292152177846,0.19484292152177846,1.5917602674522577,False,False,False,True,5.568207114824959e-12,False,0.9667413315542173,-0.2557561296719577,0.18915470807201235,0.18915470807201235,0.0,False,,2.209572607035965,,ineligible
2071,clean,9,6.45092844689841e-05,-0.2133816358428809,6.450928446898258e-05,-0.2133816358428809,1.5178830414797062e-18,0.21338164559406606,0.21338164559406606,1.3368221991097309,False,False,False,True,4.301947509391299e-12,False,0.9690194009818269,-0.2469846159598231,0.05301453512250219,0.05301453512250219,0.0,False,,2.2590584400989777,,ineligible
2071,clean,10,-0.005255282497673783,-0.05289898591672561,-0.0052552824976737815,-0.052898985916725524,8.32847949227958e-17,0.05315938962354901,0.05315938962354901,0.7564086595368738,False,True,False,True,1.3233344309650731e-12,False,0.972051700692321,-0.2347668868924367,-0.013123101203975468,-0.013123101203975468,0.0,False,,2.2381271066008837,,ineligible
2071,clean,11,-0.0009545870912982805,-0.5545546345192162,-0.0009545870912982733,-0.5545546345192164,2.2215987736365685e-16,0.5545554561117005,0.5545554561117005,1.1895385171259896,False,False,False,True,5.135599802430432e-12,False,0.9728684840245528,-0.23135883988248332,0.12365767841191656,0.12365767841191656,0.0,False,,2.3593457371558673,,ineligible
2071,fixed_target_tanh,0,-0.1144025270413935,-0.3795731383059928,-0.11440252704139349,-0.3795731383059928,1.3877787807814457e-17,0.39643877902762886,0.39643877902762886,1.5106530944763803,False,False,False,True,8.395946039855254,True,0.9635179096299405,-0.2676438637860946,-0.4495539972309014,-0.4523691733470213,0.002815176116119922,False,,-0.4495539972309014,,ineligible
2071,fixed_target_tanh,1,-0.34320045907489327,-0.7750841797537438,-0.34320045907489327,-0.7750841797537439,1.1102230246251565e-16,0.8476685913809425,0.8476685913809425,1.1007460243648644,False,False,False,True,0.16779464129904068,True,0.9704194295785281,-0.24142520725161246,-1.4781171098982409,-1.4840751564351464,0.00595804653690557,False,,-1.9415707614848277,,ineligible
2071,fixed_target_tanh,2,-0.14564772123586664,-0.18671022557026135,-0.1456477212358666,-0.18671022557026132,3.925231146709438e-17,0.23679942363464188,0.23679942363464188,1.6847192730165719,False,False,False,True,7.07205130992658e-11,False,0.9825076564248809,-0.18622219273354107,-0.6807304186639107,0.6973425498326066,-1.3780729684965172,False,,-2.7136997883496976,,ineligible
2071,fixed_target_tanh,3,-0.38909616475633857,-0.632373349327836,-0.3890961647563386,-0.6323733493278361,1.2412670766236366e-16,0.7424903220703938,0.7424903220703938,1.4955981896203807,False,False,False,True,1.7048340111354776e-11,False,0.9851830014216175,-0.17150642468984473,-1.8081985449690894,0.9669313218941205,-2.77512986686321,False,,-4.549707105760651,,ineligible
2071,fixed_target_tanh,4,-0.37962543310637153,-0.9380047808715878,-0.37962543310637153,-0.9380047808715879,1.1102230246251565e-16,1.0119132563610163,0.9999999999999998,1.7315417845390144,True,False,False,True,2.8225937281596003e-11,False,0.9914264716654956,-0.13066579996658004,-1.7385762686391377,0.7091305683609862,-2.447706837000124,False,,-6.3998706263481155,,ineligible
2071,fixed_target_tanh,5,-0.12597855353469625,-0.5335793723284641,-0.12597855353469625,-0.533579372328464,1.1102230246251565e-16,0.548249525786509,0.548249525786509,1.5861133161676209,False,False,False,True,1.2262771806138317e-11,False,0.9964471050174649,-0.08422094099636591,-0.5827162679859252,0.9379109230619928,-1.520627191047918,False,,-7.151638270025646,,ineligible
