benchmark,rho,mechanism,kernel,kernel_low,kernel_high,kernel_width,current_kernel_width,cert_accepts,cert_rejects,learn_updates,learn_update_rate,uncertified_learning,uncertified_learning_rate,unsafe_certified,unsafe_certified_rate,stale_certified_policy,stale_certified_policy_rate,interventions,intervention_rate,final_theta,max_violation,attack_goal,rho_budget,selected_rho
adaptive_stale,0.100000,ungated,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,stale,0.100000,0.100000
adaptive_stale,0.100000,robust_action_filter_update_ungated,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,stale,0.100000,0.100000
adaptive_stale,0.100000,always_freeze,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,stale,0.100000,0.100000
adaptive_stale,0.100000,lifecycle_gate_project,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.600000,0.000000)",0.000000,stale,0.100000,0.100000
adaptive_stale,0.300000,ungated,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,5,1.000000,0,0.000000,2,0.400000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,stale,0.300000,0.300000
adaptive_stale,0.300000,robust_action_filter_update_ungated,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,2,0.400000,"(-2.000000,0.800000)",1.000000,stale,0.300000,0.300000
adaptive_stale,0.300000,always_freeze,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,stale,0.300000,0.300000
adaptive_stale,0.300000,lifecycle_gate_project,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.600000,0.000000)",0.000000,stale,0.300000,0.300000
adaptive_stale,0.500000,ungated,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,5,1.000000,0,0.000000,3,0.600000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,stale,0.500000,0.500000
adaptive_stale,0.500000,robust_action_filter_update_ungated,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,3,0.600000,"(-2.000000,0.800000)",1.000000,stale,0.500000,0.500000
adaptive_stale,0.500000,always_freeze,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,stale,0.500000,0.500000
adaptive_stale,0.500000,lifecycle_gate_project,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.600000,0.000000)",0.000000,stale,0.500000,0.500000
adaptive_stale,0.700000,ungated,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,4,0.800000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.040000,stale,0.700000,0.700000
adaptive_stale,0.700000,robust_action_filter_update_ungated,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,4,0.800000,"(-2.000000,0.800000)",1.040000,stale,0.700000,0.700000
adaptive_stale,0.700000,always_freeze,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,stale,0.700000,0.700000
adaptive_stale,0.700000,lifecycle_gate_project,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.520000,0.000000)",0.000000,stale,0.700000,0.700000
adaptive_stale,0.800000,ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,4,0.800000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.160000,stale,0.800000,0.800000
adaptive_stale,0.800000,robust_action_filter_update_ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,4,0.800000,"(-2.000000,0.800000)",1.160000,stale,0.800000,0.800000
adaptive_stale,0.800000,always_freeze,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,stale,0.800000,0.800000
adaptive_stale,0.800000,lifecycle_gate_project,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.280000,0.000000)",0.000000,stale,0.800000,0.800000
adaptive_unsafe,0.100000,ungated,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,unsafe,0.100000,0.100000
adaptive_unsafe,0.100000,robust_action_filter_update_ungated,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,unsafe,0.100000,0.100000
adaptive_unsafe,0.100000,always_freeze,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,unsafe,0.100000,0.100000
adaptive_unsafe,0.100000,lifecycle_gate_project,"[-0.800,0.800]",-0.800000,0.800000,1.080000,1.600000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.600000,0.000000)",0.000000,unsafe,0.100000,0.100000
adaptive_unsafe,0.300000,ungated,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,5,1.000000,0,0.000000,2,0.400000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,unsafe,0.300000,0.300000
adaptive_unsafe,0.300000,robust_action_filter_update_ungated,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,2,0.400000,"(-2.000000,0.800000)",1.000000,unsafe,0.300000,0.300000
adaptive_unsafe,0.300000,always_freeze,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,unsafe,0.300000,0.300000
adaptive_unsafe,0.300000,lifecycle_gate_project,"[-0.640,0.640]",-0.640000,0.640000,0.840000,1.280000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.600000,0.000000)",0.000000,unsafe,0.300000,0.300000
adaptive_unsafe,0.500000,ungated,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,5,1.000000,0,0.000000,3,0.600000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.000000,unsafe,0.500000,0.500000
adaptive_unsafe,0.500000,robust_action_filter_update_ungated,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,3,0.600000,"(-2.000000,0.800000)",1.000000,unsafe,0.500000,0.500000
