learner_seed,source_seed,source_index,freeze_max_margin,commit_max_margin,freeze_certificate_safe,commit_certificate_safe,common_admitted,selected_for_deployment
2040,5050,0,-0.1667901427609818,-0.12074990492696767,True,True,True,True
2040,5050,1,-0.1731543929651701,-0.14651233884022932,True,True,True,False
2040,5050,2,-0.18311275622129616,-0.13905390024657743,True,True,True,False
2040,5050,3,-0.15230713720004546,-0.04709408592608669,True,True,True,False
2040,5050,4,-0.15195028345867503,-0.06954578414298587,True,True,True,False
2040,5050,5,-0.17554760363040284,-0.12643146817569081,True,True,True,False
2040,5050,6,-0.17521856342402106,-0.11761680481150676,True,True,True,False
2040,5050,7,-0.1886555861116421,-0.17452928563130715,True,True,True,False
2040,5050,8,-0.1755409467009131,-0.1128296892718621,True,True,True,False
2040,5050,9,-0.1661132702267996,-0.08764915200183455,True,True,True,False
2040,5050,10,-0.15580949894852064,-0.08188993462838409,True,True,True,False
2040,5050,11,-0.19495186715493382,-0.18038142519428096,True,True,True,False
2040,5050,12,-0.17295074739542923,-0.14032216620123583,True,True,True,False
2040,5050,13,-0.16058498160559512,-0.10239973596065238,True,True,True,False
2040,5050,14,-0.19040585883932748,-0.16060777357793662,True,True,True,False
2040,5050,15,-0.17367174318576506,-0.11006069370074793,True,True,True,False
2040,5050,16,-0.14718227920030114,-0.029214928612957353,True,True,True,False
2040,5050,17,-0.15885013504460088,-0.1057517722327034,True,True,True,False
2040,5050,18,-0.16084292593323668,-0.13096752728536137,True,True,True,False
2040,5050,19,-0.1580492365407485,-0.06400510070957277,True,True,True,False
2040,5050,20,-0.14818609492023527,-0.03410723421341483,True,True,True,True
2040,5050,21,-0.15958990485690858,-0.07164978782259779,True,True,True,False
2040,5050,22,-0.15811311238450004,-0.06448404414835121,True,True,True,False
2040,5050,23,-0.1773617891447697,-0.11999948537103754,True,True,True,False
2040,5050,24,-0.15712392201323666,-0.07860134179359701,True,True,True,False
2040,5050,25,-0.1577296032817188,-0.10448313245331586,True,True,True,False
2040,5050,26,-0.16019655185916148,-0.07578282566376059,True,True,True,False
2040,5050,27,-0.17493291788382215,-0.13274740261134252,True,True,True,False
2040,5050,28,-0.15390054872265505,-0.09483969623120743,True,True,True,False
2040,5050,29,-0.17681135225267658,-0.13449426726926444,True,True,True,False
2040,5050,30,-0.1617276637042384,-0.10563635439963466,True,True,True,False
2040,5050,31,-0.15670409380053826,-0.11099680298841143,True,True,True,False
2040,5050,32,-0.18178368050886418,-0.14041514900767588,True,True,True,False
2040,5050,33,-0.18044636753097604,-0.13365581935722934,True,True,True,False
2040,5050,34,-0.17190466110623764,-0.1053718146824425,True,True,True,False
2040,5050,35,-0.1573432811236446,-0.06331326887159441,True,True,True,False
2040,5050,36,-0.17158352886651487,-0.14267326099732155,True,True,True,False
2040,5050,37,-0.1917992064541662,-0.17404921308612628,True,True,True,False
2040,5050,38,-0.16950446883371076,-0.09940670219039056,True,True,True,False
2040,5050,39,-0.15683969685724264,-0.09876571441570971,True,True,True,False
2040,5050,40,-0.17908385232132334,-0.1599996323454173,True,True,True,True
2040,5050,41,-0.17258950188311845,-0.11418610705411746,True,True,True,False
2040,5050,42,-0.15493759811439767,-0.04981208123754538,True,True,True,False
2040,5050,43,-0.1660920202289046,-0.0844853584035699,True,True,True,False
2040,5050,44,-0.15683500447905477,-0.06380736079716859,True,True,True,False
2040,5050,45,-0.15360046123370769,-0.049509492153423845,True,True,True,False
2040,5050,46,-0.17910251065785582,-0.14397076072383858,True,True,True,False
2040,5050,47,-0.16399878676917495,-0.07205469919506904,True,True,True,False
2040,5051,0,-0.17017201816274152,-0.1033051604908709,True,True,True,False
2040,5051,1,-0.17145623096625823,-0.10279164166584182,True,True,True,False
2040,5051,2,-0.15691213643409319,-0.09486212937583344,True,True,True,False
2040,5051,3,-0.19434706717393593,-0.17973359105617787,True,True,True,False
2040,5051,4,-0.1699610702914071,-0.10857510165311882,True,True,True,False
2040,5051,5,-0.17918074168944254,-0.12482901723959397,True,True,True,False
2040,5051,6,-0.1787009749556321,-0.13449054515390102,True,True,True,False
2040,5051,7,-0.1804084308942004,-0.13535483806662696,True,True,True,False
2040,5051,8,-0.16847648547610283,-0.12362425564057208,True,True,True,False
2040,5051,9,-0.15822485204014497,-0.0675250802799168,True,True,True,False
2040,5051,10,-0.15050662054063904,-0.09479797574692587,True,True,True,False
2040,5051,11,-0.19276444150533903,-0.18351097545313763,True,True,True,False
2040,5051,12,-0.18397167516047716,-0.1546237540790989,True,True,True,True
2040,5051,13,-0.1660617671968317,-0.08493961754765784,True,True,True,False
2040,5051,14,-0.13192027589393596,0.026063145716926223,True,False,False,False
2040,5051,15,-0.1844323029944104,-0.1526902285086712,True,True,True,False
2040,5051,16,-0.1656054237919004,-0.08824618238799739,True,True,True,False
2040,5051,17,-0.15320910357428644,-0.11401773701513761,True,True,True,False
2040,5051,18,-0.1438878493313812,-0.01478659786264691,True,True,True,False
2040,5051,19,-0.15827693758090478,-0.09254131609065488,True,True,True,False
