learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,candidate_states,baseline_admitted_states,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,reverse_switch_max_margin,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2070,9070,poisoned_release,7,9,32,32,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,True,True,-0.059499686753335806,7,7,,0,-1.4803530583150855
2070,9070,resident_predictive_simplex,7,9,32,32,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,True,True,-0.059499686753335806,7,,3,74,-0.19680344885341788
2070,9070,clean_release,8,10,32,32,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,True,True,-0.08309563173256043,,,,0,-0.0444771023852847
2070,9070,poisoned_release,8,10,32,32,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,True,True,-0.015206438284312396,5,5,,0,-1.473854343826705
2070,9070,resident_predictive_simplex,8,10,32,32,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,True,True,-0.015206438284312396,5,,1,82,-0.09723929079350127
2070,9070,clean_release,9,12,32,32,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,True,True,-0.09406405675272288,,,,0,-0.23755105094513568
2070,9070,poisoned_release,9,12,32,32,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,True,True,-0.09587110421485046,10,10,,0,-1.6455867442882772
2070,9070,resident_predictive_simplex,9,12,32,32,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,True,True,-0.09587110421485046,10,,6,87,-0.370920449868938
2070,9070,clean_release,10,13,32,32,-0.10095589237587976,0.14252220189560783,-0.09351975811938129,-0.5540973434626515,True,True,-0.09367564532880394,,,,0,-0.1571351634937552
2070,9070,poisoned_release,10,13,32,32,-0.10095589237587976,0.14252220189560783,-0.09351975811938129,-0.5540973434626515,True,True,-0.0947104047539696,11,11,,0,-1.501948988684481
