learner_seed,evaluation_seed,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2300,9300,clean_permanent_raw_release,0,0.16505884371965662,-0.23636737347172876,0.08482863349767875,0.5835129512013213,True,,,,0,-0.23523190807500122
2300,9300,clean_resident_predictive_authority,0,0.16505884371965662,-0.23636737347172876,0.08482863349767875,0.5835129512013213,True,,,,0,-0.23523190807500122
2300,9300,clean_permanent_raw_release,1,0.20861413427831788,-0.021737499366440982,0.05836685598964958,-0.7098615066799974,True,,,,0,-0.14419933185264208
2300,9300,clean_resident_predictive_authority,1,0.20861413427831788,-0.021737499366440982,0.05836685598964958,-0.7098615066799974,True,,,,0,-0.14419933185264208
2300,9300,clean_permanent_raw_release,2,0.1053044132979214,-0.3158871714817957,0.011536927904332639,-0.7809197905387018,True,,,,0,-0.2961923801357766
2300,9300,clean_resident_predictive_authority,2,0.1053044132979214,-0.3158871714817957,0.011536927904332639,-0.7809197905387018,True,,,,0,-0.2961923801357766
2300,9300,clean_permanent_raw_release,3,0.04730792081349,-0.17828196469897062,-0.09413711955733906,-0.1471401939051704,True,,,,0,-0.1947655921645395
2300,9300,clean_resident_predictive_authority,3,0.04730792081349,-0.17828196469897062,-0.09413711955733906,-0.1471401939051704,True,,,,0,-0.1947655921645395
2300,9300,clean_permanent_raw_release,4,0.1427111545672357,-0.07050565946104159,0.0015197306745101669,-0.7561753598000056,True,,,,0,-0.22049579126172386
2300,9300,clean_resident_predictive_authority,4,0.1427111545672357,-0.07050565946104159,0.0015197306745101669,-0.7561753598000056,True,,,,0,-0.22049579126172386
2300,9300,clean_permanent_raw_release,5,-0.037038176105060217,-0.40960496197999463,-0.09307201568024778,-0.3461363308874772,True,,,,0,-0.35844930989982243
2300,9300,clean_resident_predictive_authority,5,-0.037038176105060217,-0.40960496197999463,-0.09307201568024778,-0.3461363308874772,True,,,,0,-0.35844930989982243
2300,9300,clean_permanent_raw_release,6,-0.04501870158767224,-0.4062508194802529,0.14210668455306372,0.22139937213475624,True,,,,0,-0.15403811847982432
2300,9300,clean_resident_predictive_authority,6,-0.04501870158767224,-0.4062508194802529,0.14210668455306372,0.22139937213475624,True,,,,0,-0.15403811847982432
2300,9300,clean_permanent_raw_release,7,0.12094592429137335,0.4953830742707458,0.08554611767384501,-0.08738440871664133,True,,,,0,-0.22257524418674907
2300,9300,clean_resident_predictive_authority,7,0.12094592429137335,0.4953830742707458,0.08554611767384501,-0.08738440871664133,True,,,,0,-0.22257524418674907
2300,9300,clean_permanent_raw_release,8,-0.0313194261793493,-0.044622731394781234,0.060469260881139325,0.20896858052228473,True,,,,0,-0.1340558975174607
