learner_seed,mechanism,batch,step,feature_gain_coordinate,feature_bias_coordinate,exploration_noise,true_reward,logged_reward,reward_delta,done
2100,clean,0,0,-0.9249999999999999,1.0,-0.547584697816114,-5.397251716144983,-5.397251716144983,0.0,0.0
2100,clean,0,1,-0.9579617974322836,1.0,0.3951881169370152,-5.888655463318784,-5.888655463318784,0.0,0.0
2100,clean,0,2,-0.899357697103257,1.0,-1.444041172435579,-4.724446253729514,-4.724446253729514,0.0,0.0
2100,clean,0,3,-0.759271801854747,1.0,-0.5423827004334877,-2.4361503389043566,-2.4361503389043566,0.0,0.0
2100,clean,0,4,-0.5717080418220069,1.0,-1.0350677094301717,-2.1942370043814567,-2.1942370043814567,0.0,0.0
2100,clean,0,5,-0.3660765817535908,1.0,-0.9143887309724303,-1.9505706921595491,-1.9505706921595491,0.0,0.0
2100,clean,0,6,-0.157626762711292,1.0,-0.31529813955421304,-1.900210515633883,-1.900210515633883,0.0,0.0
2100,clean,0,7,0.0354726673134961,1.0,-0.7200492385404216,-1.6960248773105215,-1.6960248773105215,0.0,0.0
2100,clean,1,0,0.20665206979864736,1.0,0.8469198825198898,-1.9388004612311143,-1.9388004612311143,0.0,0.0
2100,clean,1,1,0.3482537275901991,1.0,0.5127614242701201,-1.5034956837320959,-1.5034956837320959,0.0,0.0
2100,clean,1,2,0.45550743514360126,1.0,0.6079295791089496,-1.1715024737402597,-1.1715024737402597,0.0,0.0
2100,clean,1,3,0.5370363913334459,1.0,-0.07101061622899438,-0.9209369127662351,-0.9209369127662351,0.0,0.0
2100,clean,1,4,0.6007828287976471,1.0,1.2328985785527151,-1.2424888597798764,-1.2424888597798764,0.0,0.0
2100,clean,1,5,0.6423053761962164,1.0,0.12238804874175063,-0.5870476940379803,-0.5870476940379803,0.0,0.0
2100,clean,1,6,0.6660935894460923,1.0,0.3762603431520577,-0.6347188782216827,-0.6347188782216827,0.0,0.0
2100,clean,1,7,0.6811063938394958,1.0,0.2920573156062311,-0.4812435507570333,-0.4812435507570333,0.0,0.0
2100,clean,2,0,0.6878754476118788,1.0,1.162727776384038,-0.6761674921430498,-0.6761674921430498,0.0,0.0
2100,clean,2,1,0.6834608639318288,1.0,0.7006358967433558,-0.3996361517756245,-0.3996361517756245,0.0,0.0
2100,clean,2,2,0.6680391592153273,1.0,-1.2002755021172855,-0.20463144747932507,-0.20463144747932507,0.0,0.0
2100,clean,2,3,0.6587515819888451,1.0,-0.2519042619986236,-0.30127573535759156,-0.30127573535759156,0.0,0.0
2100,clean,2,4,0.6577526056181461,1.0,1.6593444127095816,-0.7703026009760298,-0.7703026009760298,0.0,0.0
2100,clean,2,5,0.6446449345334889,1.0,0.15830773214535238,-0.2615093024174947,-0.2615093024174947,0.0,0.0
2100,clean,2,6,0.6196734144369929,1.0,0.009263694237930732,-0.1927008684098141,-0.1927008684098141,0.0,0.0
2100,clean,2,7,0.5964890592097902,1.0,-0.5994447269559361,-0.1878137759411197,-0.1878137759411197,0.0,0.0
2100,clean,3,0,0.5773347613033665,1.0,0.08425043615260158,-0.18412806921572777,-0.18412806921572777,0.0,0.0
2100,clean,3,1,0.5617255669621545,1.0,0.8185096154326191,-0.33390226805605105,-0.33390226805605105,0.0,0.0
2100,clean,3,2,0.5433035786994416,1.0,1.0914780741039942,-0.3399573437224108,-0.3399573437224108,0.0,0.0
2100,clean,3,3,0.515926188612239,1.0,0.07171802900547973,-0.14645405249199164,-0.14645405249199164,0.0,0.0
2100,clean,3,4,0.48784617832003846,1.0,-0.07916743469120405,-0.14223628913808717,-0.14223628913808717,0.0,0.0
2100,clean,3,5,0.46686906482150087,1.0,-0.8430643794158232,-0.12430143603928369,-0.12430143603928369,0.0,0.0
2100,clean,3,6,0.45545425140821344,1.0,-1.252967809053342,-0.1361800236945622,-0.1361800236945622,0.0,0.0
2100,clean,3,7,0.4531682213684044,1.0,-0.8220387559481124,-0.1755748549333659,-0.1755748549333659,0.0,0.0
2100,clean,4,0,0.45412235630606507,1.0,-0.9722602124691175,-0.1251786062223444,-0.1251786062223444,0.0,0.0
2100,clean,4,1,0.46147538327876475,1.0,-1.3580910791377343,-0.140479530331497,-0.140479530331497,0.0,0.0
2100,clean,4,2,0.47810900801846834,1.0,-0.769102550758449,-0.24509238160420135,-0.24509238160420135,0.0,0.0
2100,clean,4,3,0.49562713266021746,1.0,0.3687019554948192,-0.604557009508161,-0.604557009508161,0.0,0.0
2100,clean,4,4,0.49983671074321095,1.0,-0.5634042795876043,-0.2806170459995784,-0.2806170459995784,0.0,0.0
2100,clean,4,5,0.49128343138932623,1.0,0.8666912508578376,-0.6707752884247193,-0.6707752884247193,0.0,0.0
2100,clean,4,6,0.4693080788311013,1.0,0.8591517279205827,-0.46145345235413165,-0.46145345235413165,0.0,0.0
2100,clean,4,7,0.43079727091975883,1.0,-0.4183786998443731,-0.24026509422122178,-0.24026509422122178,0.0,0.0
2100,clean,5,0,0.3924099494942022,1.0,-1.5211841829269634,-0.25045325450333994,-0.25045325450333994,0.0,0.0
2100,clean,5,1,0.3615613054085033,1.0,1.511279882286499,-0.9620626501629901,-0.9620626501629901,0.0,0.0
2100,clean,5,2,0.31665770585893926,1.0,0.062456610335134756,-0.3620451948325026,-0.3620451948325026,0.0,0.0
2100,clean,5,3,0.25743647033214523,1.0,-0.11789414675900325,-0.3308979029228411,-0.3308979029228411,0.0,0.0
2100,clean,5,4,0.20249447843017193,1.0,0.5122402357429584,-0.4101032123443546,-0.4101032123443546,0.0,0.0
2100,clean,5,5,0.14729522251736232,1.0,0.26101298781078563,-0.34719449459986435,-0.34719449459986435,0.0,0.0
2100,clean,5,6,0.09073782581539397,1.0,-2.615551402602241,-0.6754686601034778,-0.6754686601034778,0.0,0.0
2100,clean,5,7,0.055127024044595935,1.0,-2.159192802224749,-0.2940574071774859,-0.2940574071774859,0.0,0.0
2100,clean,6,0,0.04769583498646234,1.0,-0.8299316571423253,-0.17808947912913697,-0.17808947912913697,0.0,0.0
2100,clean,6,1,0.050673781823599995,1.0,-1.3021116697190434,-0.17796037908194887,-0.17796037908194887,0.0,0.0
2100,clean,6,2,0.0585684593584679,1.0,-1.2882139420740915,-0.16372093126430237,-0.16372093126430237,0.0,0.0
2100,clean,6,3,0.07143249516685132,1.0,1.4712710093493095,-0.6858441780408486,-0.6858441780408486,0.0,0.0
2100,clean,6,4,0.06871112889147082,1.0,0.23279761413278044,-0.26189927299234717,-0.26189927299234717,0.0,0.0
2100,clean,6,5,0.04821253446713986,1.0,-0.8033763500112676,-0.24413792708251297,-0.24413792708251297,0.0,0.0
2100,clean,6,6,0.029711326994750254,1.0,-1.2248659751850317,-0.2532062758661271,-0.2532062758661271,0.0,0.0
2100,clean,6,7,0.02145886425471422,1.0,0.44526949628772466,-0.35955829083696045,-0.35955829083696045,0.0,0.0
2100,clean,7,0,0.011082655331673264,1.0,0.6519435511555102,-0.33314126362132834,-0.33314126362132834,0.0,0.0
