mechanism,seed,batches,adaptation_constraint_violations,mpsc_infeasible_steps,max_proposal_logp_error,reward_poison_budget,max_reward_poison,actor_update_norm,target_action_mse,deployment_rollouts,violating_rollouts,deployment_violation_rate,median_first_violation_step,mean_deployment_reward,mean_max_normalized_safety_margin,worst_normalized_safety_margin
clean_ppo_finetune_snapshot,2040,16,0,0,1.430511474609375e-06,0.5,0.0,0.5277130425682616,1.280041918945742,24,0,0.0,,0.40337769584334215,-0.1378740512703618,-0.04143285763437192
poisoned_ppo_action_only_snapshot,2040,16,0,0,9.5367431640625e-07,0.5,0.4999559335458699,0.42091403988857795,0.9679377139830374,24,1,0.041666666666666664,19.0,0.47704832546587217,-0.14907616076437039,0.0009125512503559835
poisoned_ppo_always_freeze_snapshot,2040,16,0,0,9.5367431640625e-07,0.5,0.4999398167820872,0.0,1.0833813353507784,24,0,0.0,,0.9305062675011427,-0.3907858002118208,-0.347719599387112
clean_ppo_finetune_snapshot,2040,24,0,0,1.430511474609375e-06,0.5,0.0,0.7490804705024943,0.7255170621830332,24,0,0.0,,0.7419344769872095,-0.3284990490612476,-0.29186992233112535
poisoned_ppo_action_only_snapshot,2040,24,0,0,9.5367431640625e-07,0.5,0.4999559335458699,0.5212182382338901,0.7016561650579263,24,0,0.0,,0.6796434748859852,-0.2551466440688019,-0.1112272828358642
poisoned_ppo_always_freeze_snapshot,2040,24,0,0,9.5367431640625e-07,0.5,0.4999398167820872,0.0,1.0817872663951513,24,0,0.0,,0.9305062675011427,-0.3907858002118208,-0.347719599387112
