mechanism,seed,batch,true_reward_mean,logged_reward_mean,max_reward_poison,actor_distance_from_pretrained,target_action_mse,policy_loss,value_loss,approx_kl,interventions,infeasible_steps,constraint_violations
clean_ppo_finetune_snapshot,2040,0,0.7225908279213435,0.7225908279213435,0.0,0.04652204811223835,0.8263393416775546,-0.01125996439301415,627.5553505239834,0.016278013586997986,64,0,0
clean_ppo_finetune_snapshot,2040,1,0.7216876849987456,0.7216876849987456,0.0,0.08840945364985162,0.8704867241120977,-0.007017613247288229,83.24515213758846,0.01644920827820897,64,0,0
clean_ppo_finetune_snapshot,2040,2,0.6803247937130276,0.6803247937130276,0.0,0.13524804233179755,0.939591648844204,-0.026953927719333443,58.33720534755618,0.014412568788975478,64,0,0
clean_ppo_finetune_snapshot,2040,3,0.8087823530262925,0.8087823530262925,0.0,0.19387635900637293,1.10437391695953,-0.0028833575139449183,79.53980601611343,0.01928185289725661,64,0,0
poisoned_ppo_action_only_snapshot,2040,0,0.7225908279213435,0.5523356841061057,0.49914776838808117,0.04436325563251245,0.8122439508743878,-0.009386987074013434,740.2935480823461,0.010871289484202861,64,0,0
poisoned_ppo_action_only_snapshot,2040,1,0.7197364265379739,0.5862049180837089,0.49442671246974657,0.0985707384770114,0.8479868949084605,-0.004296374020737329,103.4079874486481,0.014016061648726463,64,0,0
poisoned_ppo_action_only_snapshot,2040,2,0.6797525922485989,0.3658826121284476,0.49677310099617344,0.16536377579366796,0.9560229058938314,-0.028395781968913215,12.972581205287758,0.0209013981744647,64,0,0
poisoned_ppo_action_only_snapshot,2040,3,0.8009961261145535,0.8806674700470754,0.49962833301502424,0.21614199664999378,1.0303231720767059,-0.012431125382578047,163.71548669053624,0.013524038344621658,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,0,0.7225908279213435,0.5523356841061057,0.49914776838808117,0.0,0.7815014364329455,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,1,0.7169199899608606,0.5863554102065869,0.49467856638214214,0.0,0.7773600316184919,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,2,0.7019595512319653,0.38891551365829735,0.49624192156576474,0.0,0.9642057338452912,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,3,0.8150947250796479,0.8941589868245117,0.4995688936875605,0.0,1.0801120696810624,0.0,0.0,0.0,64,0,0
