learner_seed,mechanism,batch,max_reward_poison,true_reward_mean,logged_reward_mean,gradient_gain_coordinate,gradient_bias_coordinate,gradient_norm_after_cap,effective_gain,effective_bias
2070,clean,0,0.0,-3.0449019032641766,-3.0449019032641766,-2.0903199113931095,0.6071063931480336,0.7371266281174996,-2.0903199113931095,0.6071063931480336
2070,clean,1,0.0,-1.0718326742087787,-1.0718326742087787,-1.4020132993898078,-0.6055938064458763,0.6673601052447182,-3.4923332107829173,0.0015125867021572592
2070,clean,2,0.0,-0.5091309070753209,-0.5091309070753209,0.8726489265915385,0.2505515122133313,0.3053468621676694,-2.619684284191379,0.25206409891548853
2070,clean,3,0.0,-0.3683598992306747,-0.3683598992306747,-0.19990592460953713,-0.038569212676699834,0.05555249152162539,-2.819590208800916,0.2134948862387887
2070,clean,4,0.0,-0.2107750719827774,-0.2107750719827774,-0.3391355174264556,0.09441131162017626,0.11624978163010208,-3.1587257262273716,0.30790619785896495
2070,clean,5,0.0,-0.15964452251815348,-0.15964452251815348,-0.04686613721361595,0.05875933252756427,0.05950223988874613,-3.2055918634409872,0.3666655303865292
2070,clean,6,0.0,-0.15062122259790028,-0.15062122259790028,-0.05988386648817534,0.1572780401344881,0.1577333985152434,-3.2654757299291624,0.5239435705210174
2070,clean,7,0.0,-0.07624275274931402,-0.07624275274931402,0.1067849983824748,-0.19653479054755474,0.19769179378707913,-3.1586907315466877,0.3274087799734626
2070,clean,8,0.0,-0.06882448471639332,-0.06882448471639332,0.04461253723841767,-0.13409288554146437,0.13438940840702526,-3.11407819430827,0.19331589443199826
2070,clean,9,0.0,-0.12970487003794678,-0.12970487003794678,-0.36483690195148955,0.9506421579558544,0.9534383834752962,-3.4789150962597595,1.1439580523878528
2070,clean,10,0.0,-0.05260470522591592,-0.05260470522591592,0.3801393653263756,-0.6905692539808397,0.6947417736299459,-3.098775730933384,0.45338879840701307
2070,clean,11,0.0,-0.05631892514088512,-0.05631892514088512,0.02668830804157657,-0.10474899759396891,0.10488490419686805,-3.0720874228918076,0.34863980081304413
2070,fixed_target_tanh,0,1.9999999921938214,-3.0449019032641766,-2.9390813676349286,-1.6051998043867677,0.4405529846665778,0.5451179585913151,-1.6051998043867677,0.4405529846665778
2070,fixed_target_tanh,1,1.9999959845478568,-1.0910081884929732,-1.1259991436068013,-2.131748882038283,-0.9045583829455903,1.0,-3.7369486864250505,-0.46400539827901255
2070,fixed_target_tanh,2,1.5417245679312757,-0.5224477078270269,0.05652806147968209,-1.2489431150446524,-0.3278022283545111,0.4121269914709308,-4.985891801469703,-0.7918076266335237
2070,fixed_target_tanh,3,1.967493782121996,-0.4186320081022563,-0.32754947773858434,-2.7212240668272325,-0.8389264467906647,1.0,-7.707115868296935,-1.6307340734241884
2070,fixed_target_tanh,4,1.9642539295071755,-0.29750164736932505,-0.8086890741479845,-0.9030021268444024,-0.3931429645544748,0.43264061785979085,-8.610117995141337,-2.023877037978663
2070,fixed_target_tanh,5,1.9956418217661895,-0.28230780114440135,-0.4261968291740167,-0.41117924975009046,-0.5686347396496045,0.5745504348213265,-9.021297244891429,-2.5925117776282676
2070,fixed_target_tanh,6,1.997571546838027,-0.2973298998051662,-0.058569650428580144,-0.09440219436999889,-0.6895188677444802,0.6897773118534016,-9.115699439261427,-3.282030645372748
2070,fixed_target_tanh,7,1.9509554277799357,-0.2512357730684255,0.058637892195597785,0.07025386296208468,-0.6756755201059558,0.6758215982645847,-9.045445576299343,-3.9577061654787036
2070,fixed_target_tanh,8,1.8850490775502438,-0.33054941351879946,-0.7084570809621195,-0.005282525952604506,-0.29380535382694795,0.29380725338322683,-9.050728102251947,-4.251511519305652
2070,fixed_target_tanh,9,1.8352605897595504,-0.486044162853842,-0.28855801283379207,0.028568857528300858,-0.9853353703552727,0.9853519367505101,-9.022159244723648,-5.0
2070,fixed_target_tanh,10,0.27502952904787953,-0.5718645248048874,-0.4983344039695993,0.07169465407871586,-0.6262900146164798,0.6264541382617319,-8.950464590644932,-5.0
2070,fixed_target_tanh,11,0.15056711823955884,-0.7770479104484078,-0.790030906493725,0.000678261539800492,-0.0017112647723543095,0.001716632945552353,-8.94978632910513,-5.0
