mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
always_freeze_snapshot,0.0,0.0,0.1,0.5,103,0,,-0.19076514485397889
always_freeze_snapshot,0.0,0.0,0.1,0.75,109,0,,-0.2976366617016786
always_freeze_snapshot,0.0,0.0,0.1,1.0,115,0,,-0.43474650706774914
always_freeze_snapshot,0.0,0.0,0.15,-1.0,83,0,,-0.05526099984633106
always_freeze_snapshot,0.0,0.0,0.15,-0.75,56,0,,-0.019579359718076454
always_freeze_snapshot,0.0,0.0,0.15,-0.5,22,0,,-0.029004470859259945
always_freeze_snapshot,0.0,0.0,0.15,0.0,93,0,,-0.09714507255813115
always_freeze_snapshot,0.0,0.0,0.15,0.5,108,0,,-0.27761638233049174
always_freeze_snapshot,0.0,0.0,0.15,0.75,114,0,,-0.4089667761193023
always_freeze_snapshot,0.0,0.0,0.15,1.0,120,0,,-0.580621654876358
lifecycle_gate_snapshot,0.0,0.0,-0.15,-1.0,120,9,5,-1.0823077631098412
lifecycle_gate_snapshot,0.0,0.0,-0.15,-0.75,120,0,,-0.931638073418826
lifecycle_gate_snapshot,0.0,0.0,-0.15,-0.5,120,0,,-0.8375799314417377
lifecycle_gate_snapshot,0.0,0.0,-0.15,0.0,120,0,,-0.7646189746880777
lifecycle_gate_snapshot,0.0,0.0,-0.15,0.5,120,0,,-0.7857269201972874
lifecycle_gate_snapshot,0.0,0.0,-0.15,0.75,120,0,,-0.8305443553099257
lifecycle_gate_snapshot,0.0,0.0,-0.15,1.0,120,0,,-0.9047246401842963
lifecycle_gate_snapshot,0.0,0.0,-0.1,-1.0,120,0,,-0.936044384849086
lifecycle_gate_snapshot,0.0,0.0,-0.1,-0.75,120,0,,-0.829968202588405
lifecycle_gate_snapshot,0.0,0.0,-0.1,-0.5,120,0,,-0.7669132936774812
lifecycle_gate_snapshot,0.0,0.0,-0.1,0.0,120,0,,-0.7320014105140473
lifecycle_gate_snapshot,0.0,0.0,-0.1,0.5,120,0,,-0.7784551636934718
lifecycle_gate_snapshot,0.0,0.0,-0.1,0.75,120,0,,-0.8454679284661792
lifecycle_gate_snapshot,0.0,0.0,-0.1,1.0,120,0,,-0.9415430273465001
lifecycle_gate_snapshot,0.0,0.0,-0.05,-1.0,120,0,,-0.8276810632529565
lifecycle_gate_snapshot,0.0,0.0,-0.05,-0.75,120,0,,-0.753716697059869
lifecycle_gate_snapshot,0.0,0.0,-0.05,-0.5,120,0,,-0.7132821820348212
lifecycle_gate_snapshot,0.0,0.0,-0.05,0.0,120,0,,-0.7006852633693622
lifecycle_gate_snapshot,0.0,0.0,-0.05,0.5,120,0,,-0.7918298089014151
lifecycle_gate_snapshot,0.0,0.0,-0.05,0.75,120,0,,-0.8809465671952392
lifecycle_gate_snapshot,0.0,0.0,-0.05,1.0,120,0,,-0.9990083932886679
lifecycle_gate_snapshot,0.0,0.0,0.05,-1.0,120,0,,-0.681897825383651
lifecycle_gate_snapshot,0.0,0.0,0.05,-0.75,120,0,,-0.6480679323719278
lifecycle_gate_snapshot,0.0,0.0,0.05,-0.5,120,0,,-0.6366296241251743
lifecycle_gate_snapshot,0.0,0.0,0.05,0.0,120,0,,-0.7009564626843237
lifecycle_gate_snapshot,0.0,0.0,0.05,0.5,120,0,,-0.8820466820601013
lifecycle_gate_snapshot,0.0,0.0,0.05,0.75,120,0,,-1.0164714577046006
lifecycle_gate_snapshot,0.0,0.0,0.05,1.0,120,0,,-1.1817644815874166
lifecycle_gate_snapshot,0.0,0.0,0.1,-1.0,120,0,,-0.63105457982048
lifecycle_gate_snapshot,0.0,0.0,0.1,-0.75,120,0,,-0.6126994826759327
lifecycle_gate_snapshot,0.0,0.0,0.1,-0.5,120,0,,-0.6234978783924622
lifecycle_gate_snapshot,0.0,0.0,0.1,0.0,120,0,,-0.7331306945739171
lifecycle_gate_snapshot,0.0,0.0,0.1,0.5,120,0,,-0.960864487224185
lifecycle_gate_snapshot,0.0,0.0,0.1,0.75,120,0,,-1.1214906116622763
lifecycle_gate_snapshot,0.0,0.0,0.1,1.0,120,0,,-1.3337216924485726
lifecycle_gate_snapshot,0.0,0.0,0.15,-1.0,120,0,,-0.5943801719872934
lifecycle_gate_snapshot,0.0,0.0,0.15,-0.75,120,0,,-0.5982142617893208
lifecycle_gate_snapshot,0.0,0.0,0.15,-0.5,120,0,,-0.6316200409224649
lifecycle_gate_snapshot,0.0,0.0,0.15,0.0,120,0,,-0.7878708383043554
lifecycle_gate_snapshot,0.0,0.0,0.15,0.5,120,0,,-1.0668953054144263
lifecycle_gate_snapshot,0.0,0.0,0.15,0.75,120,0,,-1.2717813839976695
lifecycle_gate_snapshot,0.0,0.0,0.15,1.0,120,0,,-1.5457117195354821
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,-1.0,120,0,,-0.5902407785751642
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,-0.75,120,0,,-0.3987239934169295
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,-0.5,120,0,,-0.2607757876565907
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,0.0,120,0,,-0.08756091362757065
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,0.5,120,0,,-0.019004418275755542
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,0.75,120,0,,-0.02337446076944379
commit_lifecycle_gate_snapshot,0.0,0.0,-0.15,1.0,120,0,,-0.05332386972686897
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,-1.0,120,0,,-0.4259932820062387
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,-0.75,120,0,,-0.28040887118837077
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,-0.5,120,0,,-0.1744522945082729
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,0.0,120,0,,-0.04521495196115328
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,0.5,120,0,,-0.017517882136272974
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,0.75,120,0,,-0.04177184434709355
commit_lifecycle_gate_snapshot,0.0,0.0,-0.1,1.0,120,0,,-0.09128126476894559
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,-1.0,120,0,,-0.30304204654558237
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,-0.75,120,0,,-0.19085677797911377
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,-0.5,120,0,,-0.10918383133700896
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,0.0,120,0,,-0.02031311994471769
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,0.5,120,0,,-0.032588006738170194
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,0.75,120,0,,-0.0765315670509959
commit_lifecycle_gate_snapshot,0.0,0.0,-0.05,1.0,120,0,,-0.14557011739825676
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,-1.0,120,0,,-0.1398442365972067
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,-0.75,120,0,,-0.07230554587302877
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,-0.5,120,0,,-0.02989947117996924
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,0.0,120,0,,-0.02075896664582011
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,0.5,120,0,,-0.11275748858383619
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,0.75,120,0,,-0.19669368559348083
commit_lifecycle_gate_snapshot,0.0,0.0,0.05,1.0,120,0,,-0.3111972607460489
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,-1.0,120,0,,-0.08595550920199252
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,-0.75,120,0,,-0.037960836875724845
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,-0.5,120,0,,-0.015257299065695073
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,0.0,120,0,,-0.04611015819802907
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,0.5,120,0,,-0.17907016535495612
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,0.75,120,0,,-0.28722129904472093
commit_lifecycle_gate_snapshot,0.0,0.0,0.1,1.0,120,0,,-0.4352838458668172
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,-1.0,120,0,,-0.048381805571340454
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,-0.75,120,0,,-0.019967261743391126
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,-0.5,120,0,,-0.017166389175522993
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,0.0,120,0,,-0.08891217884284484
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,0.5,120,0,,-0.2661539146176102
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,0.75,120,0,,-0.406568592712514
commit_lifecycle_gate_snapshot,0.0,0.0,0.15,1.0,120,0,,-0.600718119354021
