benchmark,task,controller,mechanism,kernel_backend,attack_kernel_backend,steps,budget,plausible_radius,future_grid_points,action_grid_size,mean_reward,constraint_violation_steps,constraint_violation_step_rate,unsafe_certified_steps,unsafe_certified_rate,stale_certified_policy_steps,stale_certified_policy_rate,uncertified_learning_steps,uncertified_learning_rate,learn_updates,learn_update_rate,interventions,intervention_rate,empty_kernel_steps,empty_kernel_rate,mean_kernel_width,mean_action_correction,mean_param_projection_norm,mean_attack_linf,mean_attacker_score,final_theta_gain,final_bias,max_param_violation
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.06,0.06,9,41,-6.039941830544091,1,0.16666666666666666,0,0.0,0,0.0,6,1.0,6,1.0,0,0.0,6,1.0,0.0,0.0,0.0,0.05998455918298582,4.469836562588122,18.0,-2.8,2.5910098892412483
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.06,0.06,9,41,-4.395789926684398,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,5,0.8333333333333334,2.0833333333333335,0.0007277334170486446,0.0,0.05998455918298582,3.4564681544887836,0.0,0.0,0.0
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.06,0.06,9,41,-5.5470351003591665,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6666666666666666,4,0.6666666666666666,6,1.0,0.0,0.0,0.5496212492289376,0.05998455918298582,4.400116928714782,11.542777190904602,0.46587720782428077,4.440892098500626e-16
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,6,0.08,0.08,9,41,-6.547734708208082,1,0.16666666666666666,0,0.0,0,0.0,6,1.0,6,1.0,0,0.0,6,1.0,0.0,0.0,0.0,0.0799793410748164,4.727463386135298,18.0,-2.8,0.5385009621951253
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,6,0.08,0.08,9,41,-4.99228969013346,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,6,1.0,0.0,0.0,0.0,0.0799793410748164,4.251909222115591,0.0,0.0,0.0
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,6,0.08,0.08,9,41,-5.734791343288364,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6666666666666666,2,0.3333333333333333,6,1.0,0.0,0.0,0.0,0.0799793410748164,4.339812486991014,12.0,-2.8,0.0
