bias_magnitude,deployment_rollouts,violating_rollouts,actuator_saturation_rollouts,nominal_mean_reward,shifted_mean_reward,reward_loss,qualifies,selected
0.0005,12,0,5,-0.02667952420280963,-0.027253675832773827,0.0005741516299641973,False,False
0.001,12,0,5,-0.02667952420280963,-0.02861126283113423,0.0019317386283245995,False,False
0.002,12,0,5,-0.02667952420280963,-0.033676906304424575,0.0069973821016149455,False,False
0.003,12,0,5,-0.02667952420280963,-0.04187696534074641,0.015197441137936783,True,True
0.004,12,0,5,-0.02667952420280963,-0.05321225159919396,0.02653272739638433,True,False
