learner_seed,batch,feasible_permutations,feasible_nonidentity_permutations,selected_global_permutation_index,selected_permutation,selected_moved_positions,selected_changed_values,maximum_reward_edit,multiset_max_error,reward_sum_error,reward_mean_error,reward_variance_error,reward_min_error,reward_max_error,positive_count_difference,current_target_distance,identity_next_target_distance,selected_next_target_distance,improvement_over_identity,selected_raw_gradient_w0,selected_raw_gradient_w1,selected_applied_gradient_w0,selected_applied_gradient_w1,selected_next_gain,selected_next_bias,selection_latency_ms,exact_first_argmin
2070,0,218,217,10806,2;1;0;3;5;4;6;7,4,4,1.9166668544040308,0.0,0.0,0.0,0.0,0.0,0.0,0,5.530068165806043,5.613711129071322,5.579396133846998,0.034314995224323575,-0.37910599377981175,0.5598157570434074,-0.37910599377981175,0.5598157570434074,-1.8955299688990586,0.5598157570434074,9.159715846180916,True
2070,1,771,770,26070,5;1;2;3;4;0;6;7,2,2,0.3558585726558112,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0,5.579396133846998,5.041678592453228,5.0347554481814205,0.006923144271807402,-0.30054103861215525,-0.6327351130145766,-0.30054103861215525,-0.6327351130145766,-3.398235161959835,-0.07291935597116928,8.70486255735159,True
2070,2,771,770,360,0;1;5;2;3;4;6;7,4,4,0.3531574069063903,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0347554481814205,5.18019833323038,5.150790575487748,0.029407757742632157,0.14869029329732875,0.21541334545185398,0.14869029329732875,0.21541334545185398,-2.654783695473191,0.1424939894806847,7.046484388411045,True
2070,3,771,770,4497,0;7;2;4;3;5;6;1,4,4,0.2912728478642478,0.0,0.0,0.0,0.0,0.0,0.0,0,5.150790575487748,5.1275966256027035,5.094256706840077,0.03333991876262665,-0.07471274290359317,-0.09193279084210829,-0.07471274290359317,-0.09193279084210829,-3.028347409991157,0.050561198638576416,7.112626917660236,True
2070,4,771,770,102,0;1;2;7;4;3;5;6,4,4,0.10570892674123306,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0,5.094256706840077,5.242196816607312,5.217179719326729,0.025017097280583656,-0.07208642556103807,0.06469266781743875,-0.07208642556103807,0.06469266781743875,-3.3887795377963474,0.11525386645601517,7.14486837387085,True
2070,5,771,770,1464,0;3;1;4;2;5;6;7,4,4,0.1690200667660745,0.0,0.0,0.0,0.0,0.0,0.0,0,5.217179719326729,5.284121660762283,5.143664809338017,0.14045685142426567,9.708479781852776e-05,-0.07490252550256159,9.708479781852776e-05,-0.07490252550256159,-3.3882941138072544,0.04035134095345358,6.973797455430031,True
2070,6,771,770,6705,1;3;2;7;4;5;6;0,4,4,0.23341861085992385,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0,5.143664809338017,5.3097960458899,5.039351194078297,0.27044485181160294,0.017635844774513448,-0.08898414948269101,0.017635844774513448,-0.08898414948269101,-3.3001148899346875,-0.04863280852923743,7.076920010149479,True
2070,7,771,770,4527,0;7;2;5;4;3;6;1,4,4,0.07987931828697409,0.0,0.0,0.0,0.0,0.0,0.0,0,5.039351194078297,4.8268646526201655,4.634056943711555,0.1928077089086102,0.039861998834968944,-0.37649374691239584,0.039861998834968944,-0.37649374691239584,-3.1008048957598424,-0.42512655544163325,7.12132453918457,True
2070,8,771,770,603,0;1;7;2;3;5;6;4,4,4,0.10787547276250516,0.0,0.0,0.0,0.0,0.0,0.0,0,4.634056943711555,4.494626607758439,4.341557198625168,0.1530694091332716,0.020595610661700337,-0.2800457050487152,0.020595610661700337,-0.2800457050487152,-2.997826842451341,-0.7051722604903484,6.9322288036346436,True
2070,9,771,770,10592,2;0;6;3;4;5;1;7,4,4,0.3083529751105578,0.0,0.0,0.0,0.0,0.0,0.0,0,4.341557198625168,5.339960403820258,4.798950941659103,0.5410094621611545,-0.026081127858437376,0.4426467118632224,-0.026081127858437376,0.4426467118632224,-3.128232481743528,-0.262525548627126,6.923052482306957,True
2070,10,771,770,2286,0;4;2;1;5;3;6;7,4,4,0.09890177497439341,0.0,5.551115123125783e-17,6.938893903907228e-18,2.168404344971009e-19,0.0,0.0,0,4.798950941659103,4.0652285677853595,3.9629387632925064,0.10228980449285308,0.08446431418541195,-0.7894384097870992,0.08446431418541195,-0.7894384097870992,-2.705910910816468,-1.0519639584142253,7.051954045891762,True
2070,11,771,770,6624,1;3;2;4;0;5;6;7,4,4,0.10276035148106737,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9629387632925064,3.856311101258824,3.6322431036973315,0.22406799756149232,0.03309350651243035,-0.3201517035846803,0.03309350651243035,-0.3201517035846803,-2.540443378254316,-1.3721156619989057,9.201775304973125,True
2071,0,218,217,566,0;1;6;5;4;3;2;7,4,4,1.6812749768537674,0.0,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,0.0,0,5.530068165806043,4.732951407799511,4.643255450451099,0.08969595734841196,-0.13725357480020073,-0.6698855312684637,-0.13725357480020073,-0.6698855312684637,-0.6862678740010036,-0.6698855312684637,6.837963126599789,True
2071,1,771,770,5145,1;0;2;7;4;5;6;3,4,4,0.465456690750097,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0,4.643255450451099,3.6569397083321946,3.64271864693265,0.014221061399544599,-0.3513621199303811,-0.6882859863955539,-0.3513621199303811,-0.6882859863955539,-2.4430784736529088,-1.3581715176640177,7.1080876514315605,True
2071,2,771,770,3045,0;5;2;3;7;4;6;1,4,4,0.5862028549258634,0.0,0.0,0.0,0.0,0.0,0.0,0,3.64271864693265,3.9020994136015164,3.679682148636147,0.2224172649653693,0.04125732687324171,0.03570397738890849,0.04125732687324171,0.03570397738890849,-2.2367918392867003,-1.3224675402751092,6.891442462801933,True
2071,3,771,770,2568,0;4;5;3;1;2;6;7,4,4,0.400760232668008,0.0,4.440892098500626e-16,5.551115123125783e-17,0.0,0.0,0.0,0,3.679682148636147,4.16310965503319,4.016293503375993,0.1468161516571973,0.16320524299450595,0.22677940592069143,0.16320524299450595,0.22677940592069143,-1.4207656243141704,-1.0956881343544178,7.1141403168439865,True
2071,4,771,770,28374,5;4;2;3;1;0;6;7,4,4,0.038282567741643764,0.0,0.0,0.0,0.0,0.0,0.0,0,4.016293503375993,4.596978598907771,4.573825117574312,0.02315348133345907,0.1970526533815498,0.24374241048620432,0.1970526533815498,0.24374241048620432,-0.4355023574064215,-0.8519457238682135,6.979045458137989,True
2071,5,771,770,36,0;1;2;4;6;3;5;7,4,4,0.17175907539859234,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0,4.573825117574312,5.451005658448551,5.369057046695774,0.08194861175277701,0.03344261927903711,0.795713053367957,0.03344261927903711,0.795713053367957,-0.26828926101123596,-0.0562326705002566,7.220250554382801,True
2071,6,771,770,109,0;1;2;7;5;3;6;4,4,4,0.26122323047711077,0.0,0.0,0.0,1.734723475976807e-18,0.0,0.0,0,5.369057046695774,5.104950532986413,5.073063602775111,0.031886930211301845,0.17848346560471054,-0.8430705582118662,0.17848346560471054,-0.8430705582118662,0.6241280670123167,-0.8993032287121228,7.1516502648591995,True
2071,7,771,770,4863,0;7;5;3;4;2;6;1,4,4,0.04197316622692866,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0,5.073063602775111,4.964736762855972,4.958986248294646,0.005750514561326803,0.015669950757189702,-0.20234657432764058,0.015669950757189702,-0.20234657432764058,0.7024778207982652,-1.1016498030397632,6.967014633119106,True
2071,8,771,770,15962,3;1;2;0;4;6;5;7,4,4,0.05507588633420388,0.0,0.0,0.0,0.0,0.0,0.0,0,4.958986248294646,4.902475091945872,4.887986363586849,0.014488728359022929,0.03267468790487264,-0.22822480493862546,0.03267468790487264,-0.22822480493862546,0.8658512603226284,-1.3298746079783887,7.283858023583889,True
2071,9,771,770,10905,2;1;0;7;4;5;6;3,4,4,0.06699988202541965,0.0,1.1102230246251565e-16,1.3877787807814457e-17,0.0,0.0,0.0,0,4.887986363586849,4.730089895285016,4.708180631757658,0.021909263527358114,0.00956686751422026,-0.2888195292789984,0.00956686751422026,-0.2888195292789984,0.9136855978937297,-1.618694137257387,6.911720149219036,True
2071,10,771,770,414,0;1;5;4;3;2;6;7,4,4,0.03449928456739389,0.0,5.551115123125783e-17,6.938893903907228e-18,0.0,0.0,0.0,0,4.708180631757658,4.651939675927444,4.630860500188087,0.02107917573935758,-0.006250601424298722,-0.07752904251563163,-0.006250601424298722,-0.07752904251563163,0.882432590772236,-1.6962231797730187,6.939232349395752,True
2071,11,771,770,2328,0;4;2;5;1;3;6;7,4,4,0.18714246567108986,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0,4.630860500188087,4.249376059334401,4.179511407619089,0.06986465171531187,0.0026738420874017847,-0.6862506214171881,0.0026738420874017847,-0.6862506214171881,0.895801801209245,-2.3824738011902067,6.918221712112427,True
2072,0,122,121,5145,1;0;2;7;4;5;6;3,4,4,0.4914037471738011,0.0,3.552713678800501e-15,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0,5.530068165806043,5.5069908187281165,5.495544947925759,0.011445870802357483,0.01804452411525817,-0.08218454041815605,0.01804452411525817,-0.08218454041815605,0.09022262057629085,-0.08218454041815605,6.944222375750542,True
2072,1,771,770,22584,4;3;2;1;0;5;6;7,4,4,0.7362090470117941,0.0,1.7763568394002505e-15,2.220446049250313e-16,1.3877787807814457e-17,0.0,0.0,0,5.495544947925759,4.136992493016254,4.053100144759973,0.08389234825628122,-0.4238679485883951,-0.8784539149319688,-0.4238679485883951,-0.8784539149319688,-2.0291171223656845,-0.9606384553501248,6.8945689126849174,True
