mechanism,seed,batches,batch_steps,adaptation_steps,reward_poison_budget,max_reward_poison,attack_target_gain,attack_target_bias,adaptation_constraint_violations,actor_updates,action_filter_interventions,rejected_action_steps,mean_true_reward,mean_logged_reward,mean_gradient_norm,pending_gain,pending_bias,final_gain,final_bias,commit_projection_norm,certificate_candidates,certificate_admitted,deployment_rollouts,violating_rollouts,deployment_violation_rate,median_first_violation_step,mean_deployment_reward
clean_reinforce_snapshot,2040,12,8,96,2.0,0.0,18.0,-5.0,0,12,96,0,-0.5592749644220765,-0.5592749644220765,0.47769143982148216,3.6948510771301573,-0.2397421784805769,3.6948510771301573,-0.2397421784805769,0.0,0,0,42,0,0.0,,-0.15587443603193463
poisoned_action_only_snapshot,2040,12,8,96,2.0,1.9999999576564447,18.0,-5.0,0,12,96,0,-0.5648214303670017,-0.6923480466817473,0.5957546047389951,-2.3625524160241205,-5.0,-2.3625524160241205,-5.0,0.0,0,0,42,13,0.30952380952380953,10.0,-1.3902809190015633
poisoned_always_freeze_snapshot,2040,12,8,96,2.0,1.999999998103633,18.0,-5.0,0,0,96,0,-0.4851090649044029,-0.6196098926149135,0.6015600398292743,0.0,0.0,0.0,0.0,0.0,0,0,42,0,0.0,,-0.16796307115550488
poisoned_commit_gate_snapshot,2040,12,8,96,2.0,1.9999999576564447,18.0,-5.0,0,12,96,0,-0.5648214303670017,-0.6923480466817473,0.5957546047389951,-2.3625524160241205,-5.0,-0.11812762080120603,-0.25,5.253564757515741,160,150,42,0,0.0,,-0.15286465975596064
