learner_seed,evaluation_seed,mode,selected_index,admitted_index,common_vulnerable_initially_accepted,init_x,init_x_dot,init_theta,init_theta_dot,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2070,9070,clean_reference_raw_release,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-0.02047906842548981
2070,9070,unsigned_postproducer_mutation_raw_release,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-1.295003854574893
2070,9070,unsigned_postproducer_mutation_resident,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-1.295003854574893
2070,9070,compromised_producer_valid_raw_release,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-1.295003854574893
2070,9070,compromised_producer_valid_resident,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-1.295003854574893
2070,9070,trusted_reference_repair_raw_release,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-0.02047906842548981
2070,9070,origin_bound_fail_closed_raw_release,0,0,True,-0.02290963073966862,0.1822089676222335,-0.06625211515622599,-0.12390623159239622,,,0,-0.025201903677664235
2070,9070,clean_reference_raw_release,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-0.03063664667984586
2070,9070,unsigned_postproducer_mutation_raw_release,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-1.256663761329206
2070,9070,unsigned_postproducer_mutation_resident,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-1.256663761329206
2070,9070,compromised_producer_valid_raw_release,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-1.256663761329206
2070,9070,compromised_producer_valid_resident,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-1.256663761329206
2070,9070,trusted_reference_repair_raw_release,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-0.03063664667984586
2070,9070,origin_bound_fail_closed_raw_release,1,1,True,0.23276375796403104,0.031097220228133993,-0.07727177870793622,0.42465392901628607,,,0,-0.03327683199787498
2070,9070,clean_reference_raw_release,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-0.0587979725674545
2070,9070,unsigned_postproducer_mutation_raw_release,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-1.3445582940180298
2070,9070,unsigned_postproducer_mutation_resident,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-1.3445582940180298
2070,9070,compromised_producer_valid_raw_release,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-1.3445582940180298
2070,9070,compromised_producer_valid_resident,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-1.3445582940180298
2070,9070,trusted_reference_repair_raw_release,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-0.0587979725674545
2070,9070,origin_bound_fail_closed_raw_release,2,2,True,-0.22382527883337938,-0.035892205069351646,-0.12510501136469984,0.18836144072914873,,,0,-0.06671972882176058
2070,9070,clean_reference_raw_release,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,,,0,-0.1893579502768667
2070,9070,unsigned_postproducer_mutation_raw_release,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,10,,0,-1.5456667384125788
2070,9070,unsigned_postproducer_mutation_resident,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,,6,84,-0.3295924455349341
2070,9070,compromised_producer_valid_raw_release,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,10,,0,-1.5456667384125788
2070,9070,compromised_producer_valid_resident,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,,6,84,-0.3295924455349341
2070,9070,trusted_reference_repair_raw_release,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,,,0,-0.1893579502768667
2070,9070,origin_bound_fail_closed_raw_release,3,4,True,-0.22055974701683212,0.1987776432893672,-0.0651142680002497,-0.7325128721954124,,,0,-0.20814162749919676
2070,9070,clean_reference_raw_release,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,,,0,-0.20662675926214688
2070,9070,unsigned_postproducer_mutation_raw_release,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,11,,0,-1.579750476355945
2070,9070,unsigned_postproducer_mutation_resident,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,,6,85,-0.3374275662823776
2070,9070,compromised_producer_valid_raw_release,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,11,,0,-1.579750476355945
2070,9070,compromised_producer_valid_resident,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,,6,85,-0.3374275662823776
2070,9070,trusted_reference_repair_raw_release,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,,,0,-0.20662675926214688
2070,9070,origin_bound_fail_closed_raw_release,4,5,True,0.018303028302296853,0.025683905723270173,-0.11725717885169032,-0.5566353290868622,,,0,-0.22992215168132635
2070,9070,clean_reference_raw_release,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-0.01755532725250454
2070,9070,unsigned_postproducer_mutation_raw_release,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-1.3055788164294226
2070,9070,unsigned_postproducer_mutation_resident,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-1.3055788164294226
2070,9070,compromised_producer_valid_raw_release,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-1.3055788164294226
2070,9070,compromised_producer_valid_resident,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-1.3055788164294226
2070,9070,trusted_reference_repair_raw_release,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-0.01755532725250454
2070,9070,origin_bound_fail_closed_raw_release,5,6,True,0.16581716152545156,0.22199037196410842,0.04734690355147883,-0.3470011554114809,,,0,-0.01895750122223351
2070,9070,clean_reference_raw_release,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,,,0,-0.11056351374979138
2070,9070,unsigned_postproducer_mutation_raw_release,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,9,,0,-1.4865886759344002
2070,9070,unsigned_postproducer_mutation_resident,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,,5,73,-0.26517677772261067
2070,9070,compromised_producer_valid_raw_release,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,9,,0,-1.4865886759344002
2070,9070,compromised_producer_valid_resident,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,,5,73,-0.26517677772261067
2070,9070,trusted_reference_repair_raw_release,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,,,0,-0.11056351374979138
2070,9070,origin_bound_fail_closed_raw_release,6,8,True,-0.012187811162794826,-0.41096490236535754,-0.10733064791821645,0.08931099160866984,,,0,-0.1258460707414894
2070,9070,clean_reference_raw_release,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,,,0,-0.0726857155163227
2070,9070,unsigned_postproducer_mutation_raw_release,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,7,,0,-1.4803530583150855
2070,9070,unsigned_postproducer_mutation_resident,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,,3,74,-0.19680344885341788
2070,9070,compromised_producer_valid_raw_release,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,7,,0,-1.4803530583150855
2070,9070,compromised_producer_valid_resident,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,,3,74,-0.19680344885341788
2070,9070,trusted_reference_repair_raw_release,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,,,0,-0.0726857155163227
2070,9070,origin_bound_fail_closed_raw_release,7,9,True,-0.18633406447420803,0.059479003885032355,0.10985884358703249,-0.9360491082938953,,,0,-0.08660770107683938
2070,9070,clean_reference_raw_release,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,,,0,-0.0444771023852847
2070,9070,unsigned_postproducer_mutation_raw_release,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,5,,0,-1.473854343826705
2070,9070,unsigned_postproducer_mutation_resident,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,,1,82,-0.09723929079350127
2070,9070,compromised_producer_valid_raw_release,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,5,,0,-1.473854343826705
2070,9070,compromised_producer_valid_resident,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,,1,82,-0.09723929079350127
2070,9070,trusted_reference_repair_raw_release,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,,,0,-0.0444771023852847
2070,9070,origin_bound_fail_closed_raw_release,8,10,True,-0.228957763621444,-0.1887489519882204,0.1367759686100429,-0.611713896765373,,,0,-0.05270321885885845
2070,9070,clean_reference_raw_release,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,,,0,-0.23755105094513568
2070,9070,unsigned_postproducer_mutation_raw_release,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,10,,0,-1.6455867442882772
2070,9070,unsigned_postproducer_mutation_resident,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,,6,87,-0.370920449868938
2070,9070,compromised_producer_valid_raw_release,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,10,,0,-1.6455867442882772
2070,9070,compromised_producer_valid_resident,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,,6,87,-0.370920449868938
2070,9070,trusted_reference_repair_raw_release,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,,,0,-0.23755105094513568
2070,9070,origin_bound_fail_closed_raw_release,9,12,True,0.11868132315916535,0.005058282189601915,-0.08121727058058777,-0.8084488733708137,,,0,-0.26348760218227685
2070,9070,clean_reference_raw_release,10,13,True,-0.10095589237587976,0.14252220189560783,-0.09351975811938129,-0.5540973434626515,,,0,-0.1571351634937552
2070,9070,unsigned_postproducer_mutation_raw_release,10,13,True,-0.10095589237587976,0.14252220189560783,-0.09351975811938129,-0.5540973434626515,11,,0,-1.501948988684481
