learner_seed,evaluation_seed,mechanism,adaptation_constraint_violations,actor_updates,action_filter_interventions,rejected_action_steps,max_reward_poison,nonzero_poison_batches,mean_true_reward,mean_logged_reward,final_gain,final_bias
2070,9070,clean,0,12,96,0,0.0,0,-0.4915801615623531,-0.4915801615623531,-3.0720874228918076,0.34863980081304413
2070,9070,fixed_target_tanh,0,12,96,0,1.9999999921938214,12,-0.6975725783916406,-0.654691666109571,-8.94978632910513,-5.0
2071,9071,clean,0,12,96,0,0.0,0,-0.5554468931543616,-0.5554468931543616,2.008333328146611,-1.7526952373717806
2071,9071,fixed_target_tanh,0,12,96,0,1.9999999993643471,12,-0.8610645732638099,-0.4825791777880808,-6.748828060778137,-5.0
2072,9072,clean,0,12,96,0,0.0,0,-0.549545450063489,-0.549545450063489,-2.6769239394696984,-3.107359176810726
2072,9072,fixed_target_tanh,0,12,96,0,1.9999999155614663,12,-0.700099790149324,-0.8289012236009444,-6.356276121752559,-5.0
