benchmark,task,controller,mechanism,kernel_backend,attack_kernel_backend,steps,budget,plausible_radius,future_grid_points,action_grid_size,mean_reward,constraint_violation_steps,constraint_violation_step_rate,unsafe_certified_steps,unsafe_certified_rate,stale_certified_policy_steps,stale_certified_policy_rate,uncertified_learning_steps,uncertified_learning_rate,learn_updates,learn_update_rate,interventions,intervention_rate,empty_kernel_steps,empty_kernel_rate,mean_kernel_width,mean_action_correction,mean_param_projection_norm,mean_attack_linf,mean_attacker_score,final_theta_gain,final_bias,max_param_violation,sweep_label,seed
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.02,0.02,9,41,-4.396787758882526,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,3,0.75,5.0,0.021376313462285967,0.0,0.01766555806248709,3.539286734919456,0.0,0.0,2.406285589613155,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.02,0.02,9,41,-4.4616496657312075,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,2,0.5,3,0.75,5.0,0.059795597069918105,0.8808311234344169,0.01999249309898707,3.3072247355988798,11.468457437278301,0.6829984197795782,0.0,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.04,0.04,9,41,-6.184933673313411,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.03998466593673291,4.71165712119086,12.0,-2.8,2.0646612086654934,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.04,0.04,9,41,-4.852244199379752,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0.0,0.0,0.0,0.03998466593673291,4.304362325187557,0.0,0.0,0.0,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.04,0.04,9,41,-5.6903764046660505,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,2,0.5,4,1.0,0.0,0.0,0.21838760572921279,0.03998466593673291,4.365339594660502,8.861987330941421,-1.237420818383879,1.1102230246251565e-16,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.06,0.06,9,41,-6.516398387971144,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.059976838774478736,4.911114883436182,12.0,-2.8,1.3015810854303105,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.06,0.06,9,41,-5.212863981460015,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0.0,0.0,0.0,0.059976838774478736,4.519561395345823,0.0,0.0,0.0,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.06,0.06,9,41,-6.12641371547552,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,2,0.5,4,1.0,0.0,0.0,0.04495683232701858,0.059976838774478736,4.685749001558633,8.975067328403057,-1.9219094885932615,0.0,freeze_frontier_casadi,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.02,0.02,9,41,-5.659747943983486,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,1,0.25,3,0.75,5.0,0.06054453441523355,0.0,0.014999679738758768,3.846640669833073,12.0,-2.8,3.625020131810695,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.02,0.02,9,41,-4.522537952411709,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,3,0.75,5.0,0.01313019191281084,0.0,0.019999039563511352,3.5497657357134274,0.0,0.0,2.4633276511358364,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.02,0.02,9,41,-4.716325813670428,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,2,0.5,3,0.75,5.0,0.05490818733663838,0.8957099131834055,0.01999967973875877,3.3096224889941364,11.455025893342057,0.7411499827418715,0.0,freeze_frontier_casadi,2027
