learner_seed,batch,feasible,projection_lambda,desired_max_absolute_edit,projected_max_absolute_edit,changed_reward_steps,reward_sum_error,reward_mean_error,scalar_lower_violation,scalar_upper_violation,positive_logged_rewards,projection_kkt_residual,current_target_distance,projected_next_target_distance,learner_reward_delta_error,learner_raw_gradient_error,learner_next_parameter_error,all_invariants_pass
2070,0,True,0.045006760548057634,1.9999322078538475,2.0,8,2.220446049250313e-16,0.0,0.0,9.71445146547012e-17,0,0.0,5.530068165806043,5.502358575167959,0.0,0.0,0.0,True
2070,1,True,-1.004703495225784,1.9999999999754552,1.0206267854722322,8,2.220446049250313e-16,0.0,0.0,9.71445146547012e-17,0,0.0,5.502358575167959,4.763617768191706,0.0,0.0,0.0,True
2070,2,True,-0.33461230754218374,1.9957928605171908,1.4837697356935453,8,0.0,0.0,0.0,0.0,0,0.0,4.763617768191706,4.803513306976642,0.0,0.0,0.0,True
2070,3,True,-1.216989797090887,1.9999983783020359,0.7830085812111489,8,3.885780586188048e-16,0.0,0.0,1.3877787807814457e-17,0,0.0,4.803513306976642,4.815314719155212,0.0,0.0,0.0,True
2070,4,True,-1.7904153223270023,1.999980063456429,0.2095647411294268,8,1.6653345369377348e-16,0.0,0.0,1.3877787807814457e-17,0,0.0,4.815314719155212,4.951032987329887,0.0,0.0,0.0,True
2070,5,True,-1.6944997808215034,1.9999786291857373,0.3054788483642339,8,5.551115123125783e-16,5.551115123125783e-17,0.0,1.3877787807814457e-17,0,0.0,4.951032987329887,4.771523389455446,0.0,0.0,0.0,True
2070,6,True,-1.7562909969504528,1.9999907938862094,0.3762403679158608,8,2.220446049250313e-16,2.7755575615628914e-17,0.0,1.3877787807814457e-17,0,0.0,4.771523389455446,4.613234554587447,0.0,0.0,0.0,True
2070,7,True,-1.7363813193901683,1.9996243244235863,0.2603266645448197,8,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.0,0,0.0,4.613234554587447,4.20672814613111,0.0,0.0,0.0,True
2070,8,True,-1.8469159251132186,1.999981784706226,0.16403397839162104,8,4.996003610813204e-16,5.551115123125783e-17,0.0,0.0,0,0.0,4.20672814613111,4.06185090087156,0.0,0.0,0.0,True
2070,9,True,-1.8296363945231167,1.9999675748798036,0.22765196481799316,8,5.551115123125783e-17,0.0,0.0,0.0,0,0.0,4.06185090087156,4.481863171466626,0.0,0.0,0.0,True
2070,10,True,-1.7569962893566013,1.9983230045297844,0.22339423078727805,8,4.718447854656915e-16,5.551115123125783e-17,0.0,0.0,0,0.0,4.481863171466626,3.679451628178455,0.0,0.0,0.0,True
2070,11,True,-1.4318423318330593,1.998694291077745,0.5507588593900767,8,3.885780586188048e-16,2.7755575615628914e-17,0.0,0.0,0,0.0,3.679451628178455,2.8918736413430457,0.0,0.0,0.0,True
