learner_seed,batch,step,source_reward_step,true_reward,logged_reward,reward_delta,feature_gain_coordinate,feature_bias_coordinate,exploration_noise,done
2070,0,0,2,-5.397251716144983,-3.4805848617409523,1.9166668544040308,-0.9249999999999999,1.0,-1.2037601837374432,0.0
2070,0,1,1,-5.888655463318784,-5.888655463318784,0.0,-0.9579617974322836,1.0,-0.08248705722979371,0.0
2070,0,2,0,-3.4805848617409523,-5.397251716144983,-1.9166668544040308,-0.899357697103257,1.0,0.02177832391826723,0.0
2070,0,3,3,-2.0414361472936733,-2.0414361472936733,0.0,-0.7681452310397239,1.0,0.7563747556751329,0.0
2070,0,4,5,-2.3135543293382272,-1.7466013011429615,0.5669530281952657,-0.6011234130437823,1.0,-1.1055816931428437,0.0
2070,0,5,4,-1.7466013011429615,-2.3135543293382272,-0.5669530281952657,-0.4136621879434686,1.0,0.7906330295171634,0.0
2070,0,6,6,-1.677979194386473,-1.677979194386473,0.0,-0.22489804533950886,1.0,-0.6021182768394481,0.0
2070,0,7,7,-1.813152212747358,-1.813152212747358,0.0,-0.046869995187596686,1.0,0.9335823285574695,0.0
2070,1,0,3,-1.4621459462237494,-1.036661205852825,0.4254847403709243,0.11258225762345236,1.0,0.23557333000077207,0.0
2070,1,1,1,-1.506807344335321,-1.506807344335321,0.0,0.24335093128357096,1.0,0.9926814991010273,0.0
2070,1,2,2,-0.9056884388234437,-0.9056884388234437,0.0,0.3456300663558509,1.0,-1.0526940596040795,0.0
2070,1,3,7,-1.036661205852825,-1.0191223657433253,0.017538840109499798,0.43131878116702305,1.0,-0.054872169361261436,0.0
2070,1,4,4,-0.8409924052204865,-0.8409924052204865,0.0,0.507876335362267,1.0,-0.47480493801338475,0.0
2070,1,5,0,-1.1062873735679382,-1.4621459462237494,-0.3558585726558112,0.5717225867421012,1.0,0.621986821648123,0.0
2070,1,6,6,-0.5285847364339273,-0.5285847364339273,0.0,0.6184018875229916,1.0,-2.3283610704318805,0.0
2070,1,7,5,-1.0191223657433253,-1.1062873735679382,-0.0871650078246129,0.6614550385728712,1.0,0.18680145899323547,0.0
2070,2,0,0,-0.5611117000443098,-0.5611117000443098,0.0,0.7009826804442834,1.0,-0.5147746372612249,0.0
2070,2,1,1,-0.5214336389999099,-0.5214336389999099,0.0,0.7271273646624383,1.0,-0.7699628845256122,0.0
2070,2,2,5,-0.4870892639507994,-0.3852419794597538,0.10184728449104558,0.7490342392168906,1.0,-0.6173248147440636,0.0
2070,2,3,2,-0.8400303646397135,-0.4870892639507994,0.3529411006889141,0.7672660298245179,1.0,0.3430666857798242,0.0
2070,2,4,3,-0.5131881629950206,-0.8400303646397135,-0.3268422016446929,0.7734077961596065,1.0,0.09811629770513298,0.0
2070,2,5,4,-0.3852419794597538,-0.5131881629950206,-0.12794618353526677,0.7650914244341568,1.0,-0.3735287433616462,0.0
2070,2,6,6,-0.37417008343224506,-0.37417008343224506,0.0,0.7506961272033039,1.0,-0.4540745332608996,0.0
2070,2,7,7,-0.48154502804057936,-0.48154502804057936,0.0,0.7326687244131209,1.0,0.07283894684692897,0.0
2070,3,0,0,-0.36885681594698894,-0.36885681594698894,0.0,0.7075801208547774,1.0,-0.5016707646376845,0.0
2070,3,1,7,-0.37403160490564025,-0.20437300679297027,0.16965859811266998,0.6749295836785008,1.0,0.10034719766133549,0.0
2070,3,2,2,-0.830522450627615,-0.830522450627615,0.0,0.6366999788065655,1.0,1.5909468297982505,0.0
2070,3,3,4,-0.19358847170524504,-0.23085206086305327,-0.037263589157808225,0.5829811270764771,1.0,-1.2637019591834946,0.0
2070,3,4,3,-0.23085206086305327,-0.19358847170524504,0.037263589157808225,0.5277278736985271,1.0,-0.10562101956333064,0.0
2070,3,5,5,-0.18526501667397322,-0.18526501667397322,0.0,0.48326823544405634,1.0,-0.7165577039457545,0.0
2070,3,6,6,-0.6760688389730665,-0.6760688389730665,0.0,0.44295449564123834,1.0,1.5741331398456377,0.0
