poison_steps,mechanism,evaluation_seed,final_gain,final_bias,init_x,init_x_dot,init_theta,init_theta_dot,first_violation_step,violation_steps,mean_reward
0,action_only,2030,0.0,0.0,-0.05184600350204882,0.30607942143937183,0.10099304756404573,-0.2530248106604298,,0,-0.04760913519382071
0,action_only,2030,0.0,0.0,-0.1746701675661021,-0.0960382503057311,-0.07758359458311934,-0.9072980629069103,,0,-0.41813159577531506
0,action_only,2030,0.0,0.0,0.10087321247067488,-0.1781914725731859,0.10810903795123564,0.4947797228192494,,0,-0.1685355047908323
0,action_only,2030,0.0,0.0,-0.11061107803132053,-0.15683820569066687,0.029557280869386304,0.5523579826519649,,0,-0.07533818208388152
0,action_only,2030,0.0,0.0,-0.11244633322915232,-0.2523323291940618,-0.08078175843615758,0.7014294184526371,,0,-0.037163434842123214
0,action_only,2030,0.0,0.0,-0.03249481063765236,0.297320955958965,0.08713878784359438,-0.24534403441657937,,0,-0.03893716625266705
0,action_only,2030,0.0,0.0,-0.2128657522118897,-0.3795630479155544,0.018756430666800133,0.6211744595695985,,0,-0.10626370270035602
0,action_only,2030,0.0,0.0,-0.04125832193110157,-0.0887831501503984,-0.08845466779033351,-0.6387509190747986,,0,-0.26658607645313376
0,action_only,2030,0.0,0.0,-0.1961992408789655,-0.2083538592638955,-0.007986654650933678,-0.6154045455662835,,0,-0.20321019456063347
0,action_only,2030,0.0,0.0,-0.16562323687385,-0.2733998816963822,-0.10837784863116101,-0.33998648124044517,,0,-0.2725393772590639
0,action_only,2030,0.0,0.0,-0.2393439382184675,0.0717705870988169,0.09286956528659143,-0.9550839743869992,,0,-0.11508348551904585
0,action_only,2030,0.0,0.0,-0.1293965880091248,0.02752419448843768,0.14113885165268072,0.9944181516349018,,0,-0.5222112986810301
0,action_only,2030,0.0,0.0,-0.24871107746498927,-0.29938154133106964,0.025446922056065135,0.40658082299074727,,0,-0.045643421760897314
0,action_only,2030,0.0,0.0,-0.08221678174018854,0.17139958868425698,-0.03823551044323044,0.058579013211461195,,0,-0.00880645683371097
0,action_only,2030,0.0,0.0,-0.0583582840637652,0.2194612905757084,-0.07634937683435745,0.3653484228930721,,0,-0.02055934036271315
0,action_only,2030,0.0,0.0,-0.04988577268458283,-0.07789351033620806,0.0793096184914518,0.439263667930472,,0,-0.11607382380851164
0,action_only,2030,0.0,0.0,-0.24910183637657646,0.44845897341128094,0.036456235280835,-0.8651716035641965,,0,-0.07645533018065843
0,action_only,2030,0.0,0.0,-0.012014557874164,0.01692531270132336,-0.1488798447885841,0.4777890790089574,,0,-0.01618716936395602
0,action_only,2030,0.0,0.0,0.07135007270608962,0.19457424037197468,-0.0678098459052404,0.46840836436307964,,0,-0.04945150044327589
0,action_only,2030,0.0,0.0,-0.010332518879528907,0.2955235774800139,-0.10406964857029463,0.2144724089766188,,0,-0.013406534857786107
0,action_only,2030,0.0,0.0,-0.16372352617243813,0.39306591204031316,0.1481721978303123,-0.6748941429681388,,0,-0.03215009790846976
0,action_only,2030,0.0,0.0,-0.07900715659985724,0.34110492262895664,0.0651917415315823,0.06022892227747434,,0,-0.08798412492103726
0,action_only,2030,0.0,0.0,-0.05477919429534028,0.0928960523511676,-0.04417563996210884,-0.40160684783356126,,0,-0.07533248798530766
0,action_only,2030,0.0,0.0,0.08546167953971262,-0.3133598337615493,-0.0525314198288976,-0.6335436313154903,,0,-0.25590463521181234
0,action_only,2030,0.0,0.0,0.19777029486169678,0.36649577401099176,0.11499320740060989,0.5603658954529374,,0,-0.4462152435606699
0,action_only,2030,0.0,0.0,-0.15214140323953612,-0.46337065588170534,-0.026757446180497343,0.5380984358701089,,0,-0.03076718153147321
0,action_only,2030,0.0,0.0,0.22865119423133778,-0.45714569075357037,-0.1457865575881901,0.9773209857901659,,0,-0.03756283476339769
0,action_only,2030,0.0,0.0,-0.23202367017315628,-0.003566724635694296,0.001562438412149314,0.40745027430264824,,0,-0.07461706557956634
