mechanism,seed,batch,true_reward_mean,logged_reward_mean,max_reward_poison,actor_distance_from_pretrained,target_action_mse,policy_loss,value_loss,approx_kl,interventions,infeasible_steps,constraint_violations,mean_action_correction,max_action_correction,max_proposal_logp_error,max_adaptation_normalized_margin
clean_ppo_finetune_snapshot,2040,0,0.7225908279213435,0.7225908279213435,0.0,0.04652204811223835,0.8263393416775546,-0.01125996439301415,627.5553505239834,0.016278013586997986,64,0,0,4.3138268329355154e-05,0.0018330293265155896,4.76837158203125e-07,-0.0069637494216540086
clean_ppo_finetune_snapshot,2040,1,0.7114218638358273,0.7114218638358273,0.0,0.09268295559364458,0.8419838472853964,-0.0061043090332438595,65.83396953851235,0.023806064482778312,64,0,0,5.544083292080992e-05,0.003253847034963019,4.76837158203125e-07,-0.007000019382908784
clean_ppo_finetune_snapshot,2040,2,0.7587458442548588,0.7587458442548588,0.0,0.13622055952932097,0.9799034243561693,-0.017829668133765263,64.916374096145,0.018601742573082447,64,0,0,0.00011477370558196148,0.0045250601523875444,4.76837158203125e-07,-0.007057284572136946
clean_ppo_finetune_snapshot,2040,3,0.713317954480895,0.713317954480895,0.0,0.22186603009165645,0.5558664114549372,-0.007367916277639092,41.89842329969936,0.01220017708837986,64,0,0,4.309772131545055e-05,0.002433715384126076,3.5762786865234375e-07,-0.007065577739900242
clean_ppo_finetune_snapshot,2040,4,0.7941205602732518,0.7941205602732518,0.0,0.21705473657230048,1.0810856496972034,0.000294897348210036,64.5108026678112,0.010446471814066171,64,0,0,0.00010153625319729242,0.0029207751369716693,9.5367431640625e-07,-0.00701018507498713
clean_ppo_finetune_snapshot,2040,5,0.7994584122416771,0.7994584122416771,0.0,0.21338985833965796,1.0907680253516587,-0.020230535688993717,62.242962207255815,0.034039313718676564,64,0,0,1.2577646043492958e-07,5.690097333799912e-07,9.5367431640625e-07,-0.11318473356671127
clean_ppo_finetune_snapshot,2040,6,0.7397864640433742,0.7397864640433742,0.0,0.22347659274682533,1.1799161028635954,-0.0014844039670910665,43.368014159152914,0.021977392956614494,64,0,0,1.9062557431766218e-07,1.3261452306596441e-06,4.76837158203125e-07,-0.07879229230428103
clean_ppo_finetune_snapshot,2040,7,0.7776869366437653,0.7776869366437653,0.0,0.24128333067215743,1.3425348284115026,-0.010408263904842466,58.619339721449364,0.036435425840318204,64,0,0,6.769361506217299e-05,0.004313682352308435,7.152557373046875e-07,-0.007227065042341108
clean_ppo_finetune_snapshot,2040,8,0.7179775012048429,0.7179775012048429,0.0,0.26012742852686677,0.9759741154187627,-0.017315718572462464,51.29496614379025,0.029712373949587347,64,0,0,1.6793453473693452e-07,1.8730013609391607e-06,4.76837158203125e-07,-0.05982895959941942
clean_ppo_finetune_snapshot,2040,9,0.667846364282046,0.667846364282046,0.0,0.28170713719708734,1.2825870404833086,0.007293242319738163,41.22492978802705,0.014347724709659814,64,0,0,1.1650759006358383e-05,0.0007345506261274419,9.5367431640625e-07,-0.007552515009226546
clean_ppo_finetune_snapshot,2040,10,0.6165801159708999,0.6165801159708999,0.0,0.29072246993530854,1.2209119242506858,0.004993607699194534,24.452027958749625,-0.0031449936330318453,64,0,0,3.762794071875931e-05,0.0009974740766941605,4.76837158203125e-07,-0.007283157405647778
clean_ppo_finetune_snapshot,2040,11,0.5380857779261181,0.5380857779261181,0.0,0.325259593931697,1.325927674033501,-0.016483753760195775,8.494695753711527,0.03357029082253575,64,0,0,0.00025947997047762194,0.006523469413959846,1.430511474609375e-06,-0.006911780292043257
clean_ppo_finetune_snapshot,2040,12,0.5826770568119892,0.5826770568119892,0.0,0.3557721862003183,1.1341292779554024,0.007763566052982123,12.231163753807623,0.01963172238320112,64,0,0,6.715463165411432e-05,0.002885847879739824,4.76837158203125e-07,-0.0069299131589100615
clean_ppo_finetune_snapshot,2040,13,0.5568624817981318,0.5568624817981318,0.0,0.428144495307636,1.1505058474984904,-0.002409542277085816,6.776750303752287,-6.792917847633361e-05,64,0,0,2.6737491472901742e-05,0.0016879644418735591,4.76837158203125e-07,-0.0074308600597509655
clean_ppo_finetune_snapshot,2040,14,0.47995957366624975,0.47995957366624975,0.0,0.5009329473316744,1.236521659618339,-0.01678410820737173,8.843269714256538,0.0036043153144419194,64,0,0,0.0003264838812139396,0.015379521955052383,4.76837158203125e-07,-0.007173056807857847
clean_ppo_finetune_snapshot,2040,15,0.5925171908579807,0.5925171908579807,0.0,0.5277130425682616,1.280041918945742,-0.023314630960611902,8.29830318610657,0.01808696975931525,64,0,0,5.028621548682033e-05,0.0016104977427330899,4.76837158203125e-07,-0.020720379426677316
clean_ppo_finetune_snapshot,2040,16,0.5774332928625419,0.5774332928625419,0.0,0.5345723319802416,0.7231047265670536,-0.03690089728323752,5.624776260398702,0.014762469753623008,64,0,0,2.064746754227281e-07,1.1257608366562889e-06,7.152557373046875e-07,-0.07913149328283808
clean_ppo_finetune_snapshot,2040,17,0.5101611072992791,0.5101611072992791,0.0,0.5362273318571014,1.2101029795818496,0.01637209388975413,3.9218534480050997,0.017549340054392813,64,0,0,8.93772594797344e-05,0.005162857490222329,9.5367431640625e-07,-0.00724128630628551
clean_ppo_finetune_snapshot,2040,18,0.5755851203918061,0.5755851203918061,0.0,0.5839179931698681,1.1826671177941943,-0.048663838745419,4.665299461514183,0.014690039213746786,64,0,0,1.045131340576642e-06,1.928155216592905e-05,1.1920928955078125e-06,-0.011405036370908284
clean_ppo_finetune_snapshot,2040,19,0.6279134410644275,0.6279134410644275,0.0,0.6287125827810053,1.0810172307709576,-0.015423165639358583,2.935947779933851,0.03276398489251733,64,0,0,2.057309609085003e-05,0.0012952156106104077,4.76837158203125e-07,-0.007740884067035825
clean_ppo_finetune_snapshot,2040,20,0.7153087847392383,0.7153087847392383,0.0,0.6683047001149952,0.6444074449840322,3.936800025798118e-05,23.190476015838556,0.021185857988893986,64,0,0,2.566714332169056e-07,3.599347402793067e-06,9.5367431640625e-07,-0.03783801188011565
clean_ppo_finetune_snapshot,2040,21,0.7747127108933484,0.7747127108933484,0.0,0.6863067766107291,0.9151301392674833,-0.0045261594587826335,42.75913832800545,0.014300041925162077,64,0,0,3.1524914626119984e-05,0.002008411179687334,4.76837158203125e-07,-0.007642552727085361
clean_ppo_finetune_snapshot,2040,22,0.706438136362039,0.706438136362039,0.0,0.6922654552823209,0.925334091393492,-0.024871342946611686,6.226471731222606,0.013132280576974154,64,0,0,2.226586001106233e-07,1.8549425405103077e-06,4.76837158203125e-07,-0.06992377084168194
clean_ppo_finetune_snapshot,2040,23,0.8347310455287302,0.8347310455287302,0.0,0.7490804705024943,0.7255170621830332,-0.009418849917598898,24.49081149024498,0.011692750360816717,64,0,0,1.4213873042352103e-07,8.856774496079061e-07,4.76837158203125e-07,-0.12283950091331941
poisoned_ppo_action_only_snapshot,2040,0,0.7225908279213435,0.5523356841061057,0.49914776838808117,0.04436325563251245,0.8122439508743878,-0.009386987074013434,740.2935480823461,0.010871289484202861,64,0,0,4.3138268329355154e-05,0.0018330293265155896,4.76837158203125e-07,-0.0069637494216540086
poisoned_ppo_action_only_snapshot,2040,1,0.7115052199859784,0.854162254969421,0.4911282009440866,0.08967455172859708,0.8458180676294091,-0.009556854409473375,110.05935496606635,0.02317751692607999,64,0,0,5.6480126836243e-05,0.0032293406099849374,4.76837158203125e-07,-0.0070030149428989
poisoned_ppo_action_only_snapshot,2040,2,0.7630848774217125,0.4482220646539531,0.4959577785934047,0.13510970508954634,0.9583500363510068,-0.01180817217652711,26.105420147070383,0.02075762124732137,64,0,0,0.0001195628788135955,0.004775272178889966,4.76837158203125e-07,-0.007049677631870699
poisoned_ppo_action_only_snapshot,2040,3,0.7078657550475802,0.5355187179632637,0.47477044050617173,0.20008303772451488,0.4368863166625433,-0.012936119809925558,25.310146176998337,0.015098977368324995,64,0,0,5.795552690142015e-05,0.0027160436544425718,4.76837158203125e-07,-0.007055883857344847
poisoned_ppo_action_only_snapshot,2040,4,0.7900886073922304,0.6572924091422454,0.4999559335458699,0.22134582432316335,0.9118092001385313,0.00024346854607849958,46.61751451895772,0.021380186639726163,64,0,0,0.00012165556492966681,0.0030478369440795484,4.76837158203125e-07,-0.006938073554304813
poisoned_ppo_action_only_snapshot,2040,5,0.8039770051985544,0.7232426606944165,0.49473123449173434,0.23703033938092508,0.9268849638384237,-0.029365040359926747,52.959996182419175,0.022553791012614965,64,0,0,1.3181528105627555e-07,7.800025338237386e-07,7.152557373046875e-07,-0.1311422669886984
poisoned_ppo_action_only_snapshot,2040,6,0.69423450519992,0.3607911450294822,0.4991376455737074,0.2538068562254238,0.9669808798567519,0.0032388286561480586,34.36269355152837,0.015473920665681363,64,0,0,2.3423229821417583e-07,1.8148567530106376e-06,4.76837158203125e-07,-0.04817918293971324
poisoned_ppo_action_only_snapshot,2040,7,0.7183936818259995,0.5692321814584038,0.49562924316242873,0.2751786863650182,0.926432363682681,-0.024632240650896337,37.62045636643175,0.015733763482421635,64,0,0,8.817104913197503e-05,0.005006424068569778,4.76837158203125e-07,-0.007142169025177503
poisoned_ppo_action_only_snapshot,2040,8,0.711473864708839,0.9770556804473094,0.4975751794702835,0.2996417696641878,0.9791473856204727,-0.014023238883298266,137.90784158687345,0.04318499341607094,64,0,0,2.3318507635694224e-07,6.131220199572069e-06,4.76837158203125e-07,-0.023623052104401798
poisoned_ppo_action_only_snapshot,2040,9,0.6341728013832264,0.7048201390976532,0.4965272355483828,0.3256485770782732,0.9311427976274075,0.009330172591832392,41.97354166875792,0.021591612230986358,64,0,0,2.6821742371803766e-05,0.0013342944040580908,4.76837158203125e-07,-0.007483710196501514
poisoned_ppo_action_only_snapshot,2040,10,0.536756483542632,0.529234421934169,0.4962114805114099,0.3483095635996432,0.993912008613448,0.008670841850332314,21.02349366481217,0.017686863709241153,64,0,0,8.895287401262556e-05,0.0021515375052103703,7.152557373046875e-07,-0.00704866471249771
poisoned_ppo_action_only_snapshot,2040,11,0.43022061892560615,0.5375049436581806,0.4955605283819824,0.3791838730249068,0.7903790057211848,-0.021304626941623588,17.721128119354752,0.01898763729259372,64,0,0,0.0003988409156344515,0.007855598479968029,4.76837158203125e-07,-0.004042706188183004
poisoned_ppo_action_only_snapshot,2040,12,0.5033913072567369,0.3435760326070678,0.4989474484455278,0.41368671726023587,0.7290658150545326,0.005394187048426464,5.187289687835898,0.032228495087474586,64,0,0,8.475972211940567e-05,0.0042556893409753105,9.5367431640625e-07,-0.006990481021641903
poisoned_ppo_action_only_snapshot,2040,13,0.4974079261689233,0.33765992565036035,0.4994383434226237,0.4091923463651829,0.6858175174884928,-0.026169139783456453,2.9163322548763273,0.02836895324289799,64,0,0,1.9147961017138357e-05,0.0011910985581876476,9.5367431640625e-07,-0.007387941830279077
poisoned_ppo_action_only_snapshot,2040,14,0.4307747449151508,0.24680788722186825,0.4974202854336783,0.4279842049204443,0.983755002805413,-0.0058669284153412184,9.600252671259604,0.019887098297476768,64,0,0,0.0004155933664477161,0.017436852563716063,4.76837158203125e-07,-0.006903170637619707
poisoned_ppo_action_only_snapshot,2040,15,0.5663661322296447,0.607922996420855,0.49126546928073506,0.42091403988857795,0.9679377139830374,-0.011656767386491275,20.411842220847017,0.008335889410227537,64,0,0,8.09474244642597e-07,1.984035928561252e-05,4.76837158203125e-07,-0.020306764797279164
