learner_seed,mechanism,source_seed,source_index,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,planned_steps,steps_executed,completed_horizon,first_violation_step,mean_reward,interventions,rejections,infeasible_steps,mean_action_correction,max_action_correction,mean_controller_latency_ms,median_controller_latency_ms,p95_controller_latency_ms,max_controller_latency_ms,actuator_saturation_steps,max_action_interface_error
2040,clean_reinforce_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,100,100,True,,-0.002326221203189003,0,0,0,0.0,0.0,0.027313449999999996,0.026584999999999998,0.02838205,0.067276,0,0.0
2040,clean_reinforce_snapshot,5050,20,0.3261785608024609,0.07246626201174095,1.2708923240362577,0.052324776081517976,0.009863837036599446,0.08808622359426943,100,100,True,,-0.06988444013072213,0,0,0,0.0,0.0,0.026882229999999997,0.02655,0.028019049999999997,0.051316,0,0.0
2040,clean_reinforce_snapshot,5050,40,0.09889598523709109,-0.05245105904615274,1.153363070195722,0.09737371119545005,0.020002289742673013,0.02284644840009145,100,100,True,,-0.009429770250339382,0,0,0,0.0,0.0,0.026699109999999998,0.0262695,0.0272035,0.052088,0,0.0
2040,clean_reinforce_snapshot,5051,12,0.21215278107216784,-0.08146718284430046,1.1882593131279071,0.06694707752362092,-0.01793890347110188,0.09552893157895129,100,100,True,,-0.02118757937942497,0,0,0,0.0,0.0,0.02658965,0.026209,0.027187599999999996,0.052628,0,0.0
2040,clean_reinforce_snapshot,5051,34,0.22134364411579466,0.05047091673144938,0.8082922034766081,-0.08302026913779115,-0.0345480934786746,0.0948226752064581,100,100,True,,-0.02689426434960399,0,0,0,0.0,0.0,0.026753100000000005,0.026184,0.026956499999999998,0.050024,0,0.0
2040,clean_reinforce_snapshot,5052,6,0.2867065257295476,-0.03263726971108635,0.9563260757722963,0.06383598996319911,0.014682285655891109,-0.02597690570668154,100,100,True,,-0.029516003716641884,0,0,0,0.0,0.0,0.02702607,0.026424999999999997,0.0289916,0.049703,0,0.0
2040,clean_reinforce_snapshot,5052,26,-0.09465686517491606,0.04881036418889867,0.968922158579553,0.08127655039387291,0.02624192811175549,-0.020381571187581077,100,100,True,,-0.0033995220626724513,0,0,0,0.0,0.0,0.026898680000000005,0.026409500000000002,0.02714205,0.052789,0,0.0
2040,clean_reinforce_snapshot,5052,47,0.074473076750734,0.0864484014075376,1.0941400520034974,-0.06735542726114122,0.03374732509080612,-0.02961028531587967,100,100,True,,-0.012850898169366486,0,0,0,0.0,0.0,0.03001157,0.026485,0.02864205,0.267311,0,0.0
2040,poisoned_action_only_snapshot,5050,0,0.044324538597511176,-0.024485440311691642,0.9814611295784965,0.09951821205333825,-0.03565276913478349,0.054452954072890636,100,61,False,60,-0.1162918222407462,0,0,0,0.0,0.0,0.026786360655737706,0.026138,0.026911,0.060754,0,0.0
2040,poisoned_action_only_snapshot,5050,20,0.3261785608024609,0.07246626201174095,1.2708923240362577,0.052324776081517976,0.009863837036599446,0.08808622359426943,100,39,False,38,-0.21153919079589256,0,0,0,0.0,0.0,0.027293256410256417,0.02655,0.028692600000000006,0.049202,0,0.0
