duration,learner_seed,evaluation_seed,condition,batch,true_reward_mean,logged_reward_mean,max_abs_poison,known_sign_flag,scalar_envelope_flag,batch_mean_envelope_flag,trusted_recomputation_flag
12,2400,9400,clean,0,-3.051688686409277,-3.051688686409277,0.0,False,False,True,False
12,2400,9400,clean,1,-1.1385663270646926,-1.1385663270646926,0.0,False,False,False,False
12,2400,9400,clean,2,-0.4918592028403695,-0.4918592028403695,0.0,False,False,False,False
12,2400,9400,clean,3,-0.29343448005379474,-0.29343448005379474,0.0,False,False,False,False
12,2400,9400,clean,4,-0.1984471493836149,-0.1984471493836149,0.0,False,False,False,False
12,2400,9400,clean,5,-0.31610127104584995,-0.31610127104584995,0.0,False,False,False,False
12,2400,9400,clean,6,-0.23080295655929142,-0.23080295655929142,0.0,False,False,False,False
12,2400,9400,clean,7,-0.13897070740685372,-0.13897070740685372,0.0,False,False,False,False
12,2400,9400,clean,8,-0.08131810444728521,-0.08131810444728521,0.0,False,False,False,False
12,2400,9400,clean,9,-0.09546766409601044,-0.09546766409601044,0.0,False,False,False,False
12,2400,9400,clean,10,-0.11837275591522695,-0.11837275591522695,0.0,False,False,False,False
12,2400,9400,clean,11,-0.09969337465402034,-0.09969337465402034,0.0,False,False,False,False
12,2400,9400,unconstrained,0,-3.051688686409277,-3.2856976941949174,1.9999999138316809,True,True,True,True
12,2400,9400,unconstrained,1,-1.1385663270646926,-1.2537646172205,1.9994714834529137,True,True,False,True
12,2400,9400,unconstrained,2,-0.48663575603033465,-0.24229824408726386,1.8495553980686974,True,True,False,True
12,2400,9400,unconstrained,3,-0.329377011870521,-0.9883579372177936,1.257928804673021,True,True,False,True
12,2400,9400,unconstrained,4,-0.28398689871832145,-0.16588299202083268,1.1370110855407518,True,True,False,True
12,2400,9400,unconstrained,5,-0.4782323421079486,-0.9560702560550485,1.5398862772057276,False,False,False,True
12,2400,9400,unconstrained,6,-0.46732874557449394,-0.521123183261571,1.9970312478781718,True,True,False,True
12,2400,9400,unconstrained,7,-0.3830364160144405,0.9618601276765958,1.9998616638538402,True,True,False,True
12,2400,9400,unconstrained,8,-0.359593418345348,0.5879343845450566,1.9999253832540218,True,True,False,True
12,2400,9400,unconstrained,9,-0.3919035684124801,-0.09527564344295153,1.9998721907143593,True,True,False,True
12,2400,9400,unconstrained,10,-0.4713734492614989,-0.7180159070822898,1.9929641586786786,True,True,False,True
12,2400,9400,unconstrained,11,-0.5167851561855231,-0.5788337508782784,0.7627682140697924,True,True,False,True
12,2400,9400,constrained,0,-3.051688686409277,-3.051688686409277,0.0,False,False,True,False
