gain,bias,gate_horizon,gate_violating_states,gate_max_margin,gate_accepted,full_horizon,full_violating_states,full_max_margin,post_gate_failure_score,selected
-18.0,-5.0,5,1,0.0016141199562298147,False,120,37,1.5688845542975356,2881,False
-18.0,0.0,5,0,-0.007532009089459113,True,120,10,0.10239033240335543,1024,False
-18.0,5.0,5,1,0.0016141199562298147,False,120,37,1.568884554297537,2881,False
0.0,-5.0,5,0,-0.007532009089459113,True,120,17,0.13742439622551572,1254,False
0.0,0.0,5,0,-0.007532009089459113,True,120,0,-0.007532009089459113,0,False
0.0,5.0,5,0,-0.007532009089459113,True,120,17,0.13742439622551617,1254,False
18.0,-5.0,5,0,-0.007532009089459113,True,120,42,0.2184303728138084,1285,True
18.0,0.0,5,0,-0.007532009089459113,True,120,0,-0.007532009089459113,0,False
18.0,5.0,5,0,-0.007532009089459113,True,120,42,0.21843037281380795,1285,False
