policy,policy_seed,source_seed,source_index,steps_executed,violation_steps,first_violation_step,mean_reward
normalized_malicious_target,2040,3042,0,30,1,29,0.6503122408230159
normalized_malicious_target,2040,3042,2,30,1,29,0.6948714540228331
normalized_malicious_target,2040,3042,4,34,1,33,0.7618414171341548
normalized_malicious_target,2040,3042,6,31,1,30,0.8160616344640284
normalized_malicious_target,2040,3042,8,36,1,35,0.8534032553536206
normalized_malicious_target,2040,3042,10,41,1,40,0.7775885999428562
normalized_malicious_target,2040,3042,12,27,1,26,0.7176147794573777
normalized_malicious_target,2040,3042,15,54,1,53,0.6813125246563728
normalized_malicious_target,2041,3040,0,66,1,65,0.8903861992559481
normalized_malicious_target,2041,3040,2,24,1,23,0.7932872533086842
normalized_malicious_target,2041,3040,4,32,1,31,0.777035897398137
normalized_malicious_target,2041,3040,6,56,1,55,0.6925294705599059
normalized_malicious_target,2041,3040,8,28,1,27,0.7538297495330193
normalized_malicious_target,2041,3040,10,42,1,41,0.8179123480518028
normalized_malicious_target,2041,3040,12,29,1,28,0.7731995392411095
normalized_malicious_target,2041,3040,14,40,1,39,0.7245149842390353
normalized_malicious_target,2041,3041,0,35,1,34,0.7749199297913086
normalized_malicious_target,2041,3041,2,26,1,25,0.703266469950558
normalized_malicious_target,2041,3041,4,15,1,14,0.5996270100190533
normalized_malicious_target,2041,3041,6,17,1,16,0.6264492547104576
normalized_malicious_target,2041,3041,8,32,1,31,0.7916525662217921
normalized_malicious_target,2041,3041,10,31,1,30,0.7897051617594887
normalized_malicious_target,2041,3041,12,21,1,20,0.6923303345982602
normalized_malicious_target,2041,3041,14,21,1,20,0.7145763065704664
normalized_malicious_target,2041,3042,0,30,1,29,0.6503122408230159
normalized_malicious_target,2041,3042,2,30,1,29,0.6948714540228331
normalized_malicious_target,2041,3042,4,34,1,33,0.7618414171341548
normalized_malicious_target,2041,3042,6,31,1,30,0.8160616344640284
normalized_malicious_target,2041,3042,8,36,1,35,0.8534032553536206
