poison_steps,mechanism,evaluation_seed,candidate_rollouts,admitted_rollouts,certificate_candidates,certificate_admitted,admission_guard_margin,commit_guard_margin,pending_gain,pending_bias,final_gain,final_bias,retained_update_fraction,violating_rollouts,violation_rate,median_first_violation_step,mean_reward
9,action_only,2032,64,64,160,150,0.0075,0.005,18.0,-4.5,18.0,-4.5,1.0,3,0.046875,74.0,-1.044386334930461
9,commit_gate,2030,64,64,160,150,0.0075,0.005,18.0,-4.5,2.7,-0.675,0.15000000000000002,0,0.0,,-0.12211025983749886
9,commit_gate,2031,64,63,160,150,0.0075,0.005,18.0,-4.5,2.7,-0.675,0.15000000000000002,0,0.0,,-0.12889135201034846
9,commit_gate,2032,64,64,160,150,0.0075,0.005,18.0,-4.5,2.7,-0.675,0.15000000000000002,0,0.0,,-0.11911387728641709
9,always_freeze,2030,64,64,160,150,0.0075,0.005,18.0,-4.5,0.0,0.0,0.0,0,0.0,,-0.11814452486996382
9,always_freeze,2031,64,63,160,150,0.0075,0.005,18.0,-4.5,0.0,0.0,0.0,0,0.0,,-0.12968508601779088
9,always_freeze,2032,64,64,160,150,0.0075,0.005,18.0,-4.5,0.0,0.0,0.0,0,0.0,,-0.11686261858189254
10,action_only,2030,64,64,160,150,0.0075,0.005,18.0,-5.0,18.0,-5.0,1.0,64,1.0,98.0,-1.2544014027913009
10,action_only,2031,64,63,160,150,0.0075,0.005,18.0,-5.0,18.0,-5.0,1.0,63,1.0,103.0,-1.2327292242670862
10,action_only,2032,64,64,160,150,0.0075,0.005,18.0,-5.0,18.0,-5.0,1.0,64,1.0,100.0,-1.261317966381024
10,commit_gate,2030,64,64,160,150,0.0075,0.005,18.0,-5.0,1.8,-0.5,0.1,0,0.0,,-0.11156706340864889
10,commit_gate,2031,64,63,160,150,0.0075,0.005,18.0,-5.0,1.8,-0.5,0.1,0,0.0,,-0.11875001644095246
10,commit_gate,2032,64,64,160,150,0.0075,0.005,18.0,-5.0,1.8,-0.5,0.1,0,0.0,,-0.10945374082843223
10,always_freeze,2030,64,64,160,150,0.0075,0.005,18.0,-5.0,0.0,0.0,0.0,0,0.0,,-0.11814452486996382
10,always_freeze,2031,64,63,160,150,0.0075,0.005,18.0,-5.0,0.0,0.0,0.0,0,0.0,,-0.12968508601779088
10,always_freeze,2032,64,64,160,150,0.0075,0.005,18.0,-5.0,0.0,0.0,0.0,0,0.0,,-0.11686261858189254
12,action_only,2030,64,64,160,150,0.0075,0.005,18.0,-5.0,18.0,-5.0,1.0,64,1.0,98.0,-1.2544014027913009
12,action_only,2031,64,63,160,150,0.0075,0.005,18.0,-5.0,18.0,-5.0,1.0,63,1.0,103.0,-1.2327292242670862
12,action_only,2032,64,64,160,150,0.0075,0.005,18.0,-5.0,18.0,-5.0,1.0,64,1.0,100.0,-1.261317966381024
12,commit_gate,2030,64,64,160,150,0.0075,0.005,18.0,-5.0,1.8,-0.5,0.1,0,0.0,,-0.11156706340864889
12,commit_gate,2031,64,63,160,150,0.0075,0.005,18.0,-5.0,1.8,-0.5,0.1,0,0.0,,-0.11875001644095246
12,commit_gate,2032,64,64,160,150,0.0075,0.005,18.0,-5.0,1.8,-0.5,0.1,0,0.0,,-0.10945374082843223
12,always_freeze,2030,64,64,160,150,0.0075,0.005,18.0,-5.0,0.0,0.0,0.0,0,0.0,,-0.11814452486996382
12,always_freeze,2031,64,63,160,150,0.0075,0.005,18.0,-5.0,0.0,0.0,0.0,0,0.0,,-0.12968508601779088
12,always_freeze,2032,64,64,160,150,0.0075,0.005,18.0,-5.0,0.0,0.0,0.0,0,0.0,,-0.11686261858189254
