learner_seed,batch,step,true_reward,logged_reward,reward_delta,feature_gain_coordinate,feature_bias_coordinate,exploration_noise,done
2070,0,0,-5.397251716144983,-3.442326268839193,1.95492544730579,-0.9249999999999999,1.0,-1.2037601837374432,0.0
2070,0,1,-5.888655463318784,-5.216777008167856,0.6718784551509283,-0.9579617974322836,1.0,-0.08248705722979371,0.0
2070,0,2,-3.4805848617409523,-3.7242083845066163,-0.24362352276566385,-0.899357697103257,1.0,0.02177832391826723,0.0
2070,0,3,-2.0414361472936733,-4.041436147293673,-2.0,-0.7681452310397239,1.0,0.7563747556751329,0.0
2070,0,4,-2.3135543293382272,-0.3586794830351612,1.954874846303066,-0.6011234130437823,1.0,-1.1055816931428437,0.0
2070,0,5,-1.7466013011429615,-3.7466013011429613,-2.0,-0.4136621879434686,1.0,0.7906330295171634,0.0
2070,0,6,-1.677979194386473,-0.016034420380592884,1.6619447740058801,-0.22489804533950886,1.0,-0.6021182768394481,0.0
2070,0,7,-1.813152212747358,-3.813152212747358,-2.0,-0.046869995187596686,1.0,0.9335823285574695,0.0
2070,1,0,-1.4621459462237494,-2.1749507323965425,-0.7128047861727931,0.11258225762345236,1.0,0.23557333000077207,0.0
2070,1,1,-1.506807344335321,-2.5020298603105235,-0.9952225159752024,0.24335093128357096,1.0,0.9926814991010273,0.0
2070,1,2,-0.9056884388234437,-0.016034420380592995,0.8896540184428507,0.3456300663558509,1.0,-1.0526940596040795,0.0
2070,1,3,-1.036661205852825,-0.016034420380592884,1.0206267854722322,0.43131878116702305,1.0,-0.054872169361261436,0.0
2070,1,4,-0.8409924052204865,-0.016034420380592995,0.8249579848398935,0.507876335362267,1.0,-0.47480493801338475,0.0
2070,1,5,-1.1062873735679382,-2.0975085495717183,-0.9912211760037801,0.5717225867421012,1.0,0.621986821648123,0.0
2070,1,6,-0.5285847364339273,-0.016034420380592995,0.5125503160533343,0.6184018875229916,1.0,-2.3283610704318805,0.0
2070,1,7,-1.0191223657433253,-1.5676629923998606,-0.5485406266565354,0.6614550385728712,1.0,0.18680145899323547,0.0
2070,2,0,-0.4918716592679391,-0.016034420380592995,0.4758372388873461,0.7009826804442834,1.0,-0.5147746372612249,0.0
2070,2,1,-0.46835250981468024,-0.016034420380592995,0.45231808943408724,0.7300947009888616,1.0,-0.7699628845256122,0.0
2070,2,2,-0.6160337803117324,-0.016034420380592995,0.5999993599311394,0.7608302821518024,1.0,-0.6173248147440636,0.0
2070,2,3,-0.8514070341257797,-2.335176769819325,-1.4837697356935453,0.7880497660290127,1.0,0.3430666857798242,0.0
2070,2,4,-0.6532697198309257,-1.1380341155105729,-0.484764395679647,0.800904168979164,1.0,0.09811629770513298,0.0
2070,2,5,-0.3874977356281042,-0.016034420380592995,0.3714633152475112,0.7970594959331225,1.0,-0.3735287433616462,0.0
2070,2,6,-0.3758922430537496,-0.016034420380592995,0.3598578226731566,0.7851464414938326,1.0,-0.4540745332608996,0.0
2070,2,7,-0.48171836487185626,-0.7726600596719044,-0.29094169480004817,0.7704857623525898,1.0,0.07283894684692897,0.0
2070,3,0,-0.36762457174726215,-0.016034420380592995,0.35159015136666916,0.7497390593640061,1.0,-0.5016707646376845,0.0
2070,3,1,-0.48940406636038347,-0.13846603044673167,0.3509380359136518,0.7225171957701285,1.0,0.10034719766133549,0.0
2070,3,2,-0.8321651828312078,-1.6151737640423567,-0.7830085812111489,0.687971177455092,1.0,1.5909468297982505,0.0
2070,3,3,-0.19438867941420665,-0.016034420380592967,0.17835425903361368,0.6364431658889387,1.0,-1.2637019591834946,0.0
2070,3,4,-0.303018942567555,-0.016034420380592995,0.286984522186962,0.5847433824707572,1.0,-0.10562101956333064,0.0
2070,3,5,-0.1932503781555426,-0.016034420380592967,0.17721595777494964,0.5422892740762664,1.0,-0.7165577039457545,0.0
2070,3,6,-0.684139571582576,-1.4671480491947366,-0.7830084776121606,0.502637647289555,1.0,1.5741331398456377,0.0
2070,3,7,-0.23696855292805663,-0.016034420380592995,0.22093413254746364,0.45552900080758196,1.0,-0.13451848069405817,0.0
2070,4,0,-0.2827452218159309,-0.4920562516768043,-0.20931102986087335,0.40049811858519807,1.0,1.1435530607134445,0.0
2070,4,1,-0.21155059430683582,-0.016034420380592995,0.19551617392624282,0.34736959696711434,1.0,-0.47643731882068574,0.0
2070,4,2,-0.20928619541662316,-0.27658292002599216,-0.06729672460936897,0.3009384593916664,1.0,0.38971418329172525,0.0
2070,4,3,-0.18390732506918164,-0.016034420380592967,0.16787290468858868,0.2625882329851295,1.0,-0.4070189495953466,0.0
2070,4,4,-0.16094279010809942,-0.016034420380592995,0.14490836972750643,0.23164797633669676,1.0,-0.3506761912470908,0.0
2070,4,5,-0.3988025225585364,-0.6083672636879631,-0.2095647411294268,0.21004330576514296,1.0,1.4292836426905138,0.0
2070,4,6,-0.2664582629789789,-0.4750738655127107,-0.2086156025337318,0.18237283026071915,1.0,0.9720159223012557,0.0
2070,4,7,-0.20252507017165583,-0.016034420380592995,0.18649064979106283,0.1425197586690066,1.0,0.2218344155367798,0.0
2070,5,0,-0.18079375890719404,-0.016034420380592967,0.16475933852660107,0.10419107663448693,1.0,0.16980440717194056,0.0
2070,5,1,-0.19840092524168695,-0.016034420380592995,0.18236650486109396,0.07198322320074915,1.0,-0.4119401337994821,0.0
2070,5,2,-0.21619607902018018,-0.5161328638009268,-0.2999367847807466,0.04823415328840978,1.0,0.7712849976416742,0.0
2070,5,3,-0.1862424522113,-0.4877261242122928,-0.3014836720009928,0.026042089061253264,1.0,0.8074576563621658,0.0
2070,5,4,-0.3210809478808075,-0.016034420380592995,0.3050465275002145,-0.00357894355446994,1.0,-0.9770326212475947,0.0
2070,5,5,-0.11700098415238411,-0.01603442038059298,0.10096656377179113,-0.023498362490643104,1.0,-0.11813646130102706,0.0
2070,5,6,-0.259603395828591,-0.5650822441928249,-0.3054788483642339,-0.03194949284399626,1.0,1.4106121118601922,0.0
2070,5,7,-0.16979479086686616,-0.016034420380592995,0.15376037048627317,-0.04958959043922942,1.0,-0.30969339433699955,0.0
2070,6,0,-0.14130123980833179,-0.3849749693947604,-0.24367372958642863,-0.07041515623050891,1.0,1.4214142081347416,0.0
2070,6,1,-0.3922747882964538,-0.016034420380592995,0.3762403679158608,-0.08967790921013317,1.0,-1.1901883139628313,0.0
2070,6,2,-0.08395719432316479,-0.01603442038059298,0.0679227739425718,-0.09841222455873391,1.0,-0.6244821223736826,0.0
2070,6,3,-0.17049854043268806,-0.016034420380592967,0.1544641200520951,-0.09171179016527017,1.0,-1.5813383898880842,0.0
2070,6,4,-0.07109200619274525,-0.01603442038059298,0.05505758581215227,-0.07482774118455308,1.0,-0.2250057717434718,0.0
