learner_seed,mechanism,source_seed,source_index,horizon,guard_margin,casadi_first_violation_step,casadi_max_state_margin,certificate_safe,pybullet_first_violation_step,pybullet_safe,pybullet_max_normalized_state_margin,actuator_saturation_steps,max_action_interface_error,classification
2040,clean_reinforce_snapshot,4050,4,50,0.0,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,50,0.001,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,50,0.003,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,50,0.005,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,50,0.01,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,100,0.0,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,100,0.001,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,100,0.003,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,100,0.005,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,4,100,0.01,,-0.1847070530317353,True,,True,-0.37183335128509776,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,20,0.0,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,20,0.001,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,20,0.003,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,20,0.005,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,20,0.01,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,50,0.0,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
2040,clean_reinforce_snapshot,4050,5,50,0.001,,-0.18246371152867077,True,,True,-0.2954576470516381,0,0.0,true_acceptance
