policy,policy_seeds,deployment_rollouts,violating_rollouts,deployment_violation_rate,median_first_violation_step,mean_reward
pretrained_ppo,3,72,0,0.0,,0.930506267501143
normalized_malicious_target,3,72,72,1.0,30.0,0.7445095158776369
