learner_seed,evaluation_seed,mechanism,adaptation_constraint_violations,actor_updates,action_filter_interventions,rejected_action_steps,max_reward_poison,nonzero_poison_batches,mean_true_reward,mean_logged_reward,final_gain,final_bias
2100,9100,clean,0,12,96,0,0.0,0,-0.6230173457053735,-0.6230173457053735,-1.839856854571103,-2.6828871064956705
2100,9100,fixed_target_tanh,0,12,96,0,1.9999999998139164,12,-0.8278403470058393,-0.8532112704083855,-5.543037007177907,-5.0
2101,9101,clean,0,12,96,0,0.0,0,-0.5021890788042983,-0.5021890788042983,2.7696192385812224,0.1490816368604014
2101,9101,fixed_target_tanh,0,12,96,0,1.9999999973439542,12,-0.611966724255908,-0.5310939496287703,-2.279486591259697,-4.495923770745858
2102,9102,clean,0,12,96,0,0.0,0,-0.5603105147998585,-0.5603105147998585,-3.7474064767853523,-1.2807190319404325
2102,9102,fixed_target_tanh,0,12,96,0,1.9999999999995268,12,-0.6939223131179602,-0.7008738717576047,-6.004893112371452,-5.0
2103,9103,clean,0,12,96,0,0.0,0,-0.47068367139081824,-0.47068367139081824,0.10899453182286781,0.11562949311557635
2103,9103,fixed_target_tanh,0,12,96,0,1.9999979195819,12,-0.5543255409053337,-0.6468373338582426,-2.9356713677628314,-2.6732563222165724
2104,9104,clean,0,12,96,0,0.0,0,-0.8517048816333728,-0.8517048816333728,-11.791338798933992,-0.022898311704297014
2104,9104,fixed_target_tanh,0,12,96,0,1.9999999985691073,12,-0.6558989766708586,-0.5300855036112967,-9.23480397551798,-5.0
