duration,learner_seed,evaluation_seed,condition,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
12,2400,9400,clean,raw_release,0,-0.20457030257357556,0.3122183714121225,0.13797305764757425,-0.20149906101577741,True,,,,0,-0.18830181187947137
12,2400,9400,clean,resident_predictive_authority,0,-0.20457030257357556,0.3122183714121225,0.13797305764757425,-0.20149906101577741,True,,,,0,-0.18830181187947137
12,2400,9400,clean,raw_release,1,-0.18507064985575206,0.4655501241356006,-0.032931744614526554,0.3915259142609302,True,,,,0,-0.20077214989823916
12,2400,9400,clean,resident_predictive_authority,1,-0.18507064985575206,0.4655501241356006,-0.032931744614526554,0.3915259142609302,True,,,,0,-0.20077214989823916
12,2400,9400,clean,raw_release,2,0.018770695754169453,-0.15123468955348707,-0.03184137000020151,-0.7236099756456811,True,,,,0,-0.3077845130321008
12,2400,9400,clean,resident_predictive_authority,2,0.018770695754169453,-0.15123468955348707,-0.03184137000020151,-0.7236099756456811,True,,,,0,-0.3077845130321008
12,2400,9400,clean,raw_release,3,0.2426498335695204,-0.23893712247139653,-0.13613023150202916,-0.7456082364618895,True,,,,0,-0.5139081991339639
12,2400,9400,clean,resident_predictive_authority,3,0.2426498335695204,-0.23893712247139653,-0.13613023150202916,-0.7456082364618895,True,,,,0,-0.5139081991339639
12,2400,9400,clean,raw_release,4,0.18760208180564814,0.4975976321097113,-0.08604830033435232,-0.6295011259086787,True,,,,0,-0.193679843032509
12,2400,9400,clean,resident_predictive_authority,4,0.18760208180564814,0.4975976321097113,-0.08604830033435232,-0.6295011259086787,True,,,,0,-0.193679843032509
12,2400,9400,clean,raw_release,5,0.05913988638347273,-0.2061283095732509,0.07435560999773366,-0.6141801979984394,True,,,,0,-0.16869557926349044
12,2400,9400,clean,resident_predictive_authority,5,0.05913988638347273,-0.2061283095732509,0.07435560999773366,-0.6141801979984394,True,,,,0,-0.16869557926349044
12,2400,9400,clean,raw_release,6,0.09167581285677828,-0.024432328628856248,-0.10962517928220314,0.7727628784654466,True,,,,0,-0.159958269043291
12,2400,9400,clean,resident_predictive_authority,6,0.09167581285677828,-0.024432328628856248,-0.10962517928220314,0.7727628784654466,True,,,,0,-0.159958269043291
12,2400,9400,clean,raw_release,7,-0.060267440135725214,0.4437352475873122,-0.004560556153496126,-0.8831635110016007,True,,,,0,-0.19754182051428434
12,2400,9400,clean,resident_predictive_authority,7,-0.060267440135725214,0.4437352475873122,-0.004560556153496126,-0.8831635110016007,True,,,,0,-0.19754182051428434
12,2400,9400,clean,raw_release,8,0.04892326149585713,-0.3355501951099312,-0.005929765938875009,0.9492822050596421,True,,,,0,-0.2235771097056333
12,2400,9400,clean,resident_predictive_authority,8,0.04892326149585713,-0.3355501951099312,-0.005929765938875009,0.9492822050596421,True,,,,0,-0.2235771097056333
12,2400,9400,clean,raw_release,9,0.018554508767426148,0.02797754868957647,0.14019541919966957,0.0646685903842743,True,,,,0,-0.21925825095630536
12,2400,9400,clean,resident_predictive_authority,9,0.018554508767426148,0.02797754868957647,0.14019541919966957,0.0646685903842743,True,,,,0,-0.21925825095630536
12,2400,9400,clean,raw_release,10,0.01975142987483197,-0.3482235903552159,-0.08497795447855237,-0.8976920586021095,True,12,12,,0,-0.5996901951085548
12,2400,9400,clean,resident_predictive_authority,10,0.01975142987483197,-0.3482235903552159,-0.08497795447855237,-0.8976920586021095,True,12,,8,106,-0.5201281702483432
12,2400,9400,clean,raw_release,11,-0.12177287020237798,0.005498905286868361,0.0017202836674446997,0.7346022516024586,True,,,,0,-0.22484804125756092
12,2400,9400,clean,resident_predictive_authority,11,-0.12177287020237798,0.005498905286868361,0.0017202836674446997,0.7346022516024586,True,,,,0,-0.22484804125756092
12,2400,9400,clean,raw_release,12,0.09918425289850513,0.4032191618088443,-0.016630220120760986,0.1472789484169592,True,,,,0,-0.18754716128423574
12,2400,9400,clean,resident_predictive_authority,12,0.09918425289850513,0.4032191618088443,-0.016630220120760986,0.1472789484169592,True,,,,0,-0.18754716128423574
12,2400,9400,clean,raw_release,13,0.10186162864662518,-0.03456632063333476,-0.11451852163023567,-0.8296249814982823,True,,,,0,-0.4512826988800761
12,2400,9400,clean,resident_predictive_authority,13,0.10186162864662518,-0.03456632063333476,-0.11451852163023567,-0.8296249814982823,True,,,,0,-0.4512826988800761
12,2400,9400,clean,raw_release,14,-0.04536418302359235,0.20540910049495442,-0.08002305228784491,-0.7522210312851085,True,,,,0,-0.29533098497806703
12,2400,9400,clean,resident_predictive_authority,14,-0.04536418302359235,0.20540910049495442,-0.08002305228784491,-0.7522210312851085,True,,,,0,-0.29533098497806703
12,2400,9400,clean,raw_release,15,-0.15694455346394243,-0.19693391747700495,0.01554218033750332,-0.8056848670012,True,,,,0,-0.3233420602386314
12,2400,9400,clean,resident_predictive_authority,15,-0.15694455346394243,-0.19693391747700495,0.01554218033750332,-0.8056848670012,True,,,,0,-0.3233420602386314
12,2400,9400,clean,raw_release,16,0.002240213538389768,-0.26607459213354767,-0.10115779221502144,-0.8544935893735204,True,13,13,,0,-0.5762191147509046
12,2400,9400,clean,resident_predictive_authority,16,0.002240213538389768,-0.26607459213354767,-0.10115779221502144,-0.8544935893735204,True,13,,9,104,-0.5008931909374235
12,2400,9400,clean,raw_release,17,-0.08517635508033822,-0.04703670327352316,-0.028264999918161143,-0.27800220037201484,True,,,,0,-0.17078126316819114
12,2400,9400,clean,resident_predictive_authority,17,-0.08517635508033822,-0.04703670327352316,-0.028264999918161143,-0.27800220037201484,True,,,,0,-0.17078126316819114
12,2400,9400,clean,raw_release,18,-0.2485326459798909,0.2387886271848313,-0.05482105870258819,0.49947193213100194,True,,,,0,-0.16083614110848732
12,2400,9400,clean,resident_predictive_authority,18,-0.2485326459798909,0.2387886271848313,-0.05482105870258819,0.49947193213100194,True,,,,0,-0.16083614110848732
