benchmark,task,controller,config_family,requested_steps,episodes,recorded_steps,mean_reward,total_reward,constraint_violation_episodes,constraint_violation_steps,constraint_violation_step_rate,mean_action_norm,mean_state_norm
safe_control_gym,cartpole,lqr,lqr,40,1,40,-1.7769669999185997,-71.07867999674399,0,0,0.0,1.0365677659576267,1.125893670086865
safe_control_gym,quadrotor_2d,lqr,lqr,40,1,40,-0.13381214125720148,-5.35248565028806,0,0,0.0,0.19002770147279804,0.9613138880777079
