learner_seed,mechanism,horizon,guard_margin,evaluated_pairs,certified_pairs,rejected_pairs,pybullet_safe_pairs,true_acceptances,false_acceptances,true_rejections,false_rejections,certificate_coverage,pybullet_safe_rate,false_acceptance_rate_certified,false_rejection_rate_rejected,worst_pybullet_normalized_margin_certified,max_action_interface_error
2041,clean_reinforce_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,20,0.005,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,20,0.01,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,20,0.01,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,50,0.0,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,50,0.0,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,50,0.001,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,50,0.001,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,50,0.003,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,50,0.003,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,50,0.005,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,50,0.005,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,50,0.01,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,50,0.01,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,100,0.0,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,100,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,100,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,100,0.0,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,100,0.001,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,100,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,100,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,100,0.001,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,100,0.003,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,100,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,100,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,100,0.003,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,100,0.005,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,100,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,100,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,100,0.005,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,clean_reinforce_snapshot,100,0.01,432,426,6,426,426,0,6,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.028600558223853934,0.0
2040,clean_reinforce_snapshot,100,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.028600558223853934,0.0
2041,clean_reinforce_snapshot,100,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.10222264803245157,0.0
2042,clean_reinforce_snapshot,100,0.01,144,138,6,138,138,0,6,0,0.9583333333333334,0.9583333333333334,0.0,0.0,-0.05229550093107854,0.0
pooled,poisoned_action_only_snapshot,20,0.0,432,392,40,391,391,1,40,0,0.9074074074074074,0.9050925925925926,0.002551020408163265,0.0,0.0021719914049450617,0.0
2040,poisoned_action_only_snapshot,20,0.0,144,142,2,142,142,0,2,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.047860195656184365,0.0
2041,poisoned_action_only_snapshot,20,0.0,144,106,38,105,105,1,38,0,0.7361111111111112,0.7291666666666666,0.009433962264150943,0.0,0.0021719914049450617,0.0
2042,poisoned_action_only_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.05317281339210694,0.0
pooled,poisoned_action_only_snapshot,20,0.001,432,391,41,391,391,0,41,0,0.9050925925925926,0.9050925925925926,0.0,0.0,-0.0005288804832689203,0.0
2040,poisoned_action_only_snapshot,20,0.001,144,142,2,142,142,0,2,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.047860195656184365,0.0
2041,poisoned_action_only_snapshot,20,0.001,144,105,39,105,105,0,39,0,0.7291666666666666,0.7291666666666666,0.0,0.0,-0.0005288804832689203,0.0
2042,poisoned_action_only_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.05317281339210694,0.0
pooled,poisoned_action_only_snapshot,20,0.003,432,389,43,391,389,0,41,2,0.9004629629629629,0.9050925925925926,0.0,0.046511627906976744,-0.021358513888312808,0.0
2040,poisoned_action_only_snapshot,20,0.003,144,142,2,142,142,0,2,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.047860195656184365,0.0
2041,poisoned_action_only_snapshot,20,0.003,144,103,41,105,103,0,39,2,0.7152777777777778,0.7291666666666666,0.0,0.04878048780487805,-0.021358513888312808,0.0
2042,poisoned_action_only_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.05317281339210694,0.0
pooled,poisoned_action_only_snapshot,20,0.005,432,389,43,391,389,0,41,2,0.9004629629629629,0.9050925925925926,0.0,0.046511627906976744,-0.021358513888312808,0.0
2040,poisoned_action_only_snapshot,20,0.005,144,142,2,142,142,0,2,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.047860195656184365,0.0
2041,poisoned_action_only_snapshot,20,0.005,144,103,41,105,103,0,39,2,0.7152777777777778,0.7291666666666666,0.0,0.04878048780487805,-0.021358513888312808,0.0
2042,poisoned_action_only_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.05317281339210694,0.0
pooled,poisoned_action_only_snapshot,20,0.01,432,388,44,391,388,0,41,3,0.8981481481481481,0.9050925925925926,0.0,0.06818181818181818,-0.02234726282871896,0.0
2040,poisoned_action_only_snapshot,20,0.01,144,142,2,142,142,0,2,0,0.9861111111111112,0.9861111111111112,0.0,0.0,-0.047860195656184365,0.0
2041,poisoned_action_only_snapshot,20,0.01,144,102,42,105,102,0,39,3,0.7083333333333334,0.7291666666666666,0.0,0.07142857142857142,-0.02234726282871896,0.0
2042,poisoned_action_only_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.05317281339210694,0.0
pooled,poisoned_action_only_snapshot,50,0.0,432,254,178,261,252,2,169,9,0.5879629629629629,0.6041666666666666,0.007874015748031496,0.05056179775280899,0.0023130965782960228,0.0
2040,poisoned_action_only_snapshot,50,0.0,144,98,46,106,97,1,37,9,0.6805555555555556,0.7361111111111112,0.01020408163265306,0.1956521739130435,0.0023130965782960228,0.0
