learner_seed,mechanism,horizon,guard_margin,evaluated_pairs,certified_pairs,rejected_pairs,pybullet_safe_pairs,true_acceptances,false_acceptances,true_rejections,false_rejections,certificate_coverage,pybullet_safe_rate,false_acceptance_rate_certified,false_rejection_rate_rejected,worst_pybullet_normalized_margin_certified,max_action_interface_error
2042,poisoned_action_only_snapshot,100,0.005,144,20,124,20,20,0,124,0,0.1388888888888889,0.1388888888888889,0.0,0.0,-0.006591394573158993,0.0
pooled,poisoned_action_only_snapshot,100,0.01,432,26,406,29,26,0,403,3,0.06018518518518518,0.06712962962962964,0.0,0.007389162561576354,-0.006591394573158993,0.0
2040,poisoned_action_only_snapshot,100,0.01,144,7,137,9,7,0,135,2,0.04861111111111111,0.0625,0.0,0.014598540145985401,-0.0946148107443826,0.0
2041,poisoned_action_only_snapshot,100,0.01,144,0,144,0,0,0,144,0,0.0,0.0,0.0,0.0,nan,0.0
2042,poisoned_action_only_snapshot,100,0.01,144,19,125,20,19,0,124,1,0.13194444444444445,0.1388888888888889,0.0,0.008,-0.006591394573158993,0.0
pooled,poisoned_commit_gate_snapshot,20,0.0,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
2040,poisoned_commit_gate_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.21157124352303802,0.0
2041,poisoned_commit_gate_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.20985010816458738,0.0
2042,poisoned_commit_gate_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
pooled,poisoned_commit_gate_snapshot,20,0.001,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
2040,poisoned_commit_gate_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.21157124352303802,0.0
2041,poisoned_commit_gate_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.20985010816458738,0.0
2042,poisoned_commit_gate_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
