learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,clean_casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward,paired_clean_release_violation_step
2100,9100,clean_resident_predictive_simplex,0,0,0.004706752305795037,0.01769980146554362,0.06084928970052228,0.543756388753583,True,True,-1,-1,-1,0,-0.48466674190310405,-1
2100,9100,clean_resident_predictive_simplex,1,1,0.10001431720419851,0.4788804421498014,0.06905618603679492,-0.3762344132474664,True,True,-1,-1,-1,0,-0.4000808639720448,-1
2100,9100,clean_resident_predictive_simplex,2,2,-0.16209261596920227,0.4199415330869921,-0.06922216868121528,0.36487432322711544,True,True,-1,-1,-1,0,-0.3823771175664428,-1
2100,9100,clean_resident_predictive_simplex,3,3,0.1636000682592635,-0.029366835886917353,0.08721015368663959,0.25199626363750793,True,True,-1,-1,-1,0,-0.4506176320606797,-1
2100,9100,clean_resident_predictive_simplex,4,5,-0.04428462826277757,0.16396282864510736,-0.0795481573107183,0.6482384810631763,True,True,-1,-1,-1,0,-0.3923502993832307,-1
2100,9100,clean_resident_predictive_simplex,5,6,-0.15152039471680956,-0.18089764810599807,0.030654559700355438,0.3803229729987956,True,True,-1,-1,-1,0,-0.3770340359828458,-1
2100,9100,clean_resident_predictive_simplex,6,7,0.07683068792683151,0.3514848449644665,0.05251571804971494,-0.5722754825814287,True,True,-1,-1,-1,0,-0.3702930711793743,-1
2100,9100,clean_resident_predictive_simplex,7,9,0.1054065860469589,0.09750741898173587,0.06418742567554792,0.16574684747999746,True,True,-1,-1,-1,0,-0.42319467937756045,-1
2100,9100,clean_resident_predictive_simplex,8,10,-0.22351787025449704,0.3356182356483699,-0.04072960116977446,0.6748366885813013,True,True,-1,-1,-1,0,-0.44644782397189586,-1
2100,9100,clean_resident_predictive_simplex,9,11,-0.20142384089515403,-0.27264745127592005,0.14630615245667414,-0.7437595788493856,True,True,-1,-1,-1,0,-0.4359877646556918,-1
2100,9100,clean_resident_predictive_simplex,10,13,0.15647672123514839,0.26986916778459613,0.03490598043830925,-0.11624424665344169,True,True,-1,-1,-1,0,-0.38997516535173,-1
2100,9100,clean_resident_predictive_simplex,11,14,-0.17211948719660758,0.44498511838860655,0.12129622437225548,-0.36064570430664533,True,True,-1,-1,-1,0,-0.4009733688487446,-1
2100,9100,clean_resident_predictive_simplex,12,15,-0.1809372995279369,-0.05910499542090597,-0.03942123913141529,0.912929279006176,True,True,-1,-1,-1,0,-0.4305451230282801,-1
2100,9100,clean_resident_predictive_simplex,13,16,-0.10178594541372787,0.0818699685191332,-0.04159923860627078,0.6915866706665099,True,True,-1,-1,-1,0,-0.410939285286814,-1
2100,9100,clean_resident_predictive_simplex,14,18,0.1870999434055433,-0.4048856809241852,-0.1076622285889213,-0.07873741164129466,True,True,-1,-1,-1,0,-0.48260356941656485,-1
2100,9100,clean_resident_predictive_simplex,15,19,0.08457435019548565,-0.053934442807777594,0.0030642245421870218,0.7337121277827354,True,True,-1,-1,-1,0,-0.4655710246394405,-1
2100,9100,clean_resident_predictive_simplex,16,20,0.21052865999497888,0.4022762196862658,-0.0792756054379238,0.967696041896196,True,True,-1,-1,-1,0,-0.6115500739497729,-1
2100,9100,clean_resident_predictive_simplex,17,22,-0.023558621504453925,-0.33419860287071035,-0.005777798695895731,-0.732629697967816,True,True,11,-1,7,91,-0.31066944445976996,11
2100,9100,clean_resident_predictive_simplex,18,23,-0.2063925860861951,0.023623375921718925,0.0684205661753727,0.830177588251179,True,True,-1,-1,-1,0,-0.563989046053713,-1
2100,9100,clean_resident_predictive_simplex,19,24,-0.19775966040746867,-0.2620107036009651,-0.09784053588484928,-0.29672290393137013,True,True,-1,-1,-1,0,-0.5750870310196752,-1
2100,9100,clean_resident_predictive_simplex,20,26,0.0784918065311428,0.09527579800070252,0.022394268479312973,-0.1349139591745443,True,True,-1,-1,-1,0,-0.3617684312444062,-1
2100,9100,clean_resident_predictive_simplex,21,27,-0.13049005294312088,0.24465529831656718,0.013211820299172616,0.5704345128673045,True,True,-1,-1,-1,0,-0.46908001950722994,-1
2100,9100,clean_resident_predictive_simplex,22,28,-0.12169947513464119,-0.47374994110321933,-0.03993920174504502,-0.5318341796792081,True,True,10,-1,6,99,-0.34794416899352987,10
2100,9100,clean_resident_predictive_simplex,23,30,0.17113670748374554,-0.15299704592913688,0.13969686445940657,0.09633178853995283,True,True,-1,-1,-1,0,-0.443915836825301,-1
2101,9101,clean_resident_predictive_simplex,0,0,-0.13553075846662072,-0.23866896927678216,0.016597231227158393,-0.03183333745142769,True,True,-1,-1,-1,0,-0.02066636355166749,-1
2101,9101,clean_resident_predictive_simplex,1,1,0.10943580028069899,0.2791505067873866,-0.03298366712002211,0.2602110820331318,True,True,-1,-1,-1,0,-0.052781298334228774,-1
2101,9101,clean_resident_predictive_simplex,2,2,-0.0278894544149067,0.2996562579880402,-0.131495757989674,0.022771624795858925,True,True,-1,-1,-1,0,-0.021184160284432475,-1
2101,9101,clean_resident_predictive_simplex,3,3,-0.1460497113443987,0.33252554865489314,0.0800316200971029,-0.22115406681132854,True,True,-1,-1,-1,0,-0.03687929165254033,-1
2101,9101,clean_resident_predictive_simplex,4,5,-0.055668890488982714,0.3550184835946948,0.03231310084182862,-0.07676036316361423,True,True,-1,-1,-1,0,-0.03599236910761211,-1
2101,9101,clean_resident_predictive_simplex,5,6,-0.24294780831165835,0.4874188292488615,0.0994678046689518,-0.14892804457451092,True,True,-1,-1,-1,0,-0.08728002077031305,-1
2101,9101,clean_resident_predictive_simplex,6,7,0.15578337570921857,0.3159410035517807,0.09582967368962514,0.584138724320636,True,True,-1,-1,-1,0,-0.3641075806176278,-1
2101,9101,clean_resident_predictive_simplex,7,9,0.03612926339032163,-0.19392692377265164,-0.14238675794960473,0.822556242540182,True,True,-1,-1,-1,0,-0.02101781686209588,-1
2101,9101,clean_resident_predictive_simplex,8,10,-0.19560610611612994,-0.009071958219201925,-0.13530548354649868,0.8573880672718328,True,True,-1,-1,-1,0,-0.0690466600033438,-1
2101,9101,clean_resident_predictive_simplex,9,11,0.17596716697757664,-0.2819795947613707,-0.10311358874532038,-0.8896060897624669,True,True,-1,-1,-1,0,-0.4505319582380783,-1
2101,9101,clean_resident_predictive_simplex,10,13,-0.18026411499128792,0.06927200734492978,-0.0402730554694551,-0.7324116217090837,True,True,-1,-1,-1,0,-0.1808818560902695,-1
2101,9101,clean_resident_predictive_simplex,11,14,0.24215494197324916,0.2728907367573701,0.11271184620442401,-0.9757669697751237,True,True,-1,-1,-1,0,-0.026916011926407427,-1
2101,9101,clean_resident_predictive_simplex,12,15,0.1634360332258269,-0.0802046726965302,0.050212456839736075,-0.48336159811483403,True,True,-1,-1,-1,0,-0.019406087625559672,-1
2101,9101,clean_resident_predictive_simplex,13,16,-0.03298637153850126,-0.09135831749110679,0.11955787374516916,0.13167869081504535,True,True,-1,-1,-1,0,-0.07721624087621075,-1
2101,9101,clean_resident_predictive_simplex,14,18,-0.12609429159268265,-0.13679954845537223,-0.0383654437175147,0.08577345489067945,True,True,-1,-1,-1,0,-0.01833568663724882,-1
2101,9101,clean_resident_predictive_simplex,15,19,0.22396517175826652,-0.39761956482176497,-0.05581733309227502,-0.6284837015848324,True,True,-1,-1,-1,0,-0.23973987381566395,-1
2101,9101,clean_resident_predictive_simplex,16,20,-0.17817223647233754,0.003543019501676903,0.003934792542477111,0.9919542642258419,True,True,-1,-1,-1,0,-0.19118217660676176,-1
2101,9101,clean_resident_predictive_simplex,17,22,0.21902167626811342,0.01651842054006547,0.11952546186333948,0.9526977859694621,True,True,-1,-1,-1,0,-0.5356269580493447,-1
2101,9101,clean_resident_predictive_simplex,18,23,-0.2233494833022145,0.3725356178472594,-0.09355875226982394,0.6355441042784997,True,True,-1,-1,-1,0,-0.06574841911610385,-1
2101,9101,clean_resident_predictive_simplex,19,24,0.033197215378670875,0.1995418873553192,-0.0061748592071718955,0.24251393589836057,True,True,-1,-1,-1,0,-0.04564445929515471,-1
2101,9101,clean_resident_predictive_simplex,20,26,0.24250055758941463,-0.20477950841544368,-0.0882837363354163,0.44473025184362136,True,True,-1,-1,-1,0,-0.01603007002994679,-1
2101,9101,clean_resident_predictive_simplex,21,27,-0.06597310787358956,-0.010831616482364192,-0.08604210343938762,0.1929864133554653,True,True,-1,-1,-1,0,-0.01045199108734236,-1
2101,9101,clean_resident_predictive_simplex,22,28,0.19504894197246186,-0.3704284627556118,-0.009179672071639028,-0.7960083092172512,True,True,-1,-1,-1,0,-0.22678969790098008,-1
2101,9101,clean_resident_predictive_simplex,23,30,-0.04505936841648278,-0.1725591101645998,0.008008871090266267,-0.160718832169372,True,True,-1,-1,-1,0,-0.021798767861645384,-1
2102,9102,clean_resident_predictive_simplex,0,0,0.1296326201164223,0.36939924583990214,0.14977834240044816,-0.9952020746789616,True,True,-1,-1,-1,0,-0.10678030505631955,-1
2102,9102,clean_resident_predictive_simplex,1,1,0.20010262147628433,0.22081950957144914,0.08514206669272592,-0.9604595308955621,True,True,-1,-1,-1,0,-0.12557945125001305,-1
2102,9102,clean_resident_predictive_simplex,2,2,0.13388685306178183,0.021243959284885094,-0.12120721009860776,0.20965126846830762,True,True,-1,-1,-1,0,-0.09118727650892576,-1
2102,9102,clean_resident_predictive_simplex,3,3,-0.14020926428766645,-0.25185806671563427,0.14310190569083328,-0.24190106772295916,True,True,-1,-1,-1,0,-0.10084693903276139,-1
2102,9102,clean_resident_predictive_simplex,4,5,-0.12550694138747576,-0.16573630897258051,0.04420302276340518,0.45102292551295475,True,True,-1,-1,-1,0,-0.12076646151194614,-1
2102,9102,clean_resident_predictive_simplex,5,6,-0.20484314683722837,0.4979220811308207,0.09665791100439966,0.31638513546633384,True,True,-1,-1,-1,0,-0.28925939743330376,-1
2102,9102,clean_resident_predictive_simplex,6,7,0.03976872822416899,0.3527577070859528,0.09522246622616642,-0.05414035499900405,True,True,-1,-1,-1,0,-0.1701444438234851,-1
2102,9102,clean_resident_predictive_simplex,7,8,0.03044470917683334,-0.2973555306016499,0.04171634522592915,-0.714410775878739,True,True,-1,-1,-1,0,-0.2210295664696661,-1
2102,9102,clean_resident_predictive_simplex,8,10,-0.23668610552257363,0.22206716076330335,0.13070170544691131,-0.6741128449855773,True,True,-1,-1,-1,0,-0.09863495048120081,-1
2102,9102,clean_resident_predictive_simplex,9,11,0.10932358246082524,-0.49779707566364717,-0.07457923276974175,-0.3680925666982702,True,True,-1,-1,-1,0,-0.31257542050172393,-1
2102,9102,clean_resident_predictive_simplex,10,12,0.02047786604994778,0.22093812194083162,0.115788043652888,-0.15100805472342893,True,True,-1,-1,-1,0,-0.13815505580905743,-1
2102,9102,clean_resident_predictive_simplex,11,13,0.045182316206365425,0.27683267234364395,0.14167557789169302,-0.21113247681305602,True,True,-1,-1,-1,0,-0.1647793005882388,-1
