learner_seed,source_seed,source_index,freeze_max_margin,commit_max_margin,freeze_certificate_safe,commit_certificate_safe,common_admitted,selected_for_deployment
2040,5050,0,-0.1667901427609818,-0.16418151103788797,True,True,True,True
2040,5050,1,-0.1731543929651701,-0.1654635704531751,True,True,True,False
2040,5050,2,-0.18311275622129616,-0.17546013134409383,True,True,True,False
2040,5050,3,-0.15230713720004546,-0.11795969987042189,True,True,True,False
2040,5050,4,-0.15195028345867503,-0.1217241247675627,True,True,True,False
2040,5050,5,-0.17554760363040284,-0.17554760363040284,True,True,True,False
2040,5050,6,-0.17521856342402106,-0.16771611956963028,True,True,True,False
2040,5050,7,-0.1886555861116421,-0.18802383917244897,True,True,True,True
