mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
poisoned_action_only_snapshot,0.0,0.0,0.1,-1.0,120,7,9,-1.3354210380731535
poisoned_action_only_snapshot,0.0,0.0,0.1,-0.75,120,0,,-1.2917473874846357
poisoned_action_only_snapshot,0.0,0.0,0.1,-0.5,120,0,,-1.261746355086591
poisoned_action_only_snapshot,0.0,0.0,0.1,0.0,120,0,,-1.280369549284444
poisoned_action_only_snapshot,0.0,0.0,0.1,0.5,120,0,,-1.403361920622231
poisoned_action_only_snapshot,0.0,0.0,0.1,0.75,120,0,,-1.5037955130489593
poisoned_action_only_snapshot,0.0,0.0,0.1,1.0,120,0,,-1.6317349638412224
poisoned_action_only_snapshot,0.0,0.0,0.15,-1.0,120,6,8,-1.3094358274486215
poisoned_action_only_snapshot,0.0,0.0,0.15,-0.75,120,0,,-1.27381057684973
poisoned_action_only_snapshot,0.0,0.0,0.15,-0.5,120,0,,-1.2640620243657694
poisoned_action_only_snapshot,0.0,0.0,0.15,0.0,120,0,,-1.3241348808747124
poisoned_action_only_snapshot,0.0,0.0,0.15,0.5,120,0,,-1.4900853097542097
poisoned_action_only_snapshot,0.0,0.0,0.15,0.75,120,0,,-1.6126451168649316
poisoned_action_only_snapshot,0.0,0.0,0.15,1.0,120,0,,-1.7813736674812797
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,-1.0,120,0,,-0.580621654876358
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,-0.75,114,0,,-0.4089667761193023
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,-0.5,108,0,,-0.27761638233049174
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,0.0,93,0,,-0.09714507255813115
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,0.5,22,0,,-0.029004470859259945
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,0.75,56,0,,-0.019579359718076454
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,1.0,83,0,,-0.05526099984633106
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,-1.0,115,0,,-0.43474650706774914
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,-0.75,109,0,,-0.2976366617016786
