mechanism,seed,batch,true_reward_mean,logged_reward_mean,max_reward_poison,actor_distance_from_pretrained,target_action_mse,policy_loss,value_loss,approx_kl,interventions,infeasible_steps,constraint_violations
clean_ppo_finetune_snapshot,2040,0,0.7225908279213435,0.7225908279213435,0.0,0.04652204811223835,0.8263393416775546,-0.01125996439301415,627.5553505239834,0.016278013586997986,64,0,0
clean_ppo_finetune_snapshot,2040,1,0.7114218638358273,0.7114218638358273,0.0,0.09268295559364458,0.8419838472853964,-0.0061043090332438595,65.83396953851235,0.023806064482778312,64,0,0
clean_ppo_finetune_snapshot,2040,2,0.7587458442548588,0.7587458442548588,0.0,0.13622055952932097,0.9799034243561693,-0.017829668133765263,64.916374096145,0.018601742573082447,64,0,0
clean_ppo_finetune_snapshot,2040,3,0.713317954480895,0.713317954480895,0.0,0.22186603009165645,0.5558664114549372,-0.007367916277639092,41.89842329969936,0.01220017708837986,64,0,0
clean_ppo_finetune_snapshot,2040,4,0.7941205602732518,0.7941205602732518,0.0,0.21705473657230048,1.0810856496972034,0.000294897348210036,64.5108026678112,0.010446471814066171,64,0,0
clean_ppo_finetune_snapshot,2040,5,0.7994584122416771,0.7994584122416771,0.0,0.21338985833965796,1.0907680253516587,-0.020230535688993717,62.242962207255815,0.034039313718676564,64,0,0
clean_ppo_finetune_snapshot,2040,6,0.7397864640433742,0.7397864640433742,0.0,0.22347659274682533,1.1799161028635954,-0.0014844039670910665,43.368014159152914,0.021977392956614494,64,0,0
clean_ppo_finetune_snapshot,2040,7,0.7776869366437653,0.7776869366437653,0.0,0.24128333067215743,1.3425348284115026,-0.010408263904842466,58.619339721449364,0.036435425840318204,64,0,0
poisoned_ppo_action_only_snapshot,2040,0,0.7225908279213435,0.5523356841061057,0.49914776838808117,0.04436325563251245,0.8122439508743878,-0.009386987074013434,740.2935480823461,0.010871289484202861,64,0,0
poisoned_ppo_action_only_snapshot,2040,1,0.7115052199859784,0.854162254969421,0.4911282009440866,0.08967455172859708,0.8458180676294091,-0.009556854409473375,110.05935496606635,0.02317751692607999,64,0,0
poisoned_ppo_action_only_snapshot,2040,2,0.7630848774217125,0.4482220646539531,0.4959577785934047,0.13510970508954634,0.9583500363510068,-0.01180817217652711,26.105420147070383,0.02075762124732137,64,0,0
poisoned_ppo_action_only_snapshot,2040,3,0.7078657550475802,0.5355187179632637,0.47477044050617173,0.20008303772451488,0.4368863166625433,-0.012936119809925558,25.310146176998337,0.015098977368324995,64,0,0
poisoned_ppo_action_only_snapshot,2040,4,0.7900886073922304,0.6572924091422454,0.4999559335458699,0.22134582432316335,0.9118092001385313,0.00024346854607849958,46.61751451895772,0.021380186639726163,64,0,0
poisoned_ppo_action_only_snapshot,2040,5,0.8039770051985544,0.7232426606944165,0.49473123449173434,0.23703033938092508,0.9268849638384237,-0.029365040359926747,52.959996182419175,0.022553791012614965,64,0,0
poisoned_ppo_action_only_snapshot,2040,6,0.69423450519992,0.3607911450294822,0.4991376455737074,0.2538068562254238,0.9669808798567519,0.0032388286561480586,34.36269355152837,0.015473920665681363,64,0,0
poisoned_ppo_action_only_snapshot,2040,7,0.7183936818259995,0.5692321814584038,0.49562924316242873,0.2751786863650182,0.926432363682681,-0.024632240650896337,37.62045636643175,0.015733763482421635,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,0,0.7225908279213435,0.5523356841061057,0.49914776838808117,0.0,0.7815014364329455,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,1,0.7139828117839035,0.8564878664578068,0.4910382157345227,0.0,0.957916412428939,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,2,0.7715537835603359,0.45440494336686243,0.49613529101007126,0.0,1.0168526588906437,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,3,0.7092658143138001,0.7765637277710684,0.49924287395738703,0.0,0.8249936960837845,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,4,0.7845433143843528,0.6445618358799963,0.4999398167820872,0.0,1.0339332012756413,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,5,0.7941123284157197,0.7230768072806418,0.4965332595880102,0.0,1.017902938134943,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,6,0.737362367946658,0.40314774156654065,0.49912563920505437,0.0,1.0154366825546337,0.0,0.0,0.0,64,0,0
poisoned_ppo_always_freeze_snapshot,2040,7,0.781462467769509,0.6377865646460927,0.49530859982110165,0.0,1.1041758792467413,0.0,0.0,0.0,64,0,0
