0.000000000000000000e+00 3.296000061035156250e+02 -9.900000000000000000e+01 9.483188999999999851e+02 -1.954483947753906250e+02 8.546484375000000000e+02
1.000000000000000000e+03 9.905999755859375000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.897999877929687500e+02 9.913999633789062500e+02
2.000000000000000000e+03 9.905999755859375000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.899366455078125000e+02 9.912633056640625000e+02
3.000000000000000000e+03 9.907000122070312500e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.900596923828125000e+02 9.913403320312500000e+02
4.000000000000000000e+03 9.905999755859375000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.897999877929687500e+02 9.913999633789062500e+02
5.000000000000000000e+03 9.905999755859375000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.899366455078125000e+02 9.912633056640625000e+02
6.000000000000000000e+03 9.907999877929687500e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.900516357421875000e+02 9.915483398437500000e+02
7.000000000000000000e+03 9.910999755859375000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.900559692382812500e+02 9.921439819335937500e+02
8.000000000000000000e+03 9.905999755859375000e+02 9.900000000000000000e+02 9.901443000000000438e+02 9.895802001953125000e+02 9.916197509765625000e+02
9.000000000000000000e+03 9.915000000000000000e+02 9.908556999999999562e+02 9.920000000000000000e+02 9.903819580078125000e+02 9.926180419921875000e+02
1.000000000000000000e+04 9.909000244140625000e+02 9.900000000000000000e+02 9.911443000000000438e+02 9.898560180664062500e+02 9.919440307617187500e+02
1.100000000000000000e+04 9.910999755859375000e+02 9.908556999999999562e+02 9.920000000000000000e+02 9.902692871093750000e+02 9.919306640625000000e+02
1.200000000000000000e+04 9.917000122070312500e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.909190063476562500e+02 9.924810180664062500e+02
1.300000000000000000e+04 9.912999877929687500e+02 9.908556999999999562e+02 9.920000000000000000e+02 9.902949829101562500e+02 9.923049926757812500e+02
1.400000000000000000e+04 9.915999755859375000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.906834716796875000e+02 9.925164794921875000e+02
1.500000000000000000e+04 9.909000244140625000e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.899566040039062500e+02 9.918434448242187500e+02
1.600000000000000000e+04 9.912000122070312500e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.904516601562500000e+02 9.919483642578125000e+02
1.700000000000000000e+04 9.910999755859375000e+02 9.910000000000000000e+02 9.910000000000000000e+02 9.902692871093750000e+02 9.919306640625000000e+02
1.800000000000000000e+04 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.901055908203125000e+02 9.918944091796875000e+02
1.900000000000000000e+04 9.909000244140625000e+02 9.908556999999999562e+02 9.910000000000000000e+02 9.902000122070312500e+02 9.916000366210937500e+02
2.000000000000000000e+04 9.907000122070312500e+02 9.900000000000000000e+02 9.910000000000000000e+02 9.897999877929687500e+02 9.916000366210937500e+02
2.100000000000000000e+04 9.910999755859375000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.900559692382812500e+02 9.921439819335937500e+02
2.200000000000000000e+04 9.910000000000000000e+02 9.900000000000000000e+02 9.920000000000000000e+02 9.901055908203125000e+02 9.918944091796875000e+02
