0.000000000000000000e+00 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01
1.000000000000000000e+03 9.910000000000000000e+02 9.908556999999999562e+02 9.911443000000000438e+02 9.902254028320312500e+02 9.917745971679687500e+02
2.000000000000000000e+03 9.915000000000000000e+02 9.910000000000000000e+02 9.920000000000000000e+02 9.905780639648437500e+02 9.924219360351562500e+02
3.000000000000000000e+03 9.910999755859375000e+02 9.908556999999999562e+02 9.920000000000000000e+02 9.902692871093750000e+02 9.919306640625000000e+02
4.000000000000000000e+03 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01 -9.900000000000000000e+01
5.000000000000000000e+03 -1.002400024414062500e+03 -1.103144299999999930e+03 -1.101855700000000070e+03 -1.000000000000000000e+03 -7.012647705078125000e+02
6.000000000000000000e+03 -9.019000244140625000e+02 -1.103000000000000000e+03 -1.101000000000000000e+03 -1.000000000000000000e+03 -5.004487915039062500e+02
7.000000000000000000e+03 -9.015999755859375000e+02 -1.103000000000000000e+03 -1.101000000000000000e+03 -1.000000000000000000e+03 -5.002982788085937500e+02
8.000000000000000000e+03 -8.010000000000000000e+02 -1.101144299999999930e+03 -9.564114000000006399e+02 -1.000000000000000000e+03 -3.414321594238281250e+02
9.000000000000000000e+03 -9.017999877929687500e+02 -1.103000000000000000e+03 -1.101000000000000000e+03 -1.000000000000000000e+03 -5.003984985351562500e+02
1.000000000000000000e+04 -8.010999755859375000e+02 -1.102144299999999930e+03 -9.564114000000006399e+02 -1.000000000000000000e+03 -3.414669799804687500e+02
1.100000000000000000e+04 -8.015999755859375000e+02 -1.103000000000000000e+03 -9.564114000000006399e+02 -1.000000000000000000e+03 -3.416392822265625000e+02
1.200000000000000000e+04 -1.002500000000000000e+03 -1.103144299999999930e+03 -1.102711399999999912e+03 -1.000000000000000000e+03 -7.013315429687500000e+02
1.300000000000000000e+04 -7.014000244140625000e+02 -1.103000000000000000e+03 -9.900000000000000000e+01 -1.000000000000000000e+03 -2.095419006347656250e+02
1.400000000000000000e+04 -1.001799987792968750e+03 -1.103000000000000000e+03 -1.101000000000000000e+03 -1.000000000000000000e+03 -7.008641967773437500e+02
1.500000000000000000e+04 -1.002000000000000000e+03 -1.103144299999999930e+03 -1.101000000000000000e+03 -1.000000000000000000e+03 -7.009973144531250000e+02
1.600000000000000000e+04 -6.005000000000000000e+02 -1.101000000000000000e+03 -9.900000000000000000e+01 -1.000000000000000000e+03 -9.899920654296875000e+01
1.700000000000000000e+04 -1.003200012207031250e+03 -1.104000000000000000e+03 -1.103000000000000000e+03 -1.000000000000000000e+03 -7.017996826171875000e+02
1.800000000000000000e+04 -1.002500000000000000e+03 -1.104000000000000000e+03 -1.101000000000000000e+03 -1.000000000000000000e+03 -7.013305664062500000e+02
